id,trans
filename,scene_free48_q2_s10
translator,gemini-3.1-pro-preview
info,scene_free48_q2_s10
15,呵呵呵……\n就该这样才对嘛……
14,姬塔打断了店长的话，\n一言不发地\n走到了外面。
13,喂喂……\n你在胡说八道些什么？\n各位直接无视他就行了……
12,哼……我有个请求想拜托\n这位骑空士大人……\n能不能跟我比试一场啊？
11,诶嘿嘿……\n也没有啦～
10,呼～\n骑空士大人就是不一样啊～\n想必非常了不起、非常厉害吧？
9,好了好了……\n这里还有其他客人在\n大家先冷静一下……
8,切……\n吵死了，臭老头！
7,喂！你这蠢货！\n我不是一直跟你说\n不准从正门进来吗！
6,嘿～\n说得可真是难听啊……
5,就在这时，一阵粗暴\n踢开店门的声音在四周响起。
4,啊……\n小姑娘你不知道呢。\n嗨，说的是我家那个蠢儿子啦。
3,哎，那个……\n您家那蠢货是指……
2,唉……要是我家那蠢货\n也能像姬塔小姑娘一样\n那么懂事就好了。
1,与姬塔熟识的店长，\n夹杂着叹息向她搭话。
0,一行人在村民常来休憩的\n食堂里休息着。
0-chapter_name,店长与败家子
