id,trans
filename,scene_evt140831_cp1_q4_s20
translator,Gemini
info,scene_evt140831_cp1_q4_s20
36,事到如今，只能硬着头皮上了！	\n干掉它们吧！
35,不能再让城市陷入危险了！	\n我们上吧！
34,哥布林又进城了……？	\n不行，别让它们跑了！
33,叽叽……唧唧！
32,……哼。
31,真的呢，呵呵！	\n请多关照，菲娜！
30,缇娜啊。请多关照！	\n我是菲娜。	\n……总觉得名字很像呢！
29,真是的！	\n我是缇娜。和哥哥两个人	\n以猎杀哥布林为生。
28,都是同伴吧？	\n别突然吵架啊……
27,那，对不起！	\n哥哥他	\n对谁都这样……
26,别说了！	\n哥哥在瞪你了	\n不可以这样！
25,……小鬼。	\n别胡说八道。
24,嘿~~，呼~~嗯。	\n……总觉得你这家伙阴沉沉的。
23,那又如何。
22,…………
21,嘿~	\n你就是那个著名的卢修斯？	\n和妹妹一起四处猎杀哥布林的那个。
20,不必客气……	\n砍下那些家伙的头颅才是	\n我活着的意义……
19,多亏了你们才得救。	\n谢谢……衷心感谢！
18,太好了！彼赞大人的部队也	\n被突破了，我还以为	\n真是松了一口气……！
17,城市差点就被蹂躏了	\n这个卢修斯，将那些恶鬼全部	\n歼灭，在此等候。
16,彼赞大人……	\n您平安无事真是太好了。
15,……！？	\n这是……哥布林，吗？	\n哥布林全灭了！？
14,呜……好难闻的味道……
13,一行人回到城郊	\n那里堆积着无数烧焦的尸体	\n堆积如山。
7,嘁……	\n刚才的可能是佯攻部队。	\n这样下去可就糟了！
6,什么……这	\n进攻速度也太快了……	\n快回去！
5,彼、彼赞大人！	\n哥布林的别动队袭击城市的	\n紧急报告来了！
4,唔……	\n这真是令人安心！
3,嘿嘿。	\n我们也经历过各种各样的修罗场！
2,所以当然会变强啦~	\n啊—，真伤脑筋。明明这么可爱，却又是最强的	\n这也太无敌了吧～～！
1,嘛~	\n毕竟是美少女嘛？	\n一个人旅行很辛苦的哟~
0,然而……\n你们相当厉害啊。
0-synopsis,姬塔一行收到了城市正遭受哥布林别动队袭击的紧急报告。一行人急忙赶往城市，到达后，他们看到了大量的哥布林尸体。拯救城市危机的，是知名的哥布林猎人，卢修斯和缇娜兄妹。与二人合作，一行人将与再次出现的哥布林战斗。
0-chapter_name,第1话 战乱的凶兆
