id,trans
filename,scene_chr149_q1_s10
translator,Gemini
info,scene_chr149_q1_s10
18,哈哈哈……\n都已经是过去的事了。\n好了，马上就要到城镇了。
17,唔～……海森以前是军人啊～\n总觉得有点能接受……\n又有点不能接受……
16,……嗯，说那些事\n只会让你们白白感到害怕。\n还是别说了。
15,啊，我以前是军人。\n不过，我并非只在战场前线\n与敌人战斗……
14,那个……海森先生您\n有时候会提到军队……\n您以前真的是军人吗？
13,原来如此……
12,因此我思考了很久，\n为了引导更多迷途之人，\n我从军队退役，成为了神官。
11,那首诗，\n让我不禁思考该如何引导他人。
10,唔……我在军队的时候，\n偶然听到了赞美风之神的诗歌。\n我被那首诗深深打动了。
9,那个……海森先生\n您为什么会成为神官呢？
8,哈啊……\n你居然那样\n就决定做神官了……
7,啊，除了知道是风之神\n以及赞美祂的诗歌以外就完全不清楚了。
6,……啥，诶！？\n你不知道吗！？
5,这……？不清楚啊。\n会是什么样的神明呢。
4,那个……海森你\n信仰的是什么样的神明啊？
3,我说啊，海森。\n我有点在意一件事。
2,一行接受了委托，\n正朝着委托人所在的村庄前进。
1,据说村里的人希望能让身为神官且声名远播的海森听听他们的烦恼。
0,某天，姬塔一行与\n海森收到了一份来自某个村庄的委托。
0-synopsis,在前往某个接到委托的村庄途中，碧询问了海森信仰的神明的事情。但是，海森表示自己对所信仰的神明并不了解，只是被赞美那位神明的诗歌所感动，才从军队退役成为了神官。
0-chapter_name,鬼之心
