id,trans
filename,scene_arcarum_maria_ep2
translator,Gemini Pro 1.5
info,scene_arcarum_maria_ep2
39,说完，特蕾莎\n自豪地拍了拍胸脯，\n露出满面笑容点了点头。
38,嗯，交给我吧！\n只要有我的眼光在，\n就不会让你们被骗！
36-sel1_txt,会依靠妳的
36,所以，如果遇到像这次这样\n需要鉴定的时候，\n就请依靠我吧。
35,我的武术并不厉害，\n身为骑空士也只是个新手……
34,虽然只是个「前」鉴定士，\n但我相信累积至今的经验，\n就是我独一无二的武器。
33,被这些真正有价值的物品\n环绕著生活，\n眼光自然就会变好。
32,比如说……现在用的\n这个杯子和茶托，\n就是王室御用的古董。
31,因此，艇上的东西里\n有很多价值不菲的物品。
30,你看，这艘艇上\n有各种不同立场和身份的人吧？
29,是吗？\n话虽如此，像这次这种运送贵重物品的\n委讬应该不多吧……
28,不如说，自从来到这艘艇上后\n我觉得我的眼光比以前更好了。
27,自从和大家一起旅行后，\n当鉴定士工作的机会变少了，\n但我的审美眼光可没退步。
26,呵呵，我好歹也当过鉴定士\n赚钱呢。\n那种程度的骗局要是看不穿就糟了。
25,但是，您怎么知道那碎掉的壶\n是假的呢？
24,都碎成那样了，\n光看一眼根本看不出来是假的。
23,最初给我们看的壶确实\n是真货，他一定是在装货的时候\n把壶掉包成碎掉的赝品了。
22,呜……现在光是回想起来\n心脏就揪成一团……\n三亿卢比的赔偿金我们根本付不出来……
21,幸好有姐姐在。\n要是姐姐没看破那个壶是假货，\n我们现在……
15,结果到了目的地后检查货物时，\n发现号称最昂贵的壶损坏了，\n对方要求我们赔偿。
10,一行人事先得知那些货物\n大部分都是有价值的古董，\n因此格外小心……
9,当天，一行人接的委讬\n是将某位商人的货物\n运送到另一个岛上。
3,听说壶碎了的时候\n我都冒冷汗了……
2,话说回来，今天的委讬\n真是个灾难呢。没想到\n委讬人居然是个骗子。
1,某天。结束委讬的\n姬塔、露莉亚、碧\n和特蕾莎一起喝下午茶。
0-synopsis,某天，姬塔、露莉亚、碧和玛丽亚・特蕾莎边喝下午茶边回顾当天接受的委讬。一行人差点被黑心委讬人欺骗，幸好有特蕾莎的审美眼光帮助。特蕾莎以自己丰富的鉴定经验为傲，并笑著说如果需要鉴定，就尽管拜讬她。
