id,trans
filename,scene_evt160331_cp3_q1_s10
translator,Claude 3 Opus
info,scene_evt160331_cp3_q1_s10
92,从最糟糕的相遇到突然转变，\n罗艾因和卡塔莉娜的青春，\n即将如暴风雨般开始……
91,罗艾因君……
89,嘿嘿……\n请多多关照！
88,不，没事的。\n没什么特别的问题。
87,怎么了？\n有什么不能带他参观的理由吗？
86,诶……？\n这、这是……！
85,罗艾因悄悄拿出了\n刚才在那个地方捡到的钥匙，\n给卡塔莉娜看。
84,……这个，学生会长。
83,那个……其实……
82,有什么问题吗？\n学校里的万能钥匙，\n除了身为学生会长的你没人有吧。
81,我、我知道了。\n但是教官，其实……那个……
80,卡塔莉娜君。\n作为学生会长，去给他介绍一下学校吧。
79,啊，不是……\n与其说是认识……
78,"……怎么了，前辈？\n您认识那个转校生吗？ "
77,啊——？\n啊，你是……！
76,这……\n你、你是，刚才的那个……！
75,是。\n……嗯？
74,喂，不要自说自话！\n迟到了还这么傲慢。\n……那么，卡塔莉娜君！
73,哇……\n教官好凶……\n你～好，我是罗艾因。
72,……肃静！\n那么最后来介绍一下转校生！\n请进，罗艾因君！
68,咦？\n那桥下掉的东西是……？
67,啊，溜了！\n我也得赶紧……
65,唔……\n现在不是争论的时候。\n抱歉，我要先走一步！
64,你才是……！\n哪有人在街上全速奔跑的！
63,好疼～……\n喂，你在干什么啊！？
61,呀！
60,……哇啊！？
58,快迟到了吗……？\n转学第一天就迟到太尴尬了！
57,呼……哈……\n总算看到学校了……
56,此时，在城下町，\n一位青年正慌张地奔跑着。
55,堡垒都市阿尔比昂。\n那里有着培养骑士的名门士官学校，\n源源不断地输送出优秀人才。
47,要是我也去上学的话，\n是不是就能和卡塔莉娜小姐一起度过青春了……？
46,不过说到学校啊……
45,我懂我懂！\n希望她们是一起上学的那种感觉对吧？\n永远的前辈后辈那样的！
44,诶～？\n这样好没意思啊。\n我觉得她们俩一直在一起比较好！
43,"不过年龄差挺大的，\n是不是从帝国军时代就认识了啊？ "
42,哈哈哈哈！\n是阿尔比昂士官学校啦！
41,啊——？\n好像是蓬梅伦士官学校吧？
40,话说回来那两个人，\n到底是什么样的前辈后辈关系啊？
39,真的吗～……\n我还以为想到一个好点子了呢。
38,哦，艾露酱好聪明！\n这么一说，你在老家最受\n年下的孩子们欢迎呢。
37,现在罗艾因装后辈，\n我觉得一点都不心动。\n不如说，好恶心。
36,果然一起度过青春时代，\n就会变成特别的关系啊……
35,虽然不太清楚……\n但法拉酱是货真价实的后辈吧？\n是卡塔莉娜小姐的。真真正正的。
34,啊？\n什么什么什么，有新说法？
33,无语……\n但法拉酱的那一套，\n不就是后辈力之类的吗？
32,不知道，顺着感觉来？
31,好恶心！\n罗艾因混在里面更讨厌了！\n话说回来托莫酱你在干嘛啊？
30,所以我在学习法拉酱！\n这几分钟里我的后辈力蹭蹭往上涨哦？\n怎么样？
29,你不觉得吗。\n卡塔莉娜小姐和法拉酱，\n关系相当好吧？
28,后辈力？
27,答对了！\n如何，我的「后辈力」！
26,罗艾因，难不成你在……\n模仿法拉酱吗？
25,啊——？
24,超级一骑当千·改！！！
23,很不错呢。\n我们出发吧，卡塔莉娜中尉！
22,好极了。
19,这样啊！\n那前辈，我们一起去狩猎蘑菇吧！
18,哈？\n算了，我已经跟店长说了。
17,哎呀！\n修锁可得先打倒魔物啊！
16,哟！哟！\n厕所的锁坏掉了！\n门正对你说阻碍！
13,糟糕了！\n我这就去修锁！
12,呼～……\n我说，这里的厕所太糟糕了。\n锁都坏掉了啊……
10,这是咋回事……\n给我打起精神来啊！
8,喝点这个果汁应该没问题吧？\n只喝一点应该不会被发现……\n……哈！</span>
7,（艾露酱上厕所好久啊……\n该不会身体不舒服吧？\n有点担心啊～……）
4,前辈！\n这里就交给我了！\n我可是超级一骑当千！
3,老子才不是什么辣妹男！
2,前辈！\n做饭这事就交给我吧！
1,今天不知为何，\n他在模仿团员们的样子……
0,在平常的咖啡店里。\n今天罗艾因他们也在\n就一些无聊的话题高谈阔论。
0-synopsis,今天，为了向卡塔莉娜亲密的后辈法拉学习后辈力，罗艾因努力模仿她。在这过程中，他沉浸在「要是能在阿尔比昂士官学校和卡塔莉娜一起度过校园生活就好了」的妄想里，脸上露出猥琐的笑容，幻想着转校生罗艾因和学生会长卡塔莉娜刺激的相遇。
0-chapter_name,第3话 青春的故事
