id,trans
filename,scene_chr243_q1_s10
translator,Gemini
info,scene_chr243_q1_s10
28,诶，啊，喂！\n别一个人冲过去啊！？
26,汪汪汪汪汪！
25,不可原谅……\n我要好好教训它们一顿！
24,……！\n魔、魔物们朝这边来了！
23,……叫声，很奇怪。
22,这孩子的伤，是咬伤。\n肯定是被那些家伙欺负了。
21,嗯？\n怎么了，一脸严肃地……
20,……这孩子，是我的。
19,诶……？\n它在害怕那些魔物……？\n为、为什么？
18,…………
17,嗯！？\n糟、糟糕了，那边有一大群魔物！
16,咕喔喔喔喔！
15,…………
14,呃，那个……\n总觉得，还有点可爱呢……
13,……库哇。
12,什么什么啊？\n刚才，是这家伙在叫吗？
11,……库哇。
10,啊，咦？\n这只魔物，受伤了？
9,大家，快退后！\n这家伙就由我来解决……
8,呜哇！\n魔、魔物！？
7,…………
6,哇！？\n碧、碧先生，后面……！
5,呼～……\n终于能喘口气了。\n露莉亚你也过来这边坐吧。
4,嗯？\n那休息一下吧。\n我去打点水来！
3,啊哈哈哈……\n真有精神呢。
2,呼……哈……\n等、等等我呀！\n达埃塔你跑太快啦！
1,你们太慢啦～！\n天都要黑啦！
0,一行人接受了运送物资的委托，\n正前往位于山腰处的村庄。
0-synopsis,一行人接受委托途经山路时，遇见了一只受伤的魔物。达埃塔看到魔物身上的伤痕，立刻就断定这是被欺负所致。这时，附近传来魔物群的低吼声，听到声音的达埃塔心烦意乱，独自冲了出去。
0-chapter-name,那位少女，与野性为伍。
