id,trans
filename,scene_fate_chr028_ep1
translator,Gemini
info,scene_fate_chr028_ep1
55,他的诅咒究竟能否解开。\n一切都取决于那颗\n被他坚硬的铠甲所包裹的心了。
54,一行人迎来了被诅咒束缚的铠甲骑士，\n高文，\n并再次飞向了天空。
53,我们要多做好事，\n努力帮他解开诅咒！
52,唔……虽然我不喜欢他……\n不过，他的实力确实很强。
51,…………\n看来他的诅咒，\n短时间内是解不开了……
50,少废话。\n姬塔，你是团长吧？\n那就赶快带我去你们的骑空艇。
49,自高自大？……哈，你说我自高自大？\n有实力的人\n轻视别人有什么错。
48,就是改掉自高自大的毛病啊。\n我感觉，比起解开诅咒\n那件事更重要吧……
47,另一个？
46,……我说，大哥。\n我一直很在意一件事，\n你是不是忘了另一个条件了？
45,可恶……闭嘴……！\n……该死，没办法了，只能……
44,虽然不知道是什么诅咒，\n但看起来你好像撑不了多久了啊？
43,帮我！？\n别开玩笑了……唔……！
42,姑且就当做是帮助别人吧……\n……好吧，就帮你们一把。\n
41,哼……\n都说到这份上了，那我就勉为其难吧。
40-sel2_txt,我想帮助你
40-sel1_txt,希望你能助我们一臂之力
40,而且，与强大的魔物战斗时，\n有高文先生在也会让人安心不少。\n……对吧，姬塔？
39,说不定，在旅途中\n就能找到帮高文先生解开诅咒的方法……
38,那个……我们的骑空团，\n也在世界各地旅行。
37,……什么？
36,高文先生，如果你愿意的话\n要不要和我们一起走？
35,……啊，那个！\n请等一下，两位！\n我有个好主意！
34,…………ッ！\n闭嘴！你们懂什么！\n如果再说些有的没的……
33,我问你，你开始旅行之后\n有感觉到诅咒稍微解开了一些吗？
32,你说什么！？
31,……你恐怕，\n就这样下去一辈子也无法\n解开诅咒吧。
30,喂喂！\n你这是什么态度啊！
29,只要被感谢，诅咒就能解开。\n可恶，你们这些家伙，\n竟敢多管闲事……！
28,帮助别人\n改掉自高自大的毛病，是吧……
26,以此为信念，\n高文一边帮助他人\n一边在各个岛屿之间流浪。
25,解开诅咒的方法只有一个。\n帮助世人，了解温暖的心灵，\n改掉自高自大的毛病——
24,过去，因自负而\n向魔导师发起挑战的高文，\n反遭击溃并被施加了诅咒。
23,身披铠甲的骑士，\n自称高文，并开始讲述\n自身所背负的诅咒。
21,……有什么苦衷吗？\n方便的话，可以告诉我们吗。
20,可恶……是诅咒……\n因为这该死的诅咒，我……
19,……！\n我从铠甲上，感觉到一股奇怪的力量。\n这是……
18,喂、喂……！？\n你哪里受伤了吗！？
17,闭嘴！\n你们懂什么……\n……唔……！
16,被感谢……？\n仅仅因为这种理由就帮助别人\n……真是个让人无语的家伙。
15,你、你在说什么啊？
14,要不是你们……\n我一个人就能击退魔物了。\n本来应该得到更多感谢的！结果……！
13,啊！？
12,……你们竟敢！\n多管闲事！
11,……？
10,……唔……
9,喂，大哥！\n没受伤吧？\n你，还挺强的嘛！
8,…………
7,大家平安无事真是太好了。\n比起这个，刚才那位骑士他……
6,……啊，旅行者！\n感谢你们出手相助！\n真不知道该怎么感谢你们才好……
5,呼……\n总算是击退魔物了。
2,姬塔一行人\n急忙赶去支援——
1,宛如要庇护四处逃窜的村民一般\n独自一人，与魔物对抗的，\n是一位身披铠甲的年轻骑士。
0,为了休息，一行人在村庄落脚。\n然而，那里却遭到大批魔物的\n袭击。
0-synopsis,在被魔物袭击的村庄里，<span>姬塔</span>一行遇见了身穿铠甲保护村民的青年高文。他的铠甲上被施加了不帮助别人就无法解开的诅咒，为了解开诅咒，他决定与姬塔一行人踏上旅程。
0-chapter-name,惩戒之铠
