id,trans
filename,scene_evt150710_cp2_q2_s10
translator,Gemini
info,scene_evt150710_cp2_q2_s10
93,啊，那就拜托你了。\n有劳了。
92,我知道了～！关于黑色漩涡\n的最新情报就包在\n榭洛我身上吧～
91,吼吼，原来如此～\n看来是另有隐情啊～
90,也就是说，只要调查那个漩涡，\n就可能\n找到星晶兽们了！
89,什、什么！？\n那岂不是说……
88,谈不上知道什么，\n我，就是被那个漩涡吞噬\n才来到这个世界的。
87,我说姐姐。\n关于那个黑色漩涡，\n你知道些什么吗？
86,这样啊……
85,星晶兽～？\n因为我急着逃跑，\n所以不太清楚～
84,火之星晶兽、水之星晶兽、地之星晶兽……\n还有风之星晶兽。\n你应该一眼就能认出来吧？
83,你说你是杂货商，对吧。\n你有没有在那个漩涡附近\n看到过像是星晶兽的东西？
82,啊，这位是米拉小姐！\n因为一些原因，她正在寻找\n她的星晶兽同伴……
81,哎呀～？\n这位是～？
80,黑色漩涡！？
79,不不～不是的～\n是突然，一个巨大的漆黑漩涡\n出现在了航线上～
78,真是不幸啊。\n是在哪里，遇到暴风雨了吗？
77,是啊～……说来惭愧～……\n我的进货飞艇坠毁了～\n现在被困在这里了～
76,榭洛先生！\n您也来这座岛了吗？
75,呀啊呀啊，\n大家都在啊～！
74,正当姬塔想要回答米拉的问题时，\n一个熟悉的声音叫住了他们。
73,做、做什么，\n姐姐，你怎么突然问这个？
72,你\n打算在那里做什么？
71,总不能\n只是去过就完事了吧。
70,哎……？
69,原来如此。但是，\n到达那里之后，要做什么呢？
68,是啊！\n据说在整个空中世界，只有这家伙的老爸\n成功抵达过那里，是传说中的岛屿！
67,那是一个从未有人踏足的未知岛屿吗？
66,我们的目标是\n传说中位于天涯海角的\n伊斯塔鲁西亚岛！
65,姬塔，话说回来，\n你为什么要和这么多同伴\n一起旅行？
64,唔……\n声、声音吗……
63,啊，还有声音也很像！
62,都很认真，\n而且感觉都有着坚定信念的地方\n莫名的相似。
61,嗯。但是，怎么说呢……\n不是说外表……
60,是吗……？\n我和她，\n完全没有相似的地方吧。
59,可是，我和米拉小姐聊天的时候\n总觉得\n和她和卡塔莉娜你在一起时感觉很像……
58,露莉亚……\n多少也要有点警惕心才行啊……
57,唔……\n米拉小姐的确是有点奇怪，\n但我相信她不是那样的人。
56,谁也不能保证她不是帝国的刺客，\n或者被星晶兽和魔晶控制的存在……
55,是啊。\n关于她的来历和真实身份，\n还有太多不明之处。
54,卡塔莉娜……\n卡塔莉娜还是不相信米拉小姐……
53,…………
52,喂喂！\n我才不是毛绒玩具呢！
51,我倒是知道会说人话、漂浮在空中的\n毛绒玩具，\n碧和它们不一样吗？
50,我的同伴？唔～\n除了我以外，还没\n见过跟我一样的家伙呢……
49,碧的同伴\n也有很多吗？
48,这样啊。能够让多种多样的种族共存，\n就说明这个世界\n的环境很好。
47,是的！各种各样的人们\n都在友好地相处着。
46,唔……\n这个世界存在着各种各样种族的人类啊。
44,与自称星晶兽之主的女性，米拉\n相遇已过去数日。姬塔一行人\n带着她在空中的各个岛屿之间旅行。
42,而姬塔一行人，\n也将逐渐了解这位星晶兽之主，\n以及她那伟大的使命——
41,虽然有些强势，\n但她还是成为了格兰赛法号的一员，
40,自称来自天空彼岸的遥远彼方、\n肚子饿了的美女，米拉＝麦克斯韦。
39,总觉得，突然就泄气了啊……
38,嘛……那个……\n怎么说呢……\n你想怎样就怎样吧……
37,卡塔莉娜也觉得可以吧？\n她看起来不像坏人……
36,是、是啊！\n对吧？姬塔？\n正好到午饭时间了！
35,肚子饿的话，\n别说回到原来的世界了，\n就连寻找四大星晶兽都做不到啊。
34,抱歉，看来是的。\n……如果可以的话，能给我\n点吃的吗？
33,……噗！\n哈哈哈，我说姐姐！\n你肚子饿了吗！？
32,短暂的沉默过后，大家\n都像开闸的洪水般大笑起来。
31,…………
30,…………
29,抱歉！是我。
28,我、我才不是呢！？
27,露、露莉亚……\n你真是没有紧张感啊……
26,诶？
25,哎？
24,突然，\n一阵滑稽的声音响起，\n紧张的气氛明显地烟消云散了。
22-sel2_txt,那撮呆毛真让人在意
22-sel1_txt,冷静下来好好谈谈吧
22,喂、喂姬塔！\n再不阻止姐姐就糟了！
21,这、这可怎么办啊姬塔！？\n卡塔莉娜，眼神都变了……
20,……随便你怎么说。\n……就算你说你是星晶兽之主，\n证据呢？
19,唔……这样啊。\n看来，\n对你来说是有点难理解啊。
18,人类世界？时空裂缝……？\n我还以为你要说什么……\n别再胡说八道了！
17,看来，我不幸地与四大星晶兽失散了，\n现在就这样遇到了你们。\n……你明白了吗？
16,然后，我和我所驱使的四大星晶兽\n与之展开了战斗，激战中\n我不幸被卷入了时空裂缝。
15,我和同行的人类\n正在调查某个城镇的异变，\n结果遇到了拥有奇特力量的异形存在。
14,我是麦克斯韦。\n是星晶兽之主，米拉＝麦克斯韦。\n因为一些原因来到了人类世界……
13,……在那之前，\n先回答我的问题吧。
12,…………\n……不用那么戒备我，女骑士。\n我们之间应该没有战斗的理由。
11,怎、怎么了，卡塔莉娜……？
10,等、等一下啊姐姐！\n不用露出那么可怕的表情吧……
9,根据你的回答，\n我可能会对你进行拘捕……！！
8,更何况，在普通人\n早就该一命呜呼的情况下\n你却毫发无损。
7,……你是什么人？\n奇怪的技能，那样的身手，\n……绝非等闲之辈吧？
6,卡、卡塔莉娜……！？
5,露莉亚对突然到访的客人展现出友好的态度。\n然而，卡塔莉娜却突然制止了她。
4,哎～\n真是努力呢！\n那个，请问您叫什么名字？
3,而且，我也付出了相应的努力。\n就算没有四大之力，\n应付一般的战斗也绰绰有余。
2,身体这东西，\n似乎是通过锻炼，\n就能不断进化的东西。
1,嘿～！\n虽然看起来净是用些奇怪的技能，\n不过姐姐，你好强啊！！
0,唔……\n总觉得有点不在状态，\n不过对付这种程度的战斗应该不成问题。
0-synopsis,讨伐魔物后的一行人。这位女性自称米拉，并说明了自己的遭遇。然而，警戒着米拉的卡塔莉娜并不相信她的说辞，气氛变得十分紧张。此时，米拉的肚子咕咕作响，她表示自己饿了，无意间缓和了紧张的气氛。最终，一行人得到了感到泄气的卡塔莉娜的许可，招待米拉吃午饭。
0-chapter_name,米拉篇 应做之事
