id,trans
filename,scene_evt191128_cp5_q4_s10
translator,Gemini
info,scene_evt191128_cp5_q4_s10
86,蓝色轨道号，\n就留在这里吧。
85,关于接下来要做的事……
84,嗯？\n怎么了怎么了？
82,喂！\n你们也听我说。
81,缪恩满意地笑了笑，\n向稍远处\n姬塔等人所在的方向喊道。
77,好！
75,我驾驶。
74,…………
73,……那么？\n你呢？
71,总之，我\n必须继续前进。
70,是啊。\n那家伙，是个很特别的人。
69,是姬塔小姐吗？
68,缪恩轻笑了一声，\n目光转向了正在与凯瑟琳等人交谈的\n姬塔。
66,……不过，我想我之所以会有这种想法，\n也是受到了那家伙的影响吧。
65,但是，作为驾驶竞速艇的人……\n作为竞速者，\n这是只有我们才能做到的事。
64,不过，我们现在挑战的\n并不是比赛。
63,竞速者……自豪……
62,缪恩的声音十分平静，\n但也正因如此，其中蕴含的热忱\n深深地烙印在了菲尔的心中。
61,这条道路上一定不会只有快乐，\n但我希望自己能够带着自豪，\n继续走下去。
60,所以，无论 앞으로 얼마나 힘들고\n무서워도 경주정에 탈 수밖에 없어.
59,我选择了成为一名职业竞速者。
58,真正的，竞速者……
57,我想，我成为了一名真正的竞速者。
56,但是，在那次失败之后，\n当我再次驾驶蓝色轨道号、\n握住操纵杆的时候……
55,即使是现在，我也很难说已经释怀了，\n只要一想起那件事，\n我的胃就好像要被拧成一团似的难受。
54,上次的PSC……\n在预选赛中的失败，\n让我第一次尝到了挫折的滋味。
53,我也是最近才明白那句话的真正含义。
49,……这才是职业竞速者。
48,都要重新站起来，\n为下一场比赛做好准备，\n再次握紧操纵杆。
47,无论品尝过多少苦涩，\n无论被击倒多少次……
43,那是玛琪小姐的……？
42,短暂的沉默过后，缪恩低声说出的这番话，\n让菲尔抬起了头。
41,无论经历多少挫折和绝望，\n都能再次握紧操纵杆的才是职业竞速者……
37,菲尔长长地叹了口气，低下了头。
36,请把我\n留在这里吧。
35,但是，我也知道这有多危险。\n所以……
34,我喜欢驾驶竞速艇飞行。\n也觉得很快乐。
33,是吗……的确如此。
32,……我的父亲，就是在暴风雨中的比赛中\n丧生的。
31,我虽然不像你那样优秀，\n但也不想以这种方式成为大家的累赘。
30,…………
29,不过，像你这样从出道战开始就一直获胜的人，\n是不会明白这种感受的吧。
28,就算因为父亲的名声而受到关注，\n但我实际上也只是一个新人竞速者而已。\n被寄予过高的期望只会让我感到困扰。
27,我从一开始就没想过会在比赛中获胜。
26,…………
25,但是，你现在看起来很后悔？
21,不，你从一开始就没打算赢吧。
20,你这家伙，最后竟然放弃了比赛。\n你以为别人看不出来吗？
16,所以，玛琪才会\n对你说那么过分的话吧。
15,你输掉比赛的时候，\n可一点都没有表现出后悔的样子啊。
14,缪恩在咬紧牙关、欲言又止的菲尔身旁，一屁股坐了下来。
13,那、那个……
12,……喂，你感到后悔吗？
10,从一开始，\n我就不应该来。
9,……就算如此，\n我也明显是\n水平最低的那一个吧。
8,不，我们已经飞了相当长的一段距离了，而且还不能松懈精神集中力。无论精神上还是肉体上，感到疲惫都是理所当然的。
7,不用担心我这种没用的家伙。
6,……喂，你还好吧？
5,只有菲尔一人，坐在远离人群的地方，默默地低着头。
4,…………
3,然而——
2,与凯瑟琳和考古学家汇合后，一行人在暂时躲避暴风雨的岩洞中商议着接下来的对策。
0-synopsis,在暂时躲避暴风雨的岩洞中，一行人商议着接下来的对策。失去自信的菲尔不愿成为大家的累赘，提出想留在岩洞里。缪恩对这样的菲尔说：「无论经历多少挫折，都能再次握紧操纵杆的才是职业竞速者」。菲尔被缪恩的话语打动，下定决心再次驾驶竞速艇。另一方面，缪恩却宣布要将蓝色轨道号留在这里。
0-chapter_name,第五话 小队
