id,trans
filename,scene_evt151231_cp6_q1_s10
translator,Gemini
info,scene_evt151231_cp6_q1_s10
41,（真正的……伙伴……\n真正的……自由……我……\n现在，应该相信什么……）
40,（欧达兹莫奇的那些家伙……\n肯定对我\n一点感觉都没有吧……）
39,（嘿嘿……你在哭吗……？\n像我这样无可救药的\n垃圾……你竟然为我哭泣……）
38,呜……呜咽……\n骷髅先生……！！\n不要死……！！
37,振作一点！！\n喂！！
36,（真正的自由到底是什么……\n自由……究竟是什么……）
35,（我呢……\n在老头子给我的自由里，\n只是肆意妄为地胡闹而已……）
34,（……姬塔，\n那家伙是自由的……\n在空中飞翔，在广阔的世界旅行……）
33,喂，喂！！\n骷髅大哥！！\n喂！！
28,嘿，嘿嘿……是，吗……\n这，次……\n这次是你……握住了我的手……
27,是前来寻找失踪的骷髅的\n姬塔的手。
26,你，你……
25,然而，握住的手\n并不是古扎雷萨的手——
20,骷髅无力地伸出手，\n握住了伸向自己的手。
19,……自由……儿子……
18,跟我来。我会给你自由。\n从今天开始你就是我的儿子了。
17,那里，面带无畏笑容，\n伸出手的古扎雷萨\n的身影映入眼帘。
16,一边发出沙哑的声音，\n骷髅\n看向声音传来的方向。
15,啊……啊……
14,喂，能站起来吗。
13,是被抛弃的孩子吗……？\n竟然还有人做出这种事。
11,什么……？
10,嗯？ 哦！？\n老头子！\n有个小鬼被埋在雪里了！
9,可恶……好冷……\n该死，眼睛看不见了……
8,被遗弃的骷髅\n像现在一样躺在这雪山上，\n快要筋疲力尽了。
7,骷髅在逐渐消失的意识中，\n回想起过去的事情。
2,可恶……好冷啊……\n该死……以前也……\n有过这种感觉吗……
1,嘿，嘿嘿……\n活该啊……
0,暴雪丝毫没有停止的迹象，\n开始堆积在遍体鳞伤的骷髅身上。
0-synopsis,被独自一人抛弃在极寒雪原的骷髅体力被夺走，在朦胧的意识中看到了幻觉。那是曾经捡到自己的古扎雷萨的回忆，在幻觉中握住的手是古扎雷萨的手，但现实中骷髅握住的手却是姬塔的手。被姬塔一行人救下的骷髅开始扪心自问真正的自由究竟是什么。
0-chapter_name,第六话 觉悟与觉醒
