id,trans
filename,scene_evt190726_cp6_q4_s20
translator,gpt-4o-2024-08-06
info,scene_evt190726_cp6_q4_s20
35,哇……！？要把这个交给九太他们吗……！？
34,所以，九太和姬塔小姐负责「随便料理」！
33,到现在为止，已经休息得够了……目前接到的订单，我会负责完成！
32,大将下定决心地站起来，转动着手臂。
31,是啊……没错……「宫里」是我们重要的店。要是不到最后挣扎一下会后悔的。
30,现在的「宫里」吗……
29,九太……
28,现在的「宫里」才能做到的，最棒的「随便料理」……九太他们一定能做出来！
27,为了让顾客高兴，九太他们可不能垂头丧气！
26,喂，九太，姬塔小姐……！？
25,嗯……是个充满自信的好回答。
24-sel1_txt,「随便料理」一份！
24,好的！「随便料理」一份！
23,然后，二人下定决心地深吸一口气，张开了嘴。
22,然后，二人下定决心地深吸一口气，张开了嘴。
19,呼……
18,在进退两难的情况下，姬塔和九太不由自主地对视。
17,虽然是「随便料理」……但是材料已经开始不够了啊……！
16,对店里的情况一无所知的萨瓦兰，满怀期待地下了寿司的订单。
15,来一份「随便料理」。价钱无所谓，但要让我满意哦？
14,是，是的！那个，要点什么呢……
13,那么，可以点餐了吗？
12,一旦坐下就……！该死，要是我再早点决定关店就好了……！
11,虽然不知道你为什么在这里，但我越来越期待了。
10,嗯，你是……姬塔吗？没想到会在这样的小岛上再次相遇……
9,如果不能让他满意，那名声会立刻传遍全空的！
8,在全空中享有盛誉的美食家萨瓦兰。他有着敏锐的味觉和权威，是个自豪的男人。
7,听碧这么一说，姬塔想起了萨瓦兰的存在。
6,总之，那家店的老板就是美食家萨瓦兰！
5,小酒馆·菲德拉赫……现在好像叫小酒馆·龙骑士。
4,在全空中享有盛誉的美食家萨瓦兰。他有着敏锐的味觉和权威，是个自豪的男人。
3-sel2_txt,好像在哪里见过……
3-sel1_txt,美食家萨瓦兰……！
3,那、那家伙，难道是……！
2,一个穿着豪华衣服的男人对店内的设施和菜单饶有兴趣地观察着……
0-synopsis,来店的美食家萨瓦兰要求「随便料理」，一行决定接受挑战。与此同时，齐格飞发现破坏食材的犯人是想让他们休息的弗莱德，并说服她。之后，姬塔和九太用伙伴们提供的各种材料制作了随便料理，让萨瓦兰赞不绝口。就在一行人欢呼雀跃之际，西格等人带着一条巨大的鱼冲进店内。
0-chapter_name,第6话 宫里危机
