id,trans
filename,scene_evt200128_cp0_q2_s10_a
translator,Gemini
info,scene_evt200128_cp0_q2_s10_a
159,　\n　\n　　　　　　　　　　　　　　　──完
155,一边抱怨着，泽塔\n从贴满整面墙壁的自己的通缉令中\n抓起一张，撕了个粉碎。
152,真是的，气死我了。
151,情况变得真是复杂啊。
150,拿着对星弹！上吧！
149,找到了！就是他们，赏金犯！
148,谁知道呢……\n嘛，反正都无所谓啦。\n这种赏金，又不会有人支付。
147,……为什么你的赏金比我的高？\n只有这一点让我无法理解。
146,啊哈哈，你看巴萨拉卡，\n我的赏金又涨了。
145,泽塔看着小巷的墙壁，叹了口气。
144,……真是的。
143,现在组织的中枢已经被摧毁了，\n敌人似乎打算\n消灭封印武器的使用者。
142,好好好。\n谁知道对星弹会从哪里飞过来呢。
141,你说太多了。\n不是说了不要引人注目吗。
140,哈啊……\n都走了呢。\n贝阿朵丽丝、尤斯缇斯和伊尔莎小姐。
136,小狗和铠甲鸡，暴脾气和尤斯缇斯\n还是像以前一样两人一组。\n以后千万不要引人注目。
135,总之，我暂时要单独行动。\n我还要去处理那些家伙的事情。
134,好好好。\n到时候就拜托你了。
133,偶，偶尔也要坦率地依靠我啊！\n泽塔也是！
132,在那之前，请尽量\n不要做出容易被抓住的举动。
131,嘛，这种状况我已经习惯了！\n我很擅长找到逃脱路线，\n大家都可以依靠我哦！
130,但是，这种情况不会持续太久。\n敌人很快就会采取其他手段。
129,毕竟，我们现在\n被骑空士和原组织成员\n两边都盯上了。
128,我自认为看人的眼光还不错……\n但还是要做好心理准备。
127,可以相信所有人吗？\n里面会不会混有叛徒？
126,如果不设法把那些家伙聚集起来\n我们就真的无处可去了……
125,也有一些聪明的家伙\n理解了实情，从粪坑里爬了出来。
124,真是麻烦。\n整个组织都变成了敌人。
123,实际上，是的。\n实权被海森堡掌握了。\n那个最大的混蛋。
122,中枢消失了，组织崩溃了……
121,也是啊……\n最近收到的消息\n全都是些糟糕的消息……
120,没有消息就是\n好消息，不是吗？\n那家伙肯定没事的。
119,伤，伤治好了吗……\n那家伙，没事吧……
118,是吗……
117,至少他前往月球了。
116,那么，卡西乌斯呢？
108,他们是月球上，地位最高的战士……
107,呃，那个……\n卡西乌斯，他们是你的朋友吗？
106,欢迎回来。
105,欢迎来到机关……
104,在我的肚子里也可以哦？
103,那就迎接他们吧。
102,嗯嗯……\n无论是粉碎还是吃掉，我们所有人，\n都会被大人物责骂哦……
101,这枚火箭，看起来很好吃。
100,这枚火箭怎么样？\n看起来很有粉碎的价值。
99,真遗憾呢。\n食欲还没满足。\n有什么吃的吗？
98,真遗憾啊。\n肾上腺素分泌过剩了。\n需要一些东西来粉碎。
97,我看到了哦……\n我看到了空无一物……
96,艾尔德，还有其他反应吗？
95,看到了很棒的东西呢……\n感觉就像遇到了破坏兽一样……
94,哎呀……可以吃的地方，\n已经不剩了吗？
93,体型这么大却没什么感觉。\n终究只是过去与星晶兽战斗过的\n迟钝种族吗。
86,卡西乌斯把手放在舱门上，\n就在这时……
85,可恶……！
84,情况不妙。\n反应数量增加，总共4个。\n又有3个东西正在靠近。
83,……我从未见过如此巨大的东西。\n把诺因借给我。
82,别说傻话了！\n战斗？兄弟！
81,偏偏在这种地方出现吗。\n我去外面战斗。\n穿上装备，艾萨克。
80,────……
79,被什么东西捕捉了。\n不要强行操作，\n火箭会解体的。
78,怎么了！？突然失控了！？
77,！
70,月面从模糊的白色变成了灰色，\n变成了卡西乌斯熟悉的景色。
69,小声地嘟囔着，\n卡西乌斯闭上了嘴。
68,然后，再次……
67,是啊。\n也就是说旅行非常愉快。
66,我之前在小说里读到过，\n旅行结束后，\n最好能有这种感想。
65,喂，兄弟。\n不会对天空感到留恋吗？\n说实话，我有点舍不得。
64,…………
63,啊。那就好。
58,出血已经止住了。\n没问题。
57,啊……没什么。\n因为你脸色不太好。
56,怎么了？
55,……兄弟？
54,…………
49,难道是因为气压导致出血……！
48,喂，兄弟？\n怎么不回答，怎么了？
45,哈哈！\n又来了，「很有趣」是吧。
44,卡西乌斯先生，听说下一个岛，\n路边摊的料理很好吃哦！
41,……是吗。
40,喜欢这个味道吗？
37,别到处乱跑……\n真是的，训练新兵\n还更轻松些……
34,…………
31,……等等，卡西乌斯。\n那是酒。
28,所——以——说——！\n那些文字只是浴衣上的花纹！\n不用读出来的！
25,怎么了，你。肚子饿了吗？\n那，我的面包分给你吧。\n涂上很多果酱会很好吃哦！
22,（为什么，记忆会自然地浮现出来？）
21,（为什么……）
20,不知道艾萨克的话有没有传达到，\n卡西乌斯只是茫然地望着窗外。
19,…………
18,很厉害吧，这是万能胶带。\n顾名思义，它可以用来做任何事情。
17,用胶带止血成功了。\n已经没有出血了。
16,感觉怎么样，兄弟？
15,好了，终于实现了夙愿，离开了天空。\n……终于可以去月球了。
9,即使火箭消失在天际之后，\n魔晶燃烧的紫色烟雾\n依然拖曳着长长的尾巴，久久不散。
8,一行人目送着缓缓升空的火箭。
7,…………
6,可恶……\n不好好地、精神抖擞地回来\n我就不再分面包给你了……！
5,希望那家伙，卡西乌斯\n还能再回到这里啊。
4,一行人祈祷着卡西乌斯的平安。\n像是回应他们的祈祷一般，火箭的底部\n亮起了紫色的光芒。
3,月球应该也有自己的理由\n才把卡西乌斯召回去的。\n应该不会轻易见死不救吧。
2,卡西乌斯先生，他没事吧……
1,送行送得这么远\n感觉有点寂寞啊……
0,……离这么远应该没问题了吧？
0-synopsis,为了拯救卡西乌斯，只能将他带到月球。因为他的脏器已经机械化，即使治疗了肉体，也无法修复机械的损伤。艾萨克、蕾贝莉和卡西乌斯乘坐火箭前往月球。姬塔等人目送着他们。之后，泽塔等人得知组织实际上已经崩溃。中枢死后，海森堡掌握了全部权力。由于他的策略，泽塔等人成为了赏金犯，各自散去，继续与骑空士和组织的士兵战斗。
0-chapter_name,结局
