id,trans
filename,scene_evt151231_cp5_q3_s20
translator,Gemini
info,scene_evt151231_cp5_q3_s20
68,姬塔点了点头，\n开始撤退战。
67,那么，姬塔……\n把这些家伙解决掉\n回飞艇吧！
66,追上去干掉他们！！\n咿咿咿咿哈啊啊啊啊！！
65,不能后退！！\n不能反省！！
64,回想一下老大的话！！\n为了抓住自由！！\n绝对不能向任何敌人屈服！
63,他们的数量虽然减少了……\n但仍然有很多。\n明智的决定。
62,……撤退是最好的选择。
61,贝阿！！
60,哈……笨蛋……\n数量什么的，战力差距可不是……\n那么简单……吧……
59,而且我们\n在数量上还占优势！\n包围他们干掉他们！！！
58,可恶～！\n快去回收最终兵器！！\n还来得及～～！！
57,什么……？
56,他们的不屈。\n和贝阿朵丽丝不相上下。
55,呜哇！？\n不要突然出现啊！
54,不，不可能的。
53,那些家伙，看到刚才那一幕\n斗志都被击溃了吧？\n赶快，一口气把他们全部解决掉……
52,咿、咿呀～～！\n什么人啊……！\n居然让我们的最终兵器单膝跪地……！
51,开、开玩笑的吧！！\n怎、怎么会这样！！\n最、最终兵器居然！！！
50,哈……哈……\n可恶，真是难缠的家伙……！！\n没能打倒它们……！！
49,两只星晶兽身负重伤，\n痛苦地单膝跪地。
48,吽嗯……
47,啊啊……
46,随着视野逐渐清晰，\n眼前的景象映入眼帘，\n一行人惊愕不已。
45,发、发生了什么……
44,空气炸裂，大气震动。\n耀眼的闪光笼罩了雪原。
42,吽嗯嗯！！！！
40,啊啊啊！！！！
38,贝阿朵丽丝这样喊着，\n如同要撕裂星晶兽的侧腹一般，\n将剑刃横扫过去。
37,还没完啊啊啊啊啊！！
36,金色的魔力之线被切断了，\n星晶兽惊愕地停了下来。
35,！？
33,接招吧啊啊啊啊啊！！
32,仿佛回应着贝阿朵丽丝的话语，\n剑刃的光芒更加耀眼，变得更加巨大，\n膨胀起来。
31,安布拉斯克之剑啊……！！　\n吞噬我面前 swirling 的因果，\n开辟通往胜利的道路！！
30,两只星晶兽为了用魔力之线\n撕裂贝阿朵丽丝的身体，\n以惊人的气势冲了出去。
29,吽！！
27,啊！！
25,奉陪。来吧。
24,啊、危险！！　那个招式是……！\n喂蓝色姐姐！\n被它们夹击的话……！
23,两只星晶兽的指尖\n涌出金色的魔力。
22,吽嗯嗯嗯……！！
21,两只星晶兽似乎感受到了贝阿朵丽丝的威胁，\n立即摆好架势。
20,啊啊啊啊……！！
19,蓝色的气息逐渐与剑同化，\n剑刃以肉眼可见的速度巨大化。
18,随着贝阿朵丽丝的喊声，\n她手中的剑开始\n泄露出蓝色的气息。
17,啊啊啊啊！！\n呜哦哦哦哦！！\n真！！　让人不爽！！
16,我到底被逼到了怎样的绝境……\n又丢了多少脸……！！
15,结果，自己挖了个坑\n武器被没收了……而且还\n穿了那种……丢人的衣服……
14,本想背叛他们\n加入古鲁扎雷扎的伙伴，\n结果却被完全看穿了……
13,吽嗯嗯嗯……
12,啊啊啊啊……
11,贝阿朵丽丝架起武器，\n向逼近的星晶兽走去。
10,虽然对游刃有余的泽塔和尤斯缇斯感到疑惑，但一行人还是选择相信他们，目送贝阿朵丽丝离去。
9,看着就知道了。
8,怎、怎么回事……？
7,比在这里的任何人都要强吧。
6,是啊。相当憋屈了吧。\n搞不好现在的贝阿……
5,如果是现在的贝阿朵丽丝的话。
4,哎！？\n不、不阻止她吗！
3,嗯。\n那，这样可以了吧？
2,啊，现在的我极其冷静。
1,……焦躁消失了吗。
0,一个人搞定什么的……\n那、那种事情绝对、\n不可能的啦！！
0-synopsis,贝阿朵丽丝从安布拉斯克之剑中释放的攻击，在逆境中越是陷入绝境，威力就越是强大，对周围一带造成了巨大的伤害。然而，大蛇木偶凭借着不屈的精神再次站了起来，对姬塔一行发动了总攻击。
0-chapter_name,第五话 逆境与逆转
