id,trans
filename,scene_chr202_q2_s20
translator,Gemini
info,scene_chr202_q2_s20
26,在前方奔跑的帕维达的\n背影，在姬塔眼中\n似乎比平时更加高大了些。
25,姬塔点了点头，\n跟上了帕维达。
24,难道是要去收集食物吗？\n呵呵，我们也来帮忙吧！\n好不好，姬塔！
23,帕维达开心地笑着，\n有力地回答后，\n朝果实生长的地方跑去。
22,是！\n这就去！！
21,啾啾啾！\n<span class='scene-font-kokoro'>（喂，你还傻笑到什么时候！</span>\n<span class='scene-font-kokoro'>好不容易回来一趟！　快去拿吃的来！）</span>
20,嘿嘿，\n肯定是被夸奖了吧！
19,嗯……虽然不知道在说什么，\n不过……\n帕维达先生看起来好开心啊。
18,……前辈……！！
17,呼噜噜……\n<span class='scene-font-kokoro'>（你小子，变强了啊。</span>\n<span class='scene-font-kokoro'>干得不错）</span>
16,呱哇——！！\n<span class='scene-font-kokoro'>（谢啦！）</span>
15,呱哇……\n<span class='scene-font-kokoro'>（如果你不在的话……</span>\n<span class='scene-font-kokoro'>我说不定就完蛋了）</span>
14,呱哇——！\n<span class='scene-font-kokoro'>（别说傻话了！</span>\n<span class='scene-font-kokoro'>你也努力了啊！）</span>
13,好痛！！　好痛好痛！！
9,帕维达向他的前辈们低头致谢。\n这时，动物们纷纷围了上来，\n开始拿头撞他。
8,真的非常感谢……\n大前辈……前辈们……\n这次也承蒙你们相救……
7,没、没有的事啦。\n如果没有前辈们帮忙的话，\n我肯定就被打倒了……
6,啊，没想到\n居然能把山贼们全部打倒……\n你意外的挺强的嘛？
5,哈哈，话说回来，\n帕维达，\n你小子有两下子嘛！
4,是、是吗……\n太好了……
3,呱哇……\n<span class='scene-font-kokoro'>（稍微、</span>\n<span class='scene-font-kokoro'>被揍了一顿，但没事）</span>
2,哈啊……哈啊……哈！\n前、前辈您受伤了……？
1,呱哇——！！\n<span class='scene-font-kokoro'>（不准再来惹老子们！</span>\n<span class='scene-font-kokoro'>笨蛋们！！）</span>
0,被动物们和姬塔一行人\n打败的山贼们，\n胆战心惊地离开了山里。
0-synopsis,一行人与帕维达成功击退了山贼。前辈们称赞了击退山贼的帕维达。帕维达似乎很高兴被称赞，但前辈们立即对他吼道“快去收集食物”。帕维达为了收集食物慌慌张张地跑向森林，但他的背影在姬塔眼中却比平时更加高大。
0-chapter-name,拯救前辈们
