id,trans
filename,scene_evt210927_cp2_q1_s10
translator,Gemini
info,scene_evt210927_cp2_q1_s10
91,使劲哭吧，快快长大，变得更强\n阿尔瑟。然后，——……\n这个国家就拜托你了。
90,哦哦，乖，乖……\n现在就让你哭个够吧。
89,哇啊啊，哇啊啊……！
88,阿尔瑟，你真爱哭啊。\n——……你看看人家。\n多乖啊？
87,尤瑟从婴儿床上\n抱起了自己的儿子。
86,果然是阿尔瑟啊……\n你看！
85,哇啊，嗝……哇啊……\n<span class='scene-font-4'>哇啊啊啊！</span>
84,哦？\n是谁在哭啊？
83,唔……哇啊……！
82,出现在边界之地卡姆兰的\n圣剑传说……\n我倒是很喜欢……
81,忘了它吧。\n我只告诉你一个人。
80,喂喂。\n身为国王的你可\n不能说这种丧气话啊。
79,区区「鞘」能做什么，\n我可不清楚。
78,对于尤瑟这番像是玩笑的话\n乌利艾斯王\n轻轻地耸了耸肩。
77,在这种时候，如果能出现\n手持「鞘」平息灾厄与伤痛的英雄\n就好了。
76,尤瑟……
75,真是的……\n作为守护这个国家的骑士\n心中也满是不甘啊。
74,我会尽力\n让他们接受\n我们的请求的。
73,而且菲德拉赫也\n多少了解现在\n希贝鲁古莱夫所面临的问题吧。
72,先不论传说\n我听说约瑟夫王是一位贤明的君主。
71,持剑的菲德拉赫与\n守护剑鞘的希贝鲁古莱夫，吗……
70,但是，根据古老的盟约\n我们应该是生死之交才对。
69,确实，我国希贝鲁古莱夫\n与菲德拉赫在最近几代\n都断绝了邦交。
68,菲德拉赫吗……\n这样突然的请求会获准吗？
67,……我想向菲德拉赫\n请求援助。
66,那么，陛下的想法是？
65,是啊。\n那些家伙，似乎\n并没有打算就此罢手。
64,不，这并非是你们的责任。\n而且现在也\n没有时间后悔了。
63,抱歉，乌利艾斯。\n我等骑士团力量不足……
62,这样啊……\n和平果然很难实现吗。
52,就这样，格兰赛法号\n朝着菲德拉赫\n调整了航线。
51,好！
50,好！\n我们这就出发吧！
49,耶！\n我很期待\n和大家见面！
48,听完露莉亚和碧的话\n姬塔点了点头说“走吧”。
47,与同龄人交谈\n会让人更有动力吧。
46,阿尔瑟和莫德雷德\n都闪着期待的眼神\n想听姬塔讲故事呢。
45,姬塔去年\n同行参加登山考试，让见习骑士们\n受到了很好的影响。
44,呃……？
43,信上说，如果很忙的话\n也不用勉强自己……
42,要去吧！
41-sel2_txt,嗯……
41-sel1_txt,当然……
41,那么？\n怎么办？姬塔。
40,原来如此！
39,希望姬塔也\n能一同前往参加训练！
38,然后……
37,信上说要对一年级和二年级的见习骑士\n进行联合远征训练。
36,啊，信上还有后续内容呢。\n是什么呢……？
35,一定是这样！
34,他们也有了自己的后辈\n肯定变得\n更加可靠了吧。
33,啊哇……说的也是！\n对不起。\n因为小鸡很可爱所以就……
32,喂喂露莉亚，那些家伙\n已经不是小鸡了？\n都变成鸡了。
31,呼呼，小鸡班的大家\n都还好吗？
25,在碧和露莉亚之后\n姬塔也简短地打了招呼。
24,呃，那个……\n我会和大家一起努力的！\n请多关照！
23,哦哦！\n请多关照啦！
22,被兰斯洛特介绍给大家的\n姬塔、碧和露莉亚。
21,我来向大家介绍\n我信赖的这位骑空士。
20,所以，这次打算邀请一位骑空士\n来参加考试。
19,我等白龙骑士团，较之前\n与骑空士接触的机会\n有所增加。
13,一年前的入团考试，姬塔一行\n应兰斯洛特和薇恩的请求\n作为特别考官参加了考试。
12,嘿！阿尔瑟和莫德雷德他们\n入团已经一年了啊。
11,继去年之后，今年也\n有很多见习骑士\n加入了白龙骑士团。
10,某天，在格兰赛法号上\n姬塔一行正围在一起阅读\n来自菲德拉赫的薇恩寄来的信。
9,那个……
8,呐呐，薇恩说了什么？
0-synopsis,某天，姬塔一行收到了来自薇恩的信。信中写道，白龙骑士团的见习骑士们将要进行联合远征训练，希望姬塔能够同行。姬塔答应了她的请求，出发前往菲德拉赫。时间与地点发生变化，乌利艾斯和尤瑟一边感叹着如果此时此刻能出现持有「鞘」的英雄就好了，一边决定向菲德拉赫请求援助。
0-chapter_name,第二话 圣剑传说
