id,trans
filename,scene_evt170731_trust2
translator,Gemini
info,scene_evt170731_trust2
43,好，完成了！\n那么，接下来我们来比赛谁钓到的鱼更多吧！
42,把捡到的鸟毛绑到鱼钩上——
41,那，开始钓鱼吧！\n姬塔你的鱼饵我也来帮你做吧。
40,卡莲的信赖度提升了75！
38,呼呼，真开心。总觉得，在这片海边\n想要和姬塔你\n一起度过更多的时间！
37,……呼呼，这样啊……\n原来你已经认可我\n是代理团长了啊。
36,诶！？
35,卡莲的信赖度提升了125！
33,作为代理团长，\n姬塔你不知道的地方\n我也要好好cover才行呢！
32,呼呼，怎么样啊姬塔！
31,真的吗？！太好了！\n果然接触自己不知道的事情\n会很开心吧？
30,卡莲的信赖度提升了100！
28,呼呼，我可不能认输。\n我还要介绍更多\n姬塔你不知道的东西才行！
27,虽然我也在学习各种各样的东西，\n但果然还是你厉害啊，姬塔！
26,诶！？\n这样啊，原来你知道啊……
25-sel3_txt,不愧是代理团长
25-sel2_txt,不知道
25-sel1_txt,知道
25,怎么样，是从渔夫们那里听说的！\n姬塔你之前知道吗？
24,虽然说好像\n挂什么鱼饵都可以，但如果它们会吃饵的话\n每次都挂鱼饵也很麻烦吧？
23,聚集在这里的鱼呢，因为\n一心想着要吃那种鱼的幼鱼，\n所以不管什么都会往嘴里塞。
22,说着，卡莲展示了\n绑着疑似鸟类羽毛的鱼钩。
21,啊哈哈。真是的，不知道就\n早点说嘛。\n正确答案就是，这个拟饵。
20,结果卡莲开始\n啪啪地拍打姬塔的身体\n所以她只好乖乖地回答“我不知道”。
18,姬塔想强行去看\n但卡莲不肯让步。
17,可恶……！所以说……！\n这个……之后再说啦……！
16,无视着卡莲的抗议\n姬塔试图抢过她手上的鱼钩。
15,诶——！？\n那我的问题不就不成立了嘛。
14,……正确！你很懂嘛，\n姬塔。不愧是你！
13,说着，姬塔\n从地上捡起一根鸟类的羽毛\n展示给卡莲看。
12,……我说啊，虫子什么的根本不需要，\n正确答案是这个，拟饵。\n而且虫子什么的我是真的不行。
11,虽然她的反应还挺有趣的，\n但卡莲好像真的要生气了\n所以姬塔适可而止了。
10,等、等一下！？\n不要，不要，不要！住手！\n别把它往我这边凑啊姬塔！
9,看来卡莲好像很怕\n这种类型的生物。试探性地，\n把它往她的脸靠近看看……
8,呜诶……！\n诶、诶、你怎么能碰那玩意儿！？
7,姬塔找到了一条在水底蠕动爬行的长虫。\n她用手指捏着这条长着无数条腿的虫子，\n把它举了起来。
5-sel3_txt,让我看看答案
5-sel2_txt,拟饵
5-sel1_txt,周围的虫子
5,说着，卡莲好像已经把鱼饵\n挂到鱼钩上了。\n看到这一幕的姬塔的回答是——
4,那么……问题来了，\n想要钓那些鱼的话，\n用什么鱼饵比较好呢？
3,你刚刚看到的，有那种鱼的幼鱼吧？\n为了捕食它们\n岛上的鱼都会聚集过来哦。
2,其实呢，这座岛上的鱼是很少\n但只有这段时间可以钓鱼哦。
1,卡莲突然开始准备钓竿。\n“这座岛上的鱼不是很少吗？”\n姬塔歪着头感到疑惑。
0,啊，肚子饿了呢，姬塔！
0-chapter_name,喂，团长，我们去海边玩吧！
