id,trans
filename,scene_chr005_q2_s20
translator,Gemini
info,scene_chr005_q2_s20
24,语气中，\n充满了向外面的世界迈进一步的，\n自豪。
23,少女独自一人，\n向毛绒玩具讲述着今天的冒险。
22,呐呐，听我说卡西马尔……\n我今天\n超级努力了哦……
21,嗯，真是太好了……\n多亏了这块布料……
20,太好了！\n我复活啦！
19,——嗯，那个……\n好了，缝好了，卡西马尔。
16,呵呵，不过……\n安娜看起来很高兴呢。
15,嗯……\n她说因为已经跟这辈子都不认识的人说了一辈子的话，\n就躲到里面的房间去了。
14,……我说！\n所以说安娜她到底\n去哪儿了？
13,——哎呀，这次，\n多亏了安娜啊！
10,呵呵呵……不用谢。
9,啊，啊哇哇……\n啊，谢谢……！
8,那个……虽然与救命之恩相比，\n这份谢礼微不足道……\n但还是希望你能收下？
7,是的，请收下。\n你们是为了这块布\n才来到森林深处的这个村庄的吧？
6,啊，这……这、这块布……
5,嗯……\n刚才谢谢你救了我们。\n那个，这个……
4,呀！\n啊、那个……我、我……？
3,那个……，您……
2,太好了……
1,是的！\n已经没事了，安娜。\n周围已经没有魔物的气息了。
0,已、已经结束了吗……？\n已经没有了吗……？
0-synopsis,击退魔物的安娜，收到了村民们赠送的饱含感谢之情的特殊布料。虽然不习惯与人接触的安娜害羞地躲进了自己的房间，但她向重要的伙伴讲述今天经历的时候，脸上却充满了喜悦。
0-chapter_name,千钧一发卡西马尔
