id,trans
filename,scene_evt140630_cp5_q1_s20
translator,Gemini
info,scene_evt140630_cp5_q1_s20
25,在艾尔塔犹豫不决的时候，\n姬塔一行人注意到了\n正在靠近村庄的魔物，便急忙赶往森林。
22,(如果我和塞尔菲拉小姐\n一起合奏的话……！\n但、但是，如果失败了……？)
21,原来……是这样啊……
20,那首曲子，原本就不是\n一个人演奏的。
19,塞尔菲拉，你错了。\n即使是吟游骑空团，也不是仅凭一己之力\n就让米德加尔兹奥尔姆沉睡的。
18,……如果我再强大一些就好了……\n像太奶奶那样……！
17,得赶快想办法对付米德加尔兹奥尔姆才行，\n不然就真的束手无策了……
16,随着米德加尔兹奥尔姆的力量\n逐渐觉醒，\n它的影响也越来越大了。
15,啊……那个，如果是我想多了就好了\n总觉得魔物们\n是不是越来越强了？
14,糟了！\n魔物已经逼近村子了！
13,咕啊啊啊啊啊！
12,……真的，没事吗……
11,好啦好啦，乖孩子。\n没事的，没事的……
10,妈妈——！\n好可怕啊……
9,刚才的震动好厉害啊……\n村子里也出现了魔物，\n我们接下来该怎么办……
8,曾经吟游骑空团挑战它的时候，\n是在战斗中削弱了它的力量之后，\n用歌声让它沉睡的。
7,什么！？\n它一闹腾就能让岛屿摇晃到这种程度……\n要是完全觉醒了那还得了！
6,刚才的，可不是单纯的地动！\n是米德加尔兹奥尔姆在肆虐吧！\n……它已经拥有如此强大的力量了吗。
5,呼……总算停下来了。\n不过也摇晃了很长时间啊！
2,是、是的！
1,好厉害的震动……\n大家，快到房子外面去！\n架子可能会倒下来。
0,呀啊！\n地、地面在摇晃！
0-synopsis,在村庄休息的一行人突然遭遇了地动。开始觉醒的米德加尔兹奥尔姆正在肆虐，摇晃着岛屿。随着星晶兽的觉醒，魔物的力量也变得越来越强。一行人从齐哈尔那里得知，封印的曲子并不是一个人演奏的，但艾尔塔害怕自己会失败。就在这时，他们发现了正在靠近村庄的魔物，一行人便动身前往森林。
0-chapter_name,第五话 鬼胎的具现
