id,trans
filename,scene_chr970_q2_s10
translator,GPT-5.6 Sol
info,scene_chr970_q2_s10
147,怎、怎、怎——么可能啊啊啊啊！？
146,啊，动作和台词太土了，我不要。
145,既然决定了，\n得赶紧为新成员设计\n专属动作和台词才行……
144,太棒啦——！\n新成员确定啦——！
143,就这么定了！\n我要同时担任偶像\n与新十二神将！
142,（问题大了去了吧……）
141,这样的话就没问题了！
140,新十二神将完全可以兼职哦！\n主业是偶像，\n副业是新十二神将，怎么样？
139,请稍等！\n明日香小姐是要当偶像的！\n哪还有余力去当新十二神将……
138,人数马上就会增加！\n只要有明日香加入，肯定很快！
137,那这还根本算不上\n什么组织吧……？
136,只有我一个哦！
135,现在有多少人？
134,——而创立的全新组织！\n现正火热招募成员中！
133,所谓新十二神将呢，\n就是我受天空世界中\n那十二位超级帅气的神将启发——
132,新十二神将是什么……？
131,等等……
130,抱歉啊，真嗣、明日香。\n这小子一见到有潜力的人，\n就立刻开始拉人入伙。
129,——总之，新十二神将\n是个超热门组织哦！\n现在加入还可享积分优惠与专属福利！
123,又来了……
122,诶……？
121,要加入新十二神将吗！？
120,喂，该不会……
118,你的动作真漂亮啊！
117,刚才谢了。\n虽然我自己也能搞定，\n但礼节性道个谢吧。
116,…………
115,这也没什么大不了的。
114,不愧是明日香小姐！\n竟以这种方式\n让顾客们安心下来！
111,短暂的寂静过后，\n两人干净利落的应对\n令观众们齐声沸腾。
109,呃啊……
107,碍事！！
106,可恶……别只顾着聊！\n把我们晾在一边算什么！
104,诶——！？绝对很土啦！\n你有认真参考过别人的意见吗？
103,一点都不土！\n这可是帅气十足的台词！？
100,这台词，不觉得土吗……？
99,你在害怕呢。\n但没关系。猫神淑库拉\n永远站在你这边——
98,…………
97,那边那位，请放心！\n新十二神将前来相助！
96,这句话该我说才对！\n我正以新十二神将身份巡逻，\n一眼就看见你们了！
95,淑库拉小姐！？\n您怎么在这儿！？
92,猫神淑库拉，此刻降临！
89,哈啊！
88,只要天空尚存邪恶，\n我的双眼与双耳便永不放过！\n无论天涯海角，我必奔赴而至！
86,呜噗！？
84,休想得逞！
83,男人从死角突袭明日香。\n这抓住瞬间破绽的偷袭\n眼看就要得手——
82,…………！！
81,破绽！就是现在！！！！
80,可恶……难道要任由你们\n这么打下去吗……
79,光靠数量可没用。\n再多这种货色，\n也根本不值一提。
76,身手确实厉害，\n但这真的是偶像该做的事吗？
75,反应神经太出色了！\n一定能跳出绝美的舞蹈！\n真是难得的人才！
74,（说起来，明日香\n好像说过自己是空军少尉，\n应该也接受过徒手格斗训练吧……）
73,一行人呆立当场，\n目不转睛地注视着\n明日香如舞般灵动的战斗身姿。
72,原来明日香就算不驾驶EVA，\n也这么强啊……\n我完全不知道……
71,好厉害的身手……\n简直像卡尔梅莉娜大人一样……
68,呃啊……！？
62,竟敢泄露公司机密……！\n<span class='scene-font-4'>上啊！！</span>
61,这就是所谓的‘钓鱼式投诉’啊！\n<span class='scene-font-4'>真是群恶棍！</span>
60,确认了。看来是打算\n用跟上次拉面店一样的手法\n牟利。
