id,trans
filename,scene_chr092_q1_s10
translator,Gemini
info,scene_chr092_q1_s10
33,向我和さっちゃん挑战，\n现在就让你们后悔莫及！
32,哼……勇气可嘉。\n但就是不太聪明的样子。
31,别怪我们不客气了！\n要怪就怪那个怪物吧！
30,哇！？\n什么什么！？\n那帮家伙要动手吗！？
29,哼……！\n乖乖地交出来不就好了，\n也不用受伤了！
28,就算你们让我交出怪物，\n我也很为难啊。
27,唔……\n我骑着的\n不是怪物而是さっちゃん所以……
26,对，就是那位小姐骑着的\n那个怪物。
25,怪物……？
24,啊……\n我们有点事想拜托那个怪物。\n能借给我们用用吗？
23,嗯？\n几位哥哥，\n找我们有什么事吗？
22,啊，那个面具……没错了。
21,喂，是那个怪物吧……？
20,这说明さっちゃん\n真的很可爱……
19,那、那是什么意思啊！？
18,啊，最好别那样做哦\n我姐姐之前看到さっちゃん真面目后，\n就昏倒睡了三天。
17,脸蛋……\n那个，那是面具对吧？\n摘下面具的话会是什么样子呢？
16,…………
15,さっちゃん明明长着可爱的脸蛋啊\n对吧？さっちゃん。
14,那、那个……\n那、那果然是，\n被害怕了吧……
13,反倒是，大家都很积极地避开\n给我们让路什么的……
12,在我的村子里\n大家都没有害怕过さっちゃん啊……
11,街上的人们\n都被吓到了啊！\n就……被你骑着的那家伙！
10,诶？为什么？
9,我说……\n现在可是在城镇里啊，\n能从那家伙身上下来吗？
8,同行的梅路即使在城镇中也依然骑在伙伴的背上，成为了众人瞩目的焦点。
7,在旅途中，姬塔一行造访了某个城镇。
6,不，就算你这么说……
5,啊，啊哈哈……\n不、不行哦，碧先生！\n怎么能叹气呢！
4,唉……
3,那是什么？那家伙……
2,喂，那个……
1,…………
0,哼哼哼♪
0-synopsis,在某个城镇，她和她的神秘生物伙伴吸引了全城人的目光。这时，出现了一群恶棍，要求梅路交出她的伙伴さっちゃん，但梅路拒绝了。面对她的态度，恶棍们拔出了剑。
0-chapter_name,身份不明的朋友
