id,trans
filename,scene_evt210629_cp2_q1_s10
translator,Gemini
info,scene_evt210629_cp2_q1_s10
76,德里福德下定决心，\n将手伸向了赤热矿桑拿房的门。
75,好……\n这就去桑拿房！
73,原来如此……\n在桑拿房里\n含着冰块来补充水分，\n真是细致周到的服务啊。
72,听起来就很热的样子，\n嗯……？桑拿房前面\n怎么放了个装冰的箱子……
71,这里就是用<span class='scene-font-place'>巴尔茨</span>产的赤热矿\n做成桑拿石的\n赤热矿桑拿房吗……
65,那么，差不多该去正题了……
64,这……这样可不行。\n太舒服了，再这样下去\n就要没进去桑拿就结束了。
62,这里稍微有点温，很舒服啊。\n听说可以促进血液循环，对身体好，\n感觉可以一直泡下去。
61,唔唔唔！\n一瞬间全身就\n附着了气泡……\n高浓度碳酸泉名不虚传啊。
55,接下来是……
54,这还挺容易上瘾的。\n真是雅致的享受啊。
53,唔唔……\n是用10种药草大量熬制而成的、\n具有各种功效的药浴啊。
52,哦……\n这药草浴\n感觉像是渗透到身体里了……
46,我之前看导览图的时候\n好像还有其他各种各样的\n浴池来着……
45,这股硫磺味，\n真是舒服啊。
44,呼啊～，不愧是<span class='scene-font-place'>巴尔茨</span>，\n居然有源泉直供的\n天然温泉！
39,德里福德冲洗完身体后，\n立刻就进了露天浴池。
38,德里福德移动到更衣室，\n寄存好衣服后，\n直接去了浴室冲洗身体。
37,难怪擦肩而过的老人们\n都那么精神抖擞、乐在其中。
36,看来这里一直在馆内\n举办各种各样的活动啊。
35,什么什么……\n这里居然还举办\n歌谣大会、音乐演唱会、\n甚至还有街头表演。
34,德里福德在途中被馆内公告栏上的\n告示吸引住了目光。
29,德里福德在前台支付了入馆费，\n把手腕上的储物柜钥匙戴好，\n踏入了馆内。
28,这里就是巴尔茨健康中心吗……\n感觉上比清风之汤\n老年顾客要多啊。
21,德里福德乘坐合乘飞艇，\n抵达了某栋建筑物前。
16,德里福德接受了姬塔温柔的劝慰，\n动身前往英格维给他的纸条上\n写的设施。
15,为了如此不中用的我，\n谢谢您。
14,姬塔小姐……
13,调查桑拿可是很重要的工作，\n所以会好好支付报酬的……\n姬塔敬上。
12,暂时禁止接受讨伐类的委托……\n去调查一下其他推荐的桑拿……
11,德里福德注意到\n自己房间门缝里夹着一封信，\n便拿起来读了一遍。
10,那么，今天就去做委托……\n嗯？
9,身、身体好轻……！\n英格维大人\n说的没错！
8,次日，德里福德在自己房间的飞艇上，比平时更加神清气爽地醒了过来。
0-synopsis,次日，德里福德接受了姬塔的安排，决定前往英格维给他的纸条上写的桑拿设施。他造访了位于<span class='scene-font-place'>巴尔茨公国</span>的「巴尔茨健康中心」，在尽情享受了露天浴池和草药浴后，踏入了桑拿房。
0-chapter_name,第二话 巴尔茨健康中心
