id,trans
filename,scene_evt200128_cp3_q2_s10
translator,Gemini
info,scene_evt200128_cp3_q2_s10
68,一边思考着组织的目的，\n一行人朝着总部前进。
67,他们抓走卡西乌斯，\n究竟想做什么？
66,是啊。
65,这还真是巧合啊。
64,比诺因还要早好几代的\n控制设备吗……或许和我身上的装备\n是同一时代的超级古董呢。
63,恐怕是这样。如果是作为针对封印武器的措施\n而准备的，他们不可能\n在那种状态下使用它。
62,啊……也就是说，\n信号发送过程中燃料耗尽，\n没能发送到最后？
61,…………？
60,停止信号的校验和不匹配。\n可能是电池没电了。
59,不，恐怕不是。\n就算考虑到你们的反叛，\n他们也不会使用那种东西。
58,他们还真是准备了麻烦的东西啊。\n是预料到封印武器的契约者会造反吗？
57,所以巴萨拉卡也是因为受到了封印武器的影响\n才会变成那样的？
56,卡西乌斯的话……\n传说月球人会将身体的一部分\n机械化。
55,所以封印武器才会\n出现奇怪的举动吗？
54,干扰月球来源的机械，\n强制使其停止运作。\n可以说是诺因的远房亲戚。
53,我亲身体验过，\n那是月球装置发出的信号。\n从形式上来看相当古老。
52,关于这一点，\n我想请雷贝利来解释一下。
51,卡西乌斯也是。\n在我看来，承受了那种攻击还能没事\n才更奇怪。
50,……话说回来，为什么只有贝阿朵丽丝\n没事？\n巴萨拉卡都倒下了。
49,那么，组织的那些家伙，\n到底做了什么？\n大家突然就动不了了。
43,嗯。路上再解释吧。
42,也就是说你明白\n刚才发生了什么？
41,封印武器，刚才的干扰，\n对方精通月球科技。\n那么，作为工程师的我应该也能派上用场。
40,嗯。看来我们也能帮上忙。\n特工卡西乌斯要是出了什么事\n就麻烦了。
39,那我们也应该一起去。\n艾萨克。
38,如果就这样保持沉默，我的后盾\n罗南可能会因此失去权力。\n为了今后的行动，也请你帮帮忙。
37,为了向中枢提出异议，\n我要前往总部。\n姬塔，可以拜托你用飞艇送我们一程吗？
36,尤斯缇斯\n略作沉思。
35,他们的举动太奇怪了……
34,看来他们心里有鬼。\n怎么办，尤斯缇斯？
33,不知道，\n但肯定不是什么好事。\n连尤斯缇斯你都瞒着，对吧？
32,那，那个……\n组织的人，他们打算对卡西乌斯先生\n做什么……
31,是啊。虽然说是优先级和重要度都很低，\n但我可不这么认为。
30,说是为了审问未免也太过强硬了。
29,我接到指令，要将他们带回总部进行审问。但目的应该另有其他。
28,…………
27,……是啊。为什么偏偏是现在？\n为什么要把卡西乌斯带走？
26,为什么偏偏是现在……\n好不容易才和特工卡西乌斯\n见面……
25,——以上，就是刚才发生的事情。
20,…………
18,喂，醒醒！
17,说什么长枪之类的……\n看来只能亲自审问他了。
16,中枢说了什么？
15,无视士兵的困惑，通讯中断了。
14,…………
13,旅行者是当务之急。\n要对审问进行长枪。\n对长枪进行审问。
12,不，他好像没有携带\n那样的东西。
11,…………
10,旅行者身上，应该有的。长枪呢？
9,长枪……吗？
8,对旅行者进行审问。长枪呢？
7,目标已捕获。
6,汇报情况。对旅行者进行审问。
5,这时，传声机通知士兵有来电。
4,这样看来他一时半会动不了了。\n为了保险起见，用锁链把他捆个结实，\n让他无法行动。
3,唔……咕……
2,旅行者怎么样了？
0-synopsis,被束缚的卡西乌斯被组织的运输艇带走，送往中枢所在之处。从士兵口中得知此事的组织中枢开始不断询问长枪的下落。士兵们对举止怪异的中枢感到疑惑。另一方面，艾萨克和雷贝利正在分析状况。士兵们使用的奇怪机械是旧世代的月球控制装置，据说能通过强大的信号使月球相关的存在无力化。姬塔一行人对拥有这种东西的组织的真面目感到震惊。
0-chapter_name,第三话 感染
