id,trans
filename,scene_evt241229_cp6_q4_s20
translator,Gemini
info,scene_evt241229_cp6_q4_s20
142,老掉牙的哥布林也……\n奇怪的空之民也……\n就在这里全部杀光！！
141,姬塔毫不犹豫地，\n用力点了点头。
139,这场战斗……\n不能只交给哥哥\n一个人！
138,姬塔小姐，\n库斯基的事，可以拜托你吗？
137,那么，菲娜\n也不能袖手旁观了！\n我也想见迷你哥布的妹妹！
136,我也要战斗哥布！！\n现在的我，\n也能派上用场哥布！！
135,我和你也有孽缘！\n我绝对不会原谅你……！
134,送你上路，就此做个了断吧。
133,想想看，所有的孽缘\n都归结于你了……
132,到这一步的话……\n接下来就只有将军了。
131,姬塔保护着蒂娜和露莉亚，\n库斯基解除了战斗形态，\n轻巧地躲开了。
130,无数巨大的手臂\n向库斯基挥下。
116,为了讨伐星之尖兵而诞生的，\n最强的兵器……好好品尝吧！
115,这是我的最高杰作……！
114,然后，\n它瞬间变成了巨大的身躯。
90,破裂的王冠闪耀着眩目的光芒，\n将魔力注入肉块。
89,又，又变大了哥布！？
88,可恶，可恶可恶可恶……！！\n既然这样，\n就算只有你们，我也要全部杀光！！
87,欺负迷你哥布的仇，\n我要好好报答你！
86,恶鬼的根源，就在这里斩断！
85,在整个王冠出现裂缝的同时，\n肉块也开始从末端崩溃。
84,哇啊……！！
83,射出的一箭划破云层，\n比声音更快，射穿了王冠。
71,我不会射偏的！！
70,寄叶所造成的悲剧，\n就在这里结束吧！
69,他的目光，捕捉到了覆盖着王座的\n肉块，以及其顶点上\n令人胆寒的光辉。
68,在高空上升的格兰赛法甲板上。\n奈克塔尔搭上箭，\n大幅度地探出身子。
67,──没问题。
66,奈克塔尔！\n这里是极限高度了！\n这个高度也能瞄准吗！？
57,……！？
56,有一个人，\n很讨厌这玩意吧？
55,哈？　什么──
54,──你，是不是\n忘了什么？
53,它们一齐用\n爪子和牙齿向库斯基的身体\n袭来，但是──
52,从库斯基周围的肉块中，\n无数的诺瓦卡拉姆上半身\n生长出来。
46,给我闭嘴，低效的兵器！\n先把你大卸八块！！
45,就是说啊！\n不被需要的兵器，\n真是丢脸啊！
44,就算真的要和<span class='scene-font-spword'>星之民</span>战斗，\n也不需要你的力量！
42-sel1_txt,我们才不想要这种事
42,还有空之民！\n我可是为了你们才\n这么做的！？
41,你为什么要妨碍我！\n你也是寄叶的兵器吧！
40,然后，用巨大的手臂\n挡住了即将闭合的肉块。
39,进入战斗形态的库斯基，\n将巨大的身躯插入肉块之间。
38,库斯基！？
37,抱歉啦！！
32,真是顽固──
31,啊，又来了──！
30,肉块相互缠绕，\n像隔开王座一样，\n形成了墙壁。
27,──别以为你们赢了，一群没脑子的家伙！！
26,我怎么可能只交给你！
25,卢修斯！！那家伙我要亲手杀掉！\n你别插手！
24,然后从深处，\n卢修斯和阿尔戈尔\n涌向了王座。
23,姬塔斩杀了为了袭击露莉亚而出现的诺瓦卡拉姆。
12,──是你！\n可恶的星之造物！
11,开，开什么玩笑……！？\n星晶兽的复制体！？
10,啊，我没事哥布……！\n只是有点吓到了而已哥布……
9,嗯，嘛，\n这方法还真是相当冒险啊……
8,比起骑空艇的齐射，\n这应该算是可控的吧……
7,对不起！\n我不知道你在哪里──\n你没受伤吧！？
6,迷你哥布！！
3,迷你哥布在突然被炸飞的\n肉墙的另一边，\n目瞪口呆。
2,吓了我一跳哥布──
0-synopsis,迷你哥布在被炸飞的肉墙的另一边。一行人涌向王座，逼近王冠。肉墙再次形成，但库斯基阻止了它，趁此机会，奈克塔尔从飞艇上射出一箭，贯穿了王冠。在肉块开始崩溃之际，王冠仍试图抵抗，将肉块变成巨大的异形。为了结束这段孽缘，卢修斯等人毅然投入战斗。
0-chapter_name,第六话 以白刃
