id,trans
filename,scene_evt210528_cp1_q3_s10
translator,Gemini
info,scene_evt210528_cp1_q3_s10
125,就这样，\n漂亮地击退了新人欺凌的翔，\n成为了这间宿舍的King。
124,噗！？
121,King！！！
120,真是一群笨蛋。\n听着，从现在开始，\n我就是这房间的——
119,什，什么……意思……！？
118,其次，这房间的规则由我说了算。\n我就是规则。\n所以不算卑鄙。OK？
117,卑鄙？Two Mistake.\n首先是你们先偷袭我的……
116,卑，卑鄙……
115,在巡逻来之前就结束了。\n结果来说，算是没问题了。
114,真的假的……
112,别擅自结束。\n<span class='scene-font-4'>你这蠢货！</span>
111,什么……！？如果被看守发现我们打架，\n我们四个都会被惩罚的！？\n到此为止——
107,哈哈哈哈哈哈！
106,今天就到此为止吧。\n下次再决胜负……
105,呿，巡逻的来了。
104,双方怒目而视，\n气氛剑拔弩张之时，\n看守规律的脚步声传入耳中。
103,现场搞到的。\n很抱歉，我手脚不太干净……
102,嚯……\n你居然能躲过身体检查……
101,哈文少年从袜子里\n掏出一把闪着暗光的刀\n摆出威胁翔的架势。
99,那，没办法了……
98,这还没完呢。\n现在是我的回合……？
97,嘿，有两下子嘛。
96,感谢你精彩的降落伞……\n晚安！
94,呜……
92,喂，大块头。
91,哇哇！\n唔……
90,呜啊啊啊！
89,当矮人少年再次\n试图爬上双层床时，\n翔鼓起勇气掀开被子。
88,（这种无聊的欺负……\n我再也受不了了！）
87,嘻……嘻嘻……！\n你们这些家伙……！\n这就是特级吗……！
84,好嘞。
83,再来一份。
82,你们这些……混蛋！
81,喂，好好相处吧？\n你不想再挨一下吧？
80,是你自己拒绝了我们伸出的援手。
79,唔，你们……！
78,这招很管用吧～……\n从床上掉下去\n内脏也会受伤吧。
77,啊啊啊！
75,接招！
74,矮人少年露出奸诈的笑容\n爬上双层床，对准翔的肚子\n猛地跳了下来。
73,那么，开始吧……\n特级名产，降落伞！
70,这里是特级哦？\n你以为我们被你轻视了\n还会一声不吭吗？
69,……！？
68,在黑暗中蠢蠢欲动的宿舍少年们\n确认翔睡着后，\n用被子蒙住他，并按住他的身体。
67,上！
66,…………
64,…………
59,很快到了熄灯时间，\n大家按照规定安静地睡觉。
58,在躺下的翔旁边\n宿舍里的少年们各自\n开始做作业。
57,…………
56,没错。为了改过自新\n在回归社会后能用得上。
55,那么，\n职业指导课程就是……\n为了学习一技之长？
54,啊……就是教科指导课程的。\n嘛，就是学习，学习\n语文、数学、理科、社会的问题集。
53,喂，你们聊得那么开心的，\n那个作业是什么？
52,真的吗！\n那你还能那么\n精神地回答～
51,不，其实……\n我的作业还没做完。
50,那么……作业也做完了……\n要不要预习一下职业指导课程？
49,哈，\n四人宿舍哪来的头儿。
48,你是这儿的头儿？
47,他迟早会改变主意的。\n在那之前别管他。
46,哈哈，说得真厉害～！
45,我对摇尾乞怜的看门狗没兴趣。
44,我们从早到晚都要一起生活。\n好好相处吧。这样对大家都\n方便，你不觉得吗？
43,真是的，态度真差～
42,哼……
41,喂，你。刚来特级，\n就因为接连违规被关禁闭？\n真够厉害的～
40,看守对少年们的回答感到满意，\n用钥匙锁上装有铁栅栏的门，\n静静地离开了。
39,这些家伙是怎么回事……
38,好的！
37,回答得不错。做完作业就预习！\n成绩好的话就能早点出院。\n继续努力。
36,做完了！
35,对了，你们。\n教科指导课程的作业做完了吗？
34,洗心革面，\n认真参加训练计划。\n如果你想离开这里的话。
33,…………
32,好的。
31,从今天开始，\n翔会和你们住一个宿舍。\n好好相处。
25,从禁闭室里出来的翔\n被转移到南馆，住进了一间四人宿舍。
24,一个人苦苦思索却找不到答案，\n几天过去了……
23,想想，好好想想……
22,（现在，我应该做的是……\n大声喊冤……）
21,虽然对改造设施的运作方式感到愤怒，\n但现在不是纠结这个的时候，\n翔努力让自己冷静下来。
20,这简直就是\n野兽的调教……！
19,（如果说要让我们改过自新，\n难道不应该更人性化地\n对待我们吗？）
16,而且，\n不知道是橡胶子弹还是麻醉弹，\n他们还带着枪，还能放电……
15,这栋楼里……\n训练有素的看守们\n监视着我们的一举一动。
12,开什么玩笑……\n就算道歉\n也不管用……
11,呜哇啊啊啊！
10,烦死了……\n给我闭嘴！\n好！惩罚！
9,别，别这样……\n求求你……住手……
8,正在思考如何离开这个特级的翔\n听到从别的禁闭室传来的尖叫声。
7,可恶……！
6,即便悲叹现状，用拳头砸墙\n也改变不了什么，\n翔抱着头。
5,现在的我……\n只有被那家伙陷害的\n悔恨！
4,让我……反省什么？
3,在这里，与他人接触、娱乐活动\n以及运动都被禁止，只能孤独地\n进行反省。
2,禁闭室——\n屡次违反规定的家伙\n会被关进这里一段时间的小房间。
0-synopsis,在禁闭室度过数日后，翔被安排进一间四人宿舍。宿舍里的少年们都忠实地服从着看守，翔对此十分轻蔑，不予理会。结果当天晚上，被轻视的少年们趁翔睡着时袭击了他。然而，翔利用看守的脚步声带来的空隙，将所有人打倒在地，成为了房间里的King。
0-chapter_name,第1话 晴天霹雳
