id,trans
filename,scene_evt150731_cp3_q4_s20
translator,Claude 3 Opus
info,scene_evt150731_cp3_q4_s20
35,没错！\n好不容易仁钓上来的卡茨沃努斯，\n趁新鲜赶紧料理了它！
34,嘿！正是需要我们这种时候！！
33,不行啊～！！\n这样下去船会\n被掀翻的～！！
32,哇啊！\n卡茨沃努斯在暴躁……！？
31,…………！
29,卡茨沃努斯巨大的身躯，\n被钓上了甲板。
28,钓上来了！
25,…………！
24,喔喔喔喔喔喔！！
23,钓起来，钓起来啊，\n仁！！
22,唔……呃啊……！\n这股力量……！
21,它露出水面了！\n上啊，仁！
20,…………！
19,仁在甲板一角占据阵地，\n架好鱼竿。
18,就是这里！！
15,燃起来了！！
14,好！
13,欧根殿下，索利兹殿下！\n为了钓卡茨沃努斯，\n我们移动到甲板上最佳位置吧！
12,遵命～！！
11,万事通大人！\n请绕到那白色波浪\n前进的方向！
10,太厉害了，仁！\n是用心眼捕捉到鱼影了吗！
9,白色波浪……！\n是卡茨沃努斯！？
8,没等露莉亚问完，\n仁就向大海撒下了饵食。\n紧接着，水面上出现了一道白色波浪。
7,可是没看到波浪啊……？
6,诶！？\n在、在哪里！？
5,……看到了！！
4,…………
3,原来如此，要看白色波浪啊！
2,等到饿了要捕食，\n开始在浅海游动的时候，\n就会出现白色的波浪，那就是标志。
1,因为平时据说\n是在海的深处游动的。
0,唔，虽然已经到很远的海里了，\n但完全没看到\n像是卡茨沃努斯的东西啊。
0-synopsis,经过与卡茨沃努斯的攻防，仁最终成功将它钓上了甲板。但卡茨沃努斯在船上开始暴躁，船似乎要倾覆了。为了阻止这一切，姬塔等人向卡茨沃努斯发起挑战。
0-chapter_name,第3章 挑战！卡茨沃努斯！
