id,trans
filename,scene_chr186_q1_s10
translator,Gemini
info,scene_chr186_q1_s10
36,不能再这样下去了！\n姬塔，我们赶快把小偷\n抓住吧！
35,什……！\n我的收藏……！
34,你在说什么啊？\n那怎么看都是趁着家里没人\n来偷东西的小偷吧！
33,哎呀，那些人是……\n您二位的熟人吗？
32,「…………」
31,然而，那里\n已经有其他人在——
30,在夫妇的带领下，\n姬塔一行人来到了他们家。
29,好！那我们就快点\n去看看我的收藏吧！\n我带路，这边！
28,而且，我也不想因为挑剔工作\n而错过与珍贵物品相遇的机会。
27,嗯……作为鉴定师\n为了追求更高的境界，我会尽可能地\n满足所有的委托。
26,我说啊，垂耳的兄ちゃん\n虽然号称是名鉴定师\n但好像从来不挑工作啊。
25,真是的……\n明明才刚结束一份工作\n而已。
24,我明白了。\n如果我的鉴定能让夫妇和好的话\n我一定会尽力帮忙的。
23,原来如此……\n原来是这样啊。
22,所以想让垂耳的兄ちゃん\n来做鉴定吗？
21,是啊，无论怎么看\n都是些不值钱的东西\n但他就是不听！
20,然后，妻子觉得\n这些东西全都是垃圾\n想都处理掉？
19,啊，那是当然的！\n这些都是淘来的宝贝！\n我的眼光不会错！
18,嗯……也就是说。\n丈夫认为有价值\n所以买了各种各样的东西回来？
17,面对着争吵不休的夫妇\n一行人虽然目瞪口呆\n但还是听取了双方的说法——
16,看来，好像是这样的……
15,喂喂……\n难道说被卷进\n夫妻吵架里了吗！？
14,被这对夫妇叫住\n听他们说了会话\n就变成现在这样了……
13,碧先生！姬塔小姐！\n那、那个，我也不知道怎么回事……
12,喂喂……\n垂耳的兄ちゃん，你怎么在这里\n干什么呢！？
11,那、那个……嗯。
10,你说什么，谁是不识货的！\n鉴定师先生，请您\n让这个人清醒清醒吧！
9,喂，鉴定师的兄ちゃん！\n快向这个不识货的老婆子\n证明我是对的！
8,寻找着谢洛的一行人\n撞见了一对男女正在激烈地争吵。
5,难道说，走散了吗？\n喂——，垂耳的兄ちゃ——ん！
4,咦？\n明明刚才还在一起的……
3,说的也是……等等，咦？\n说起来，垂耳的兄ちゃん\n去哪儿了！？
2,是啊！\n而且，能一次性鉴定那么多美术品\n谢洛先生也很厉害！
1,话说回来，刚才那间宅邸</span>\n真是不得了啊……</span>\n简直就像美术馆一样！
0,在某个城镇，结束了鉴定委托的\n谢洛一行人\n在返回飞艇途中的事——
0-synopsis,一对夫妇听闻了谢洛的传闻，便带着收藏品来委托他进行鉴定。这对夫妇因为价值观不同而总是争吵，在他们的带领下，姬塔一行人来到他们家中，却遭遇了盯上了丈夫收藏品的窃贼。
0-chapter-name,每个人的价值观
