id,trans
filename,scene_fate_chr955_ep1
translator,gemini-3.1-pro-preview
info,scene_fate_chr955_ep1
166,“哞～哞～冰淇淋”店前，\n却连一个客人的影子都没有。
165,为什么会这样～！？
156,太阳高悬在正空闪耀着光芒，\n正是令人渴望冷饮的时段──
150,自从夏托拉和库碧拉\n在早上让“哞～哞～冰淇淋”开张后，\n已经过了一段时间。
144,────
140,嗯……？\n总之，我们开门营业吧！
139,可是可是，在海里游泳的\n客人还是有很多的哦……？
138,是因为这片沙滩距离\n主要的贝内拉海滩比较远吗？
137,咦……？\n为什么呢……？
136,话又说回来，这里是不是太安静了……？\n附近的其他海滨小屋好像也没开门……？
135,不过话说回来，刚好有家海滨小屋\n空着招租，\n我们能直接拿来用真是太幸运了。
134,没问题……！\n因为我跟她们说，\n要和丑神宫举行联合神事。
133,应该没有被在贝内拉海滩度假的\n姬塔大人她们发现吧……？
132,我也是……！\n不过好戏才刚刚开始呢。
131,光靠我们自己，\n就能开起一家真正的店……\n想想就觉得热血沸腾呢……！
130,终于迎来了海滩冰淇淋店\n“哞～哞～冰淇淋”的开业之日。
123,从丑神宫进货牛奶、\n确保开店地点、采购设备和进行装饰等，\n克服了重重困难──
118,就这样，夏托拉和库碧拉，\n为了在夏日海滩开店，\n开始了忙碌的准备。
117,嗯，那是因为──
116,冰淇淋店……？\n为什么……？
115,……呐，夏托拉。\n开一家冰淇淋店怎么样？
114,夏托拉摆摊……\n在夏日的海边……
113,在海滩上摆摊，\n在画本故事里也是“王道”情节哦……？
112,说到我们能做的事情……\n果然还是在海滨小屋打工之类的？
111,没，没什么……！
110,欸……？
109,……因为我也想努力一把嘛。
108,谢谢……♪\n如果有库碧拉在一起，\n就太可靠了……！
107,可以吗……？
106,不，让我帮忙吧！\n我也，呃，那个……\n对做生意很感兴趣嘛！
105,等、等等……！\n库碧拉你就不用了哦？
104,就算不去度假……\n谢洛小姐之前也说过，\n夏天的<span class='scene-font-place'>奥古斯都</span>到处都是商机──
103,好……！\n那我们要干点什么呢？
102,这样啊……\n夏托拉真了不起呢。
101,为了能支持大家的假期……\n支持姬塔大人，\n这个夏天我会努力的……！
100,作为替代，我要趁着大家\n去度假的时候，\n赚很多很多的钱……！
99,────！？
98,我……\n不去度假了……！
97,……嗯，我决定了。\n烦恼时间到此结束。
96,夏托拉……
95,所以，对于姬塔大人\n珍视的骑空团的事情，\n我也必须好好考虑才行……
94,…………！
93,我把姬塔大人……\n当成了非常重要的人。
92,嗯……\n不过大家其实也都──
91,满脑子只想着\n和姬塔大人一起\n享受假期的事情……
90,我……\n真的太没用了……
89,这样啊……\n但是为什么夏托拉\n会这么失落呢？
88,哞～……
87,噗嘿噗嘿！？
86,嗯……\n我听到姬塔大人她们\n在讨论这件事了……
85,<span class='scene-font-4'>欸……！？</span>\n因为度假的原因，\n骑空团的财务状况陷入了危机……！？
79,库碧拉……\n事情是这样的──
78,怎么了……？\n明明到昨天为止还在为约会大作战\n干劲满满的。
