id,trans
filename,scene_evt160831_cp4_q2_s10
translator,Gemini
info,scene_evt160831_cp4_q2_s10
38,莫拉……？
36,呜哇！？\n别、别抓我的尾巴……！
35,追上去，碧！\n这事件的核心就在眼前！
34,尿、尿……！？
33,还是有的吧，多少有点。\n不过，巴洛瓦也真是不容易啊。\n又是尿裤子又是触电的。
32,好、好了好了……\n夏诺瓦先生也没有恶意……
31,可恶的家伙……\n我要回去了！\n绝对不会再合作了！
30,没、没事吧？\n完全被反套路了呢。
28,放心吧。\n终点本来就在隔壁房间。\n……好了，各位，小心脚下。
27,你、你这家伙……\n恶趣味太过分了！\n要是其他人碰到了怎么办！？
26,哎呀，是静电吗？\n夏天也会有这种事，真是少见。
25,啊巴巴巴巴！？
23,哈哈哈！\n你的伎俩我已经看穿了。\n正确的做法是直接转动门把手──
22,哦？\n果然是太简单的陷阱了吗。\n按那个装置应该会触电的……
21,……才怪呢！\n怪盗的陷阱，已经被我看穿了！
20,嘿咻……
19,呵呵呵。\n就算是怪盗，那个位置也够不着吧。\n好吧，就让你见识见识这位名侦探的力量。
18,啊，那扇门里面就是终点了。\n但是开关装置在稍微高一点的地方。\n我够不着，真是麻烦……
17,你要是能做到就试试看吧。\n……那么，你打算让我们走到什么时候？
16,呵呵呵，我知道了。\n在你的面前越狱也不错呢。
15,你、你才要被逮捕呢！\n我是说我会去探望你的！
14,嗯？\n你预定要被逮捕吗？
13,那种东西……\n等这事件结束后，\n随时都能在牢里见到你。
12,哈哈哈。\n你还是一如既往地急性子啊，名侦探。\n好好享受这宝贵的共演机会吧。
11,哼……\n说清楚点，说清楚点。\n你还是一如既往地令人费解。
10,呵呵，失礼了。\n我只想说，东西的价值是多种多样的。
9,真是拐弯抹角……\n那么，财宝真的存在吗？
8,传说这种东西，\n也是因为有实际经历过的人，\n才值得口口相传。
7,那么。\n虽然我对民俗学不太了解，\n但无风不起浪。
6,也就是说，果然……\n财宝传说只是个故事啊。\n我白白激动一场了。
5,反过来说才对。\n正因为是传说流传的地方，\n才能「生产」真正的宝藏。
4,特意在这种地方？\n是借着财宝传说的名义吗？
3,这么说吧……\n这里可以说是，制造真正的宝藏的「工厂」。
2,那个，夏诺瓦先生，\n这里是什么地方……？
1,然后，通道的景象\n逐渐变得怪异起来……
0,与夏诺瓦一起，\n一行人在谜一般的地下设施中前进。
0-synopsis,在夏诺瓦的带领下，一行人在地下设施中前进。一路上，夏诺瓦一边像往常一样调侃着巴洛瓦，一边将一行人带到了一间屋子，姬塔等人便走了进去。
0-chapter_name,第四话 事件的真相
