id,trans
filename,scene_evt190828_cp1_q4_s10
translator,gpt-4o-2024-08-06
info,scene_evt190828_cp1_q4_s10
82,就这样，姬塔一行仰望着据说曾是僧侣修行地的尼亚拉阿皮灵山。
81,放心吧！如果发生什么事，我会保护你的！
80,诶，啊，是的！确实诡异的叫声让人在意……但没关系！
78,谢谢。呵呵，感觉有点兴奋了～！
76-sel2_txt,露莉亚，没事吧？
76-sel1_txt,嗯，当然！
76,走吧！难得来到这里，是吧，姬塔！
75,技艺的极致……！？
74,本是有着「越过尼亚拉阿皮的试炼者，将知晓技艺的极致」传说的神圣灵山……
73,啊，诡异的叫声……
72,而且不知从何时起，流传着每晚都会响起诡异叫声的传闻，现在已经无人靠近。
71,然而由于频繁的沙尘暴，现在它变得极为荒凉……
70,据说那里是拥有神秘力量的气场，过去曾有僧侣闭关进行武术修行。
69,那里是<span class='scene-font-spword'>「尼亚拉阿皮灵山」</span>。
68,大僧正阁下！那座山是……！
67,感到失望的阿丽莎得知这一事实后，恢复了活力。
66,那插图与寺院后方巍峨耸立的山峰如出一辙。
65,从大僧正手中接过古书的姬塔，偶然看到打开页面的插图，惊讶不已。
64,是吗……
63,很遗憾，这本书中所记载的奥义，这里无人知晓。
62,我想炎鸣流是离开寺院的僧侣以无名武术为基础升华而来的。
61,诶……
60,……很遗憾。我们使用的是<span class='scene-font-spword'>「无名武术」</span>。与炎鸣流虽相似却截然不同。
59,不，我想走到极致！请教我吧！这寺院流传的技艺！
58,奥义书里还有许多我不认识的技艺。我想学习它们，精通炎鸣流……
57,哦，竟然存在这样的东西。确实有我们的一些技艺和姿势……
56,大僧正看到阿丽莎递来的古书，既惊讶又感慨。
55,这是我小时候学的武术。据说起源于塔阿罗寺院，这在这本奥义书上有记载。
54,炎鸣流，是吗？
53,这里的人使用的武术与炎鸣流不同吗？
52,嗯，是有什么事吗？
51,那个，是的！大僧正阁下！
50,这时阿丽莎发现，他们的武术与炎鸣流虽相似却截然不同。
49,…………
48,特里呀啊啊！
47,哈！ 嘿！
46,在大僧正继续向一行人解释时，阿丽莎凝视着修行僧们展现的技艺。
45,接下来呢……
44,当商团远行时，寺院的僧侣会作为护卫随行，这已成为惯例！
43,在这塔阿罗岛上有一个名为阿哈巴卡的，有着悠久历史的商团……
42,啊哈哈……
41,哈哈哈！看来还是等大僧正阁下说完比较好。
40,还有！
39,我使用的炎鸣流，也和这里的武术──
38,这是为了在向神体祈祷时，不放下合十的双手，仍能保护自己免受恶意之人的侵害！
37,对！就是这样！为何专注于腿技……
36,不使用手，仅用腿技的武术。
35,大僧正引导姬塔一行的视线至正在继续武术训练的僧侣们。
34,那么，你们注意到了吗？
33,因此我们通过武术来提升心、技、体，以追求真理。
32,而我们守护塔阿罗神的教义是……世界的真理就在<span class='scene-font-spword'>「无我之境」</span>之后。
31,正是如此！他是非常宽容，非常慈悲的神明！
30,与其说是恶念，不如说是牢骚……他会听这些。
29,……正如你所见，他是通过祈祷净化人们恶念的神明。
28,塔阿罗大人，塔阿罗大人……！请平息我的怒火！我不能原谅自己在降价前买了衣服！
27,塔阿罗大人，塔阿罗大人……！请平息我的怒火！昨晚，妻子擅自拿了我的水果……！
23,我们所奉祀的是塔阿罗神。那边礼拜堂深处供奉的就是神体。
22,喜迎客人的大僧正不给阿丽莎提问的机会，独自开始讲话。
21,诶，啊……好的。
20,那么！我来讲讲这个有着数百年历史的塔阿罗教总本山。
19,嗯！我们对这里修行僧使用的──
18,对这塔阿罗寺院感兴趣！是这样吧？这里只有这点值得关注的……
17,那么，各位旅人。无惧沙尘暴而来到此地，是因为……
16,哦呀，旅人来到这个岛上可真是久违了，非常欢迎。
15,我是这……塔阿罗寺院的大僧正。
14,姬塔一行也效仿，双手合十，深深回礼。
13,忽然出现的服饰端正的僧侣双手合十，向一行人深深鞠躬。
12,哎呀哎呀……欢迎来到塔阿罗。
10,哈哈，确实如阿提法所说。
9,是不是应该先向这寺院里的大人物问个好？
8,哈哈哈！突然提出这样的请求，会被误认为是来踢馆的吧。
7,身体有点蠢蠢欲动！要不要请他们和我比试一下呢！
6,这就是据说是炎鸣流的根源的武术吗……？
5,哇呜……这人数也太多了吧！
4,到达塔阿罗寺院的姬塔一行和阿提法被这景象所震撼。
3,整齐排列在寺院广阔庭院中，重复着规则动作的修行僧。其数量竟达到数百人。
2,特里呀啊啊！
1,哈！ 嘿！
0-synopsis,姬塔一行和阿提法来到了塔阿罗寺院，并从塔阿罗寺院的大僧正那里得到了关于塔阿罗教教义和武术的解释。阿丽莎得知塔阿罗教的武术与炎鸣流不尽相同，感到遗憾。然而，塔阿罗寺院背后的尼亚拉阿皮灵山出现在炎鸣流的奥义书插图中，一行人决定前往尼亚拉阿皮灵山。
0-chapter_name,第1话 小粹的浪人
