id,trans
filename,scene_evt220228_cp9_q1_s10
translator,Gemini
info,scene_evt220228_cp9_q1_s10
131,路西法啊……\n我与你定下的约定——
130,……时候，到了吗？
129,漂浮在睡梦中的\n某个星晶兽的意识，\n在漫长的时间过后苏醒了。
123,…………
116,…………
115,关于我的存在。\n以及，我和她的关系。
114,你要说什么？
113,我知道了。\n我说。
112,喂，佐伊！\n你真的不能说吗？\n再这样下去我们……！
111,（不管怎样，现在的话，我……）
110,…………
109,…………
108,（是「科斯莫斯」发生了什么事？\n还是说，是现在的情况造成了\n影响……）
107,（来自「科斯莫斯」的链接……\n正在减弱……？）
103,……？
102,美杜莎，不要那么粗暴……！
101,要揍飞的人\n只不过是变成了两个而已。\n无论如何也要逼她们说出真相……！
100,把佐伊，还有那边那个长得一模一样的家伙\n一起抓住吧。
99,算了。\n真麻烦，简直是浪费时间！
98,我……
97,是有\n不能说的理由吗？
96,你在隐瞒什么？
89,（请原谅我无法\n说出一切……）
88,…………
87,佐伊你为什么要\n道歉？
86,……抱歉。
85,嘛，最后那家伙看起来很奇怪，\n说的话也语无伦次。
84,这样啊。
83,抱歉。\n我不知道。
82,…………
81,嗯，在她消失之前。\n虽然像是自言自语，\n但我总觉得很在意……
80,……那家伙\n说了什么吗？
79,……话说回来，\n「科斯莫斯」，\n是什么意思呢？
72,话说回来，你以前也\n欲言又止过吧？
71,…………
70,我们也不能\n对此坐视不管！
69,佐伊，如果你知道什么\n就告诉我们。
68,那，个……
67,那那家伙是谁啊……\n杀了姬塔的那家伙……！
66,……在这艘船上，\n被称为佐伊的是我。
65,能说明白这是怎么回事吗？\n佐伊……可以这么叫你吧？
64,…………
63,你……
62,哪个才是佐伊？\n伤害姬塔小姐的\n不是佐伊……？
61,<span class='scene-font-4'>什么！？</span>\n为什么接二连三发生这种\n让人头疼的事啊……！
60,佐伊，有两个……！？
59,…………
58,怎么会这样……！
57,划破苍穹出现在甲板上的\n「另一个她」的身影，\n让众人目瞪口呆。
56,哎……！？
55,姬塔！\n露莉亚！
52,那就，让她老实点……
51,稍微下手也没关系吧。
50,……我一不小心可能会把她打飞。
49,我赞成。不能再让船上的伙伴\n受伤了，不然都没脸\n去见姬塔。
48,总之……\n应该先把她拘束起来。
47,美杜，莎……
46,人类，明明就很脆弱……\n死了就一了百了了……！
45,<span class='scene-font-4'>放开我，哪吒！</span>\n你难道就一点感觉都没有吗！？\n姬塔她被杀了啊！？
44,冷静点，美杜莎。
43,<span class='scene-font-4'>哈！？</span>\n你在说什么啊！
42,我乃世间意志的化身。\n只不过是在执行调停罢了。
41,快说明白这是怎么回事！\n难道说，你对伙伴\n下手了！？
40,…………
39,你！！
38,赶来的美杜莎等四人\n一齐将视线投向「她」。
37,！？
36,是那家伙……佐伊突然\n袭击了我们！
35,为什么会这样！？
34,姬塔和露莉亚……！\n她们没有睁开眼睛……\n也没有呼吸……！
33,什么……\n发生什么事了！？
32,听到骚乱赶来的\n美杜莎等人看到这惨状，\n顿时僵在原地。
31,心跳……停止了……？
30,姬塔和露莉亚！？
29,呀啊！？
28,<span class='scene-font-4'>喂！</span>\n发生什么事了……
26,总之，先去叫其他人过来……
25,可恶……！\n怎么会这样，为什么……！
24,…………
23,喂……！
22,…………
21,喂……你在开玩笑吧？她们两个，\n难道说……已经死掉\n了……！？
20,碧扑倒在倒地不起的姬塔和\n露莉亚身上，\n发出悲痛的哭喊。
19,为什么……为什么会这样……！\n睁开眼睛啊————！！\n哇啊啊啊……！
18,她们两人是用生命的链接\n联系在一起的。\n所以……
17,不行……果然露莉亚她也……！
16,不行……完全感受不到魔力……\n明明我已经注入这么多回复之力了……！
12,振作一点……！
11,呜……姬塔，露莉亚……！
0-synopsis,姬塔被杀后，大公号的甲板上，伙伴们都沉浸在姬塔和露莉亚死亡的悲愤中。此时，另一个佐伊出现了。杀害姬塔的佐伊和伙伴们认识的佐伊并非同一人。佐伊察觉到自己与「科斯莫斯」的链接正在减弱，开始向伙伴们坦白真相。与此同时，在星之世界，某个沉睡已久的星晶兽觉醒了。
0-chapter_name,第一话 调停的真相
