id,trans
filename,scene_evt180731_cp0_q1_s10
translator,Gemini
info,scene_evt180731_cp0_q1_s10
216,猴子注视的前方，\n一条噼啪作响地向周围放电的\n神秘鱼儿正在游动──
215,────
210,树上的猴子，\n兴奋地喧闹着。
209,哇咔咔咔咔！\n呜叽！！
207,呜唧唧！
201,哈？杀人鱼……？
200,什么……！？
199,喂！\n又有人被杀人鱼袭击了！！\n这次是两个人……！
197,是，真是太感谢了。\n今年虽然歉收，\n但这样总算能──
196,你们要心怀感激啊？\n你们这些家伙能独占纳奇鱼，\n都是托了老大的福，别忘了。
195,外面都在说纳奇鱼濒临灭绝！\n可是这个鱼池里却多得是！
189,就这样，大量的纳奇鱼卖不出去，\n被丢弃──
186,进货量搞错了吧。\n这么浪费……
185,正是应季的纳奇鱼，\n真是可惜啊。
179,明天气温好像会升高。\n应该比今天能卖出更多纳奇鱼，\n必须比今天多进两倍的货。
176,啊，这些已经不行了。\n可能是因为白天时间长，很快就坏了。
170,纳奇鱼歉收导致价格上涨。\n在消费者逐渐减少的情况下，\n过度供应的势头却丝毫没有减弱。
169,销售应季纳奇鱼的市场和\n烤纳奇鱼的店铺之间的拉客竞争\n日益激烈。
168,这是今天早上捕捞的西拉斯岛的纳奇鱼！\n只有在我们这里才能以这个价格吃到！\n比任何地方都便宜又好吃！
167,只有这个季节才能吃到纳奇鱼！\n能补充体力哦～！
161,奥古斯特列岛本岛──
155,呵呵。
154,嗯，那就好。
153,就像斯卡哈和萝赛塔大人说的那样，\n我会努力去理解人类的活动。
152,我也是这个骑空团的一员。
151,……嗯，说的也是。
150,顺其自然，\n享受现在的时光就好。
149,虽然说了这么多，\n但也没必要想得太复杂。
148,……是这样吗。
147,即使像这样同吃同住，\n如果失去了对彼此的好奇心，\n日子也会变得索然无味。
146,…………
145,所以，我希望奥莉薇尔\n能够以最自然的状态享受现在。
144,现在你可能还无法理解，\n但总有一天，奥莉薇尔\n也会有同样的感受。
143,我们乐在其中，\n感到舒适自在，\n并认为这是无可替代的。
142,是啊……确实如斯卡哈所说，\n人类的生活有着\n我们所没有的，特别之处。
141,萝赛塔，你作为同样的星晶兽\n应该也能对奥莉薇尔说些什么吧？
140,我正在以与人类交往的过来人的身份\n教导奥莉薇尔一些事情。
139,萝赛塔大人。
138,哎呀，你们在聊很有趣的话题呢。
136,将它简单地概括为摄取营养\n未免太不解风情了。
135,与心意相通的人一边交谈\n一边分享美食，\n是人类喜爱的文化。
134,这样制作出来的食物……\n料理，\n对人类来说就是美味佳肴。
133,为了吃到美味的食物，\n他们似乎并不介意花费一些功夫。
132,尤其是，他们对食物的\n热忱探究之心令人惊讶。
131,人类的活动\n有时不可思议但也很有趣。\n并不是什么坏事。
130,嗯，奥莉薇尔。\n作为同为非人之物，\n就让我来告诉你一些好事情吧。
129,我知道了。\n那么，斯卡哈。\n你对我有什么意见吗？
128,吾不喜欢拐弯抹角的说法。\n叫斯卡哈就好。
