id,trans
filename,scene_chr747_q1_s10
translator,Gemini
info,scene_chr747_q1_s10
27,之后，姬塔一行\n与优希斯告别，\n前往艾蕾尔那里。
26,一行人向优希斯道谢，\n并邀请她一起参加，\n但她有事不能参加。
25,为了感谢艾蕾尔一直以来的照顾，\n一行人决定为她做一顿饭。
24,那是最好的办法。\n大姐看起来很敏锐，\n我们得小心别被她发现……
23,那我们直接去问吧！\n要旁敲侧击，不要让她\n察觉到我们想感谢她！
22,原来如此……\n所以她才喜欢\n到处觅食吧。
21,与其说她有什么特别喜欢的食物，\n不如说她会根据当天的心情\n来选择……
20,嗯……\n艾蕾尔大姐，\n她不挑食……
19,如果决定用料理来表达谢意的话……\n她有什么特别喜欢的食物吗？
18,优希斯怀念地\n回忆着过去，露出了微笑。
17,呵呵，是啊。\n爸爸妈妈也经常说\n我们就像亲姐妹一样。
16,优希斯小姐和艾蕾尔小姐，\n从以前开始关系就很好呢！
15,她经常跟着艾蕾尔大姐\n到处觅食。\n比如节日里的路边摊什么的……
14,那是受艾蕾尔大姐的影响。
13,嘿……！\n啊，我记得那个危险的大姐\n也喜欢到处觅食吧？
12,艾蕾尔大姐，\n她是个美食家……\n对各地的美食也很了解。
11,优希斯像是把什么事情\n藏进心底似的点了点头，\n然后转向姬塔一行。
10,(艾蕾尔大姐喜欢的东西……\n那个……还是保密比较好\n吧)
9,原来如此，姬塔小姐你们也……
8,原来如此。
7,所以，大家商量着\n想好好感谢她一下。
6,自从艾蕾尔大姐来了之后，\n从团里的杂事到战斗，物品管理，\n她帮了我们不少忙吧？
5,我倒是想到了一些……\n怎么突然问这个？
4,是的，我想知道……\n优希斯小姐\n应该知道些什么吧。
3,——艾蕾尔大姐喜欢的东西？
2,姬塔一行正在和优希斯\n商量某件事。
1,艾蕾尔加入骑空团\n一段时间后的某天——
0-synopsis,某天，姬塔一行向优希斯商量，想要感谢一直以来照顾他们的艾蕾尔。听说艾蕾尔是个美食家，喜欢到处觅食，一行人决定用料理来表达谢意。于是，姬塔一行决定旁敲侧击地从艾蕾尔本人那里打听她想吃什么。
0-chapter_name,大姐头的秘密
