id,trans
filename,scene_evt150228_cp2_q2_s10
translator,Gemini
info,scene_evt150228_cp2_q2_s10
31,真是太有趣了……
30,是的……就像刚才的草药那样\n在进化过程中消失的古代种\n至今仍生存在这里……
29,也就是说……这座岛\n非常罕见吗？
28,越看越觉得……\n这座岛的生态系统\n和我所知的其他任何岛屿都不同……
27,谢谢～\n这下有很棒的伴手礼了～
26,可以啊。\n但是，我不知道它有什么效果。\n使用的时候要小心。
25,总之就是很稀有的东西对吧～\n玛伊谢拉小姐！\n我可以把这个带走吗？
24,嗯……或许可以称之为\n古代种吧？
23,哎～\n纯粹的形态？
22,总觉得……怎么说呢\n它保持着\n更加纯粹的形态。
21,这株植物……和我用的\n草药很像，\n但又有些许不同……
20,说着……\n玛伊谢拉递来了一株\n像是苔藓的植物。
19,你来看看这种植物……
18,看来……\n这里生长的动植物\n似乎都是这座岛的特有物种……
17,那么……\n我们边走边说吧。
15,哼。\n我们走。
14,真是抱歉……\n你说得对。
13,不要擅自行动。\n因为你\n我们白白浪费了体力。
12,在那之前……\n你同伴的那位姑娘好像有话要说。
11,是什么是什么？\n快告诉我吧！
10,呵呵呵……别说得那么难听嘛。\n多亏如此我有了\n有趣的发现……
9,还是一如既往地我行我素啊。\n我们都很担心你啊？
8,嗯……\n我正在调查\n这座岛。
7,……等等！\n您在这儿做什么啊！？
6,才……才不是！\n只是跑得喘不过气而已……
5,是泽赫库啊。\n怎么了？又发作了吗？\n没事吧？
4,呼……呼……\n师、师父……咳咳……
3,一行原路返回时，\n看到了独自一人仰望着树木的\n玛伊谢拉的身影。
0,啊！\n玛伊谢拉小姐在那儿！
0-synopsis,一行发现了伫立于森林中的玛伊谢拉。与担心她的众人不同，玛伊谢拉表示自己正在调查这座岛。她开始讲述起岛上生长的植物。据玛伊谢拉所说，这座岛上至今仍有在进化过程中消失的古代物种存活。
0-chapter_name,第二话 人迹罕至之地
