id,trans
filename,scene_evt211129_cp2_q1_s10
translator,Gemini
info,scene_evt211129_cp2_q1_s10
128,然而，能够实现愿望的繁星，\n却被厚厚的云层\n隐藏在了另一边。
127,一行人仰望着昏暗的天空，\n祈祷着科尔露平安无事。
126,科尔露小姐，\n不要紧吧……
125,不久，乌云笼罩了斯泰拉岛，\n开始下起冰冷的雨。
119,虽然脚踏实地地寻找线索，\n却什么也没找到，\n令人焦急的时间不断流逝。
118,幻视之力，也很难用呢。\n如果能找到监察屋那些人的失物，\n事情就好办了……
117,心虚的感情色彩零星可见……\n但是，想吃饱肚子啦，\n想要钱啦，都在正常范围内。
116,之后，在调查港口周边的同时，\n库皮碳和托尔\n试图活用自己的能力，但是……
110,姬塔慌忙\n拿出 手帕，\n递给了库皮碳。
109,哇哇……！？\n库皮碳小姐，又流鼻涕了……
108,（吸鼻子）……！\n太棒了，真是尊贵的颜色……！
107,每天都是崭新的早晨……\n托尔先生拥有着，\n我们已经遗忘的感觉呢！
103,虽然总算保住了一条命，\n但由于后遗症，只要过了一晚，\n身体就会失去所有的记忆。
102,２年前，托尔掉进了长满幻花的洞穴里\n失去了意识，在被发现之前\n一直持续吸入着毒素。
98,托尔这个名字，\n也不是我真正的名字。
97,其实我，非常健忘。\n早上醒来的时候，\n连自己是谁都不记得了。
96,总觉得有点不好意思……\n不过说我是婴儿，\n或许也没错。
95,库皮碳揉着眼睛，\n吸着鼻子，\n不好意思地笑了。
94,啊—……又要哭了……\n我一接触到尊贵的情感就会深受感动，\n然后眼泪就哗地流出来了。
93,像刚出生的婴儿一样\n无比纯粹，\n看不到一丝邪恶的色彩……
89,托尔先生是，\n充满透明感的希望之黄色……\n是我从未见过的美丽。
85,集中精神的话，\n就像用放大镜看一样，\n连细微的颜色都能看清……
84,通过虹之弓的能力，\n我能看到人们心情的「颜色」。
83,托尔凝视着\n杜兰达尔。
82,我不知道……\n只知道这是寄宿了许多\n英雄罗兰记忆的剑而已……
81,抱歉说明不足。\n关于能力，\n我还以为是凭感觉就能注意到的……
77,回想起提可使用阿斯克勒庇俄斯之杖\n施展的魔法医术，\n姬塔表示理解。
73,比如，提可小姐的\n「阿斯克勒庇俄斯之杖」，\n是与治疗相关的能力……对吧？
69,其实，能够引出那特别的能力，\n正是适合者最大的特征。
68,占星武器，\n拥有巨大的力量……\n这话我说过吧？
67,库皮碳晃了晃\n挂在肩上的弓。
66,看见他人的感情……\n这就是这把「虹之弓」\n所拥有的能力。
65,心之色彩……吗？
64,失礼了……\n托尔先生的心之色彩太美了，\n我不由得失态了。
63,（突然哭起来，\n又突然停下了……！？）
62,呼……\n抱歉，我冷静下来了。
60,（擤鼻涕）——！\n（吸鼻子）——！！
59,啊啊啊，鼻涕……！！\n请用我的手帕！
58,充满透明感，（抽泣），\n如此清澈，如此尊贵……\n是让人想要膜拜的颜色啊～～！！
57,呜，谎言什么的……\n（吸鼻子），根本不可能有的！\n多么……多么美丽的心之色彩啊！
56,呜呜，我居然还稍微怀疑了一下，\n我真是个笨蛋！！
55,面对突然哭起来的库皮碳，\n姬塔和托尔都\n惊呆了。
54,诶诶！？
53,对不起～～～！！！
52,不一会儿，她的眼眶湿润了，\n嘴唇开始微微颤抖——
51,库皮碳微微眯起眼睛，\n仿佛要看清什么似的，\n凝视着托尔。
50,没、没关系……！？\n居然根本没注意到能力，\n怎么会这样……
49,话说回来，武器会有能力吗？\n就算触摸杜兰达尔，\n也没有那种特别的感觉啊……
48,嗯……这好像是在被叫做幻花的菌丝\n侵蚀时获得的力量，\n我觉得和杜兰达尔没关系。
47,托尔拿起挂在腰间的手册，\n一页一页仔细地确认着阅读。
46,占星武器的能力？\n上面有写这种事吗……？
45,嗯……？\n是的，是适合者能够引出的，\n占星武器的能力吧？
44,杜兰达尔的能力……？\n是这样吗？
43,库皮碳看着托尔手中的剑，\n连连点头，\n而托尔则歪了歪头。
42,啊，原来如此。\n那就是这把剑……\n杜兰达尔的能力吧。
41,啊，我平时都戴着手套，\n尽量不使用力量！\n因为介入别人的私事不太好。
40,像这样直接接触就能使用力量。\n刚才我正在看姬塔小姐的\n记忆。
39,那个……我拥有读取寄宿在物体上的记忆和\n思念的力量。\n叫做「幻视之力」……
38,（啊，对了。因为我和库皮碳小姐\n应该是今天才认识的，\n所以她肯定也是第一次看到我的力量吧）
37,……？
36,库皮碳无法理解托尔的行动，\n张着嘴愣住了。
35,哦～……
34,拉加佐，拉薇莉塔，\n托莉丝缇托……是这些人……
20,…………！
19,托尔摘下手套，\n轻轻握住姬塔的手。
17-sel1_txt,好的
17,姬塔小姐，\n我想知道那些人的长相，\n可以握一下你的手吗？
16,我们去找找你们遇到的，\n那些叫做监察屋的人吧。
15,纳比斯的那帮人，\n很可能把科尔露藏在岛上的某个地方，\n然后潜伏在那里。
13-sel1_txt,科尔露，就在这座岛上……！
13,也没有听说\n有人看见其他可疑的船只。\n也就是说……
12,自从我们抵达斯泰拉岛之后，\n好像就没有联络艇进出港口了呢。
11,由于周边空域有航行限制，\n如果想逃到岛外，\n就只能经由港口，但是——
10,抵达港口的姬塔，\n库皮碳，托尔，\n确认定期航班的运行信息。
0-synopsis,在寻找科尔露线索的过程中，库皮碳误将托尔的幻视能力当作了杜兰达尔的能力。据说库皮碳凭借自身持有的占星武器「虹之弓」的能力，可以看见他人的感情。姬塔一行与为托尔内心色彩之美而感动的库皮碳一同继续调查，但始终没有找到科尔露的线索。
0-chapter_name,第2话 引力
