id,trans
filename,scene_evt171031_cp4_q3_s10
translator,Gemini
info,scene_evt171031_cp4_q3_s10
37,尤艾尔用力地，\n揉了揉蔻的头，\n向他伸出手。
36,好啦，别哭了。\n振作起来。你是男孩子吧。
35,呜，呜呜……！！
34,要好好地向索西艾道歉哦？\n我们一起去说对不起吧。\n打屁股的事以后再说。
33,但是，要原谅你的不是我。\n你要道歉的对象也不是我。\n明白了吗？
32,呜……呃……
31,终于……好好地，\n说出「对不起」了呢。
30,尤艾尔静静地走向蔻，\n抚摸着他小小的头。
29,蔻哭喊着，\n瘫倒在地，\n不断地说着道歉的话语。
28,对不起！\n对不起……！！
27,做了多么，\n无法挽回的事啊……！
26,那么温柔的索西艾小姐……\n我，我……！
25,蔻……
24,明明已经自由了！\n明明应该自由了，却……！！
23,比被九尾大人，被玖之王家，\n囚禁的时候还要痛苦，痛苦得多！
22,好痛苦……！！
21,痛、苦……！！
20,……！！
19,那么，蔻。\n现在九尾已经把你解放了，\n你是什么感觉。
18,这样啊。
17,所以我……我！！
16,不用再被玖之王家束缚！！　不用再被九尾大人束缚！！\n能够获得自由……\n不用再受苦了……！！
15,所以！！　当九尾大人\n对我提出这件事的时候……\n我以为自己得救了！！
14,我已经放弃了。觉得已经没救了……\n就这样让九尾大人复活，\n然后自己去死……
13,我至今为止所体会到的……！！\n不合理的痛苦！！
12,<span class='scene-font-4'>你们懂什么！？</span>\n仅仅是为了让九尾大人复活……\n就一直被苟活下去的痛苦……！！
11,……！
10,我才没有开玩笑！
9,你这混蛋！！\n别开玩笑了！！
8,为了让自己得救，\n就利用了索西艾的善良吗。
7,但是我讨厌那样。\n一直，一直都！！
6,我作为凭依之身出生于世。\n为了让九尾大人重生，\n才一直活到现在。
5,是。
4,那么，你和我们\n变得要好……\n也全都是演戏吗？
3,是你……\n唆使索西艾变成九尾的吗……？
2,九尾说的那些话……\n都是真的吗？
1,愣在原地的尤艾尔转向蔻，开口说道。
0-synopsis,尤艾尔逼问蔻，让他说出是不是真的唆使索西艾变成九尾。蔻回答「是」，并诉说了自己一直以来被九尾和玖之王家束缚，所尝尽的苦楚。然而，当尤艾尔询问他获得解放后的感受时，蔻却吐露说比以往更加痛苦。蔻哭喊着，说自己做了无法挽回的事。尤艾尔抚摸着蔻的头，向他伸出了手。
0-chapter_name,第四话 九尾的计谋
