id,trans
filename,scene_chr173_q2_s10
translator,Gemini
info,scene_chr173_q2_s10
31,真的假的！？\n总之我们上，姬塔！！
30,！　果然是魔物吗！\n不对，已经很虚弱了！？
29,咕呀……咕噜噜噜……\n呜哦哦哦哦……！！！！
27,米拉表情凝重地抬头望去，\n可能是之前在附近飞行的\n魔物接连坠落下来。
23,哎呀～……虽然不是，\n但从某种意义上来说比魔物\n更可怕……
22,什么，这股异臭是！？\n魔物吗！？
19,嗯！\n今天的成果是至今为止最好的吧？\n呼呼。大家的喜悦之情都浮现在眼前了。
18,算了……\n在这里调到小火，\n接下来炖煮，然后……
17,哎呀，真奇怪……？\n到这里为止应该是按步骤来的……
16,而此时在厨房里，\n惨剧正在上演。
15,姬塔一行人相处融洽地等待着午餐的准备工作完成。
14,哇！\n我想尝尝看！汽水饭！\n虽然有点紧张……
13,嗯～……\n是、是啊……
12,怎么样？\n是不是很有魅力？
11,而且，在战斗前享用的话，\n还有增强体力和精神力\n的效果。
10,松软和酥脆，\n两种截然相反的口感\n能让人感受到真正的奢华。
9,其他的……\n对了，「奶油炸肉饼芭菲」\n也很推荐。
8,战斗前吃上一碗，\n还有促进身体成长的效果。
7,清爽的酸味加上，\n能一口气把饭扒拉完这点很棒。\n时间紧迫的早晨来上一份也很合适。
6,是啊……虽然是很独特的料理，\n像今天这样炎热的日子，「汽水饭」\n也是很推荐的。
5,唔唔……\n那东西真想尝尝看啊！\n还有其他的名菜吗？
4,辛辣与辛辣相互碰撞\n所产生的绝妙共鸣技<span class='scene-font-kokoro'>（Link Arts）</span>\n极其地刺激食欲……
3,啊。在我的世界里广为人知的，\n有一种叫做「麻婆咖喱」\n的料理。
2,呐，米拉小姐，\n我们不知道的料理，\n都是些什么样的呢？
1,我，\n只有心慌的感觉……
0,但是，\n吃着别人亲手做的料理，\n这种感觉，每次都让人激动不已啊。
0-synopsis,在等待卡塔莉娜的料理期间，一行人正听着米拉讲述她所在世界的料理。正当一行人和米拉相处融洽之时，一股异臭开始弥漫开来。担心魔物来袭的米拉抬头望向天空，确认到不知为何已经变得虚弱的魔物正无力地坠落在甲板上。
0-chapter_name,难以忘怀的味道？
0-chapter_name,难以忘怀的味道？
