id,trans
filename,scene_evt191128_cp2_q2_s10
translator,gpt-4o-2024-08-06
info,scene_evt191128_cp2_q2_s10
132,"你……比赛结束后给我记住！ "
131,呀—要烧起来了—！？
129,火焰喷射器再次启动！燃烧的礼物们～！
119,我在打扫呢，请不要弄乱！！
118,哦！就在这时，天空运载☆米号重新调整了姿势！
116,哎呀～我生气了哦！
115,我不会让你──
114,就这样超过了疯狂圣诞！
112,我先走一步了。
108,吸烟的凯茜这边轻松躲过礼物攻击，加速中！
107,但是，我就不客气了。我可不是那种为了东西就动心的女人。
103,呵呵，惊喜礼物？真是很棒呢。
102,别东张西望！
101,喂斯特姆殿！看到了吗～！？不是个不错的攻击吗！？
98,怎、怎么会～！多萝西！
97,非常遗憾，但我们在这里也无能为力。
96,康斯坦齐娅大人，请冷静下来。
95,克、克劳迪娅，怎么办！？多萝西她……
94,多、多萝西！？
92,不要～～～！
91,看似只是热闹无意义的机关，竟然奏效了吗？不能小看疯狂圣诞！
90,看起来是被圣诞礼物撞到了，吓了一跳呢～
89,怎么回事，天空运载☆米号！？失去控制了！
88,呀——！？
85,嗯啾──！？
79,嗯──……！
78,哦！天空运载☆米号的火焰喷射器停止了吗？
76,哇！闪闪发光的，好可爱！
73,…………
72,真是服务精神旺盛啊！？不愧是疯狂圣诞！
71,而且还隐约能听到圣诞歌……
70,是圣诞礼物吗～？不愧是圣诞老人呢～
69,飞出来的是……很多的盒子？
68,本来应该是攻击机关「疯狂爪子」出现的地方，但是……
67,怎、怎么可能！
59,好～的，开始吧～！
58,你……
57,不不，没问题！没事，会有办法的！大概！
56,喂，难道你……
55,呃，呃……
53,赶快把疯狂爪子拿出来。
52,吵死了。废话少说。
51,对、对不起斯特姆殿！很抱歉！
50,你……
48,哈哈哈……真是奇怪呢～为什么呢……
47,结果就这样。没有一个参赛者因为圣夜和圣诞老人而兴奋吧。
40,知道啦！交给我吧！
39,我可什么都不干。你自己去准备。
38,斯特姆殿！那么……
37,吵死了。我知道了。
36,斯特姆殿～
35,…………
34,在配合圣夜的同时赢得比赛！那才是真正的全力以赴，不是吗？
33,那倒是，当然！
32,不管是圣夜还是其他，比赛就是比赛。只要全力以赴参加比赛就足够了。
31,别这么说嘛～！
30,并不。我不这么认为。
29,在这样的情况下，只有我们什么都不做是不是不太好？
28,所以呢？
27,我想，所有参赛者一定都会为了圣夜而做各种准备的，对吧。
26,太过分了～斯特姆殿。不过嘛，想想看嘛。
25,庆典就让它只存在于你的脑袋里吧。
24,圣夜的比赛不就是一定会是个庆典吗？
23,……那又怎样。
22,因为因为！是「圣夜前夕」杯哦？是圣夜哦？
16,我真傻，竟然被你牵着鼻子走。
15,什、什么事啊～？
14,喂！
13,……这可干不了！
12,果然不能小看，新手！
11,火焰的热量产生了上升气流呢～看起来她巧妙地利用了这一点～
10,然而，吸烟的凯茜！轻盈地提升高度，逃离了火焰！
6,哎呀！真是猛烈的进攻呢。不过光有热情可打动不了我哦？
5,哎哟哎哟哎哟哎哟！火焰更加猛烈地席卷了！真是个激进的家伙！？
3,嘿嘿！不需要的东西，我会全部清理掉哦☆
2,哦！就在这里，天空运载☆米号的火焰喷射器开始真正地喷火了！
0-synopsis,斯特姆和德朗克被多萝西的火焰喷射器弄得手足无措。为了对抗，德朗克启动了自机「疯狂圣诞」的机关。正如其名，这个机关会撒出礼物箱，扰乱多萝西机的平衡，一度让斯特姆和德朗克领先，但最终被愤怒的多萝西的火焰吞噬。
0-chapter_name,第2话 不可预测
