id,trans
filename,scene_evt141031_cp4_q4_s10
translator,Gemini
info,scene_evt141031_cp4_q4_s10
59,斯黛拉怀着\n心中的决意，\n准备与「不可触碰之物」\n决一死战。
58,长老的话，\n令斯黛拉为守护者\n真正的使命而感到震惊。
57,（如果必须有人牺牲，那无论是村子里的人\n还是姬塔小姐她们，\n都不应该被牺牲，我这个守护者一个人就足够了……！）
56,（果然，\n我不能把姬塔小姐她们牵扯进来。\n我……我必须去做！）
55,（原来如此……\n我们代代相传的使命，\n竟然背负着这样的理由……）
54,…………
53,但是……正因如此，\n我们才要为自己的使命感到自豪。\n并为这份自豪献出生命。
52,这样一来，其他岛屿的魔物数量就会减少，\n就能获得和平。只要封印还在，就能一直维持下去。\n……这不是弃子，又是什么？
51,将「不可触碰之物」\n封印在这片土地上的目的，\n是为了将周围的魔物都聚集到这里。
50,怎么能这样……！\n您怎么能这么说村子里的人，\n就算您是长老……！
49,我们一族就是为了今天而存在的弃子。\n为了不让「不可触碰之物」\n逃走……
48,如果不先\n削弱「不可触碰之物」的力量，\n魔导弓的封印就无法生效。
47,真的吗！\n……也就是说，要召集村民们\n去和它战斗吗……
46,斯黛拉。\n「不可触碰之物」的位置，\n被一个村民找到了。
40,……嗯……
39,玛丽亚小姐的姐姐，\n可是拼上性命才救下了您……\n所以请您一定要珍惜自己的生命。
38,阿斯特蕾娅……
37,因为那样下去，伤口就会化脓……\n甚至会危及生命。\n心里的伤和身体上的伤是一样的。
36,我知道您很难过。\n但是，您不能\n一直这样放任伤口不管啊，玛丽亚小姐。
35,您的心也受了伤。\n自从姐姐去世后，\n您就一直在为此苦恼……
34,诶……
33,……玛丽亚小姐。\n您受伤的，\n并不仅仅是身体吧。
32,……可是，我\n破坏了大家一直以来守护的东西，\n还让村子陷入了危机……
31,当然可以啦！\n受伤的人，\n就不能想太多不好的事情。
30,……阿斯特蕾娅。\n你这样对我好，真的可以吗？
29,玛丽亚小姐，\n您感觉怎么样？\n我给您带了药浴来。
28,孩子们都被藏了起来，\n寂静无声的村庄里\n弥漫着一股令人不安的紧张感。
27,在等待外出寻找「不可触碰之物」的\n村民们回来的这段时间里，\n姬塔一行人在村子里休息。
24,去其他方向寻找的\n村民们一定能找到它的！\n我们先回村子吧，各位。
23,或许是因为它在这座岛上\n被封印了太久，\n力量过于充盈，所以我没办法\n准确地感知到它的位置。
22,要是能感觉到\n「不可触碰之物」的气息就好了……\n抱歉。
21,这边好像\n没有看到类似的东西……\n会在别的地方吗？
16,为了不让斯黛拉担心，姬塔点了点头，\n答应和她一起\n寻找「不可触碰之物」。
15,……好。\n但是，如果感觉到有生命危险，\n就请立刻逃跑。这是约定哦。
14,是啊，「不可触碰之物」\n可不会等我们……\n我们走吧，斯黛拉小姐！
13,而且姬塔怎么可能\n丢下需要帮助的人不管？\n与其在这儿说个没完，不如赶紧出发吧！
12,喂喂，斯黛拉！\n你要是这么垂头丧气的，\n那本来能赢的战斗也会输掉哦！
11,但是……这次的情况特殊，\n就算您是姬塔小姐……
10,也是……呢，姬塔小姐\n就是这样的好人……
9,我也不知道自己\n有没有能力保护各位……
8,……谢谢。\n这是我听到过的最开心的话了。\n但是……
7-sel2_txt,不能见死不救
7-sel1_txt,因为斯黛拉是伙伴
7,「不可触碰之物」\n是我们岛上的问题。\n各位没有必要为了我们白白送命。
6,我们无法保证各位\n的安全。
5,……姬塔小姐……\n那个，各位还是离开这座岛\n比较好……
4,比起干坐着什么都不做，\n还是去找找看吧！\n我们走，斯黛拉！
3,原来如此……\n我们也去找「不可触碰之物」吧，姬塔！
2,不管做什么，\n如果连它在哪儿都不知道，\n那就什么都做不了了……
1,一部分原因是这样没错，\n不过大人们都去调查\n「不可触碰之物」在哪儿了。
0,村子里一个人都没有呢……\n大家、都躲到家里\n避难去了吗？
0-synopsis,姬塔等人帮忙寻找着「不可触碰之物」，而阿斯特蕾娅则在村中照料玛丽亚。此时，斯黛拉从长老口中得知「不可触碰之物」的封印是为了给其他岛屿带来和平，而守护者的村庄则是为了守护这个机制而存在的弃子。得知村庄由来后，斯黛拉便开始钻牛角尖，认为如果必须有人牺牲，那她这个守护者独自一人承担就够了。
0-chapter_name,第四话  代代相传之物
