id,trans
filename,scene_chr020_q3_s10
translator,Gemini
info,scene_chr020_q3_s10
21,靠你了，姬塔！
20,就让我们用姬塔小姐我的力量\n来保护他吧！
19,是啊……刻着神秘文字的书，\n以及能解读这些文字的关键人物。
18,我就说吧！\n……不过，这可是个好机会！
17,姬塔小姐，不好了！\n之前那个男人，\n被魔物袭击了！
16,吼——！！
15,呜哇啊啊啊啊啊！！\n有、有人……\n救救我——！！
14,但是，就像阿尔泰尔小姐说的，\n魔物这么多，真让人担心！
13,真是的……\n说得还真好听。
12,还是人命优先……\n我们赶紧走吧。
11,……虽然我也很在意书的下落，\n但魔物这么多，\n真担心之前那个男人有没有事。
10,如果是这样的话，那他就是\n在确定那本书是好东西之后\n才偷走的……！
9,他应该很熟悉这座废墟。\n说不定他知道些什么\n关于地板上那些文字的事。
8,唔……之前那个男人，\n竟然毫不犹豫地就逃进了\n这种魔窟……
7,但是……总觉得从刚才开始\n魔物的气息就越来越浓重了。
6,去看看有没有其他残留的文字\n也是值得的。
5,……也不能说没有关系吧。\n探索这座废墟的话，说不定能\n找到解读的线索。
4,什么！？\n那、那也就是说这座废墟和那本书\n有什么关系吗？
3,这地板上刻着的文字……\n好像和之前那本书上写的一样……
2,嗯？盯着地面看什么呢……\n怎么了，阿尔泰尔？
1,嘛，这也是托了姬塔小姐的福\n才能达成的结果。这种程度易如反掌。\n……哎呀？
0,不愧是银之军师大人！\n将姬塔小姐的力量发挥到极致的\n战术啊！
0-synopsis,一行成功击退魔物后，发现了刻印在废墟地板上的文字。由于这些文字与被夺走的书籍上的文字一致，应该能成为解读书籍的线索，于是众人开始追踪带走书籍的男人的去向。
0-chapter_name,被夺走的书籍真相
