id,trans
filename,scene_evt200328_cp3_q1_s10
translator,Gemini
info,scene_evt200328_cp3_q1_s10
41,那事不宜迟，\n我们这就去筹备骑空艇吧～！
40,嘿嘿嘿～\n完全被斯特姆大人看穿了。
39,你一开始就打算\n让我帮忙找骑空艇吧？
38,哈哈，果然还是这样啊。
37,那事情就简单了。\n你知道哪里有骑空艇吧。
36,这样啊……
35,也就是说，\n这份工作需要用到骑空艇。
34,直说吧。
33,这份工作很大，\n正因如此，只靠我们\n有点困难。
32,关于内容\n想跟你商量一下。
31,差不多吧。
30,啊……你这几天\n一个人出去就是为了这个？
29,我可是找到了\n一份大工作哦！
28,工作？\n突然，从哪……？
27,啊，嗯。\n那个，所以……\n我找到工作了。
26,……算了。\n所以？你到底想说什么？
25,我没说那件事。\n你总是这样……
24,上次比赛弄坏的疯狂小丑\n修理费高昂是事实，\n我也在反省……
23,诶！？\n不不不，那个，的确是……
22,我知道理由。
21,所以啊……
20,但是，我觉得\n再这样下去可不好啊，\n稍微有点这种感觉。
19,不不不，我们又不是\n现在就缺钱到要命的地步，\n不是那个意思啦？
18,我想说的是，\n最近闲得\n有点不妙啊。
17,对、对不起对不起！\n是我不好～！
16,别拐弯抹角了！
15,<span class='scene-font-4'>疼！</span>\n喂、别戳了！\n斯特姆大人！
13,…………
12,呐，斯特姆大人……\n知道吗？
11,……怎么了？
10,…………\n<span class='scene-font-2'>瞥。</span>
9,…………
8,从莱恩那里收到留言，从菲娜那里\n收到信后过了一段时间\n的某一天——
0-synopsis,收到留言和信后过了一段时间。德朗克向斯特姆提议了一份工作。德朗克看到他们一直没有接到工作，便亲自去找了一份大工作。这份工作需要用到骑空艇，斯特姆和德朗克为了筹备骑空艇前往了某个地方。
0-chapter_name,第三话 大商人，亦或是老相识
