id,trans
filename,scene_chr311_q2_s10
translator,Gemini
info,scene_chr311_q2_s10
60,紧随打头阵的企鹅之后，\n姬塔一行也纷纷举起武器\n一拥而入。
59,喂！\n根本没用啊！\n反而更显眼了好吗！
57,呗呗呗～嗯！\n呗～～～gi～～～！
56,什么什么！？\n那副花里胡哨的太阳镜是？\n难道说，这就是你的变装……
54,…………
52,超☆级☆变装！\n夏日假～……\n企鹅～！！
51,哇哇哇☆大事不妙！\n姬塔，没时间犹豫了☆\n事到如今只能乔装潜入了！
48,喂你们！\n在那嘀嘀咕咕什么呢！\n再不听话就杀了你们！
45,等等，喂！\n怎么可能！\n完全搞不懂状况了……
44,那个，两个暴徒啊，\n带着满满的面包当凶器，\n躲在厕所里呢☆
43,喂喂，怎么回事啊。\n这到底是什么情况啊？
42,真的假的☆\n怎么进去的？？？\n超☆级☆有☆趣☆啊～☆
41,笨蛋，不是面包，是……\n呗呗嗯gi，呗嗯……啊，已经说不清楚了！\n（在厕所里啦♪）
40,呗嗯呗，呗gi～呗gi～呗嗯？\n<span class='scene-font-kokoro'>（那两个人，在房间的什么地方？）</span>
39,诶！？面包满满的？\n是说他们带着很多面包吗？\n两个人，带着满满的面包？？？
38,诶？胸肌？坏人たちの？\n呗gi……不对，呗嗯呗嗯咕～！\n（面包……不对，是满满的！）
37,呗～gi～，呗～嗯呗～嗯？\n<span class='scene-font-kokoro'>（那些人，带着凶器吗？）</span>
36,那么，武器呢？\n就算只有两个人，如果带着可怕的凶器\n也很危险啊！
35,诶，两个人？\n只有两个人吗？
34,诶诶？Two？\n嗯……那是不是\n就是2个人的意思？
33,哦……\n呗嗯，呗咕……嗒呐！\n（好好数了哦！）
32,呗gi，呗咕呗咕，呗咕～嗯？\n<span class='scene-font-kokoro'>（那边，坏人，有几个人？）</span>
31,好，那就……
30,嗯～，让我想想……\n先问问暴徒的人数吧？
29,嗯……\n先问什么好呢。
28,耶！交给我吧，露莉亚☆
27,没错！如果是企鹅语的话\n坏人们就听不懂了。\n企鹅，快问问里面的情况！
26,等等，诶！？\n这该不会是企鹅语吧？\n是从房子里传来的！
25,那、那个……\n呗咕，呗咕呗咕，呗gi～呗咕……
24,诶？\n什么声音……是什么？
23,那个……？\n刚才，好像……\n听到什么声音了？
22,啊，确实。\n怎么办，姬塔……
21,但是但是……\n在不了解里面情况的前提下，\n就贸然突☆入太危险了吧☆
20,哎呀哎呀，没关系啦☆\n我才不在意那种事呢☆
19,喂喂，明明刚才还\n对企鹅们爱答不理的，\n真是现实的人啊……
18,啊，企鹅先生！\n拜托您了。\n请一定要救救大家。
17,呀呼☆\n正义的伙伴☆闪亮登场！\n大家都没事吧？
16,就在这时，企鹅们\n气喘吁吁地跑了过来。
15,没想到，没有自卫团和军队这件事\n居然被他们反过来利用了……
14,呜，已经不行了……\n这样下去什么都做不了……
11,喂！马车！\n快把马车给我开来！\n不然就杀了这些人！
8,镇长家门前聚集了很多人，\n但谁都束手无策，\n只能干着急。
7,暴徒将镇长和孩子们挟持为人质\n躲了起来。
4,一行人将暴徒们\n交给碰巧路过的镇民们，\n慌慌张张地跑向镇长家。
3,哇哇哇☆大事不妙！\n姬塔，得赶快！
2,嘎哈哈……\n没用没用。\n现在才赶过去已经太迟了！
1,可恶，大意了！\n不过已经太迟了。\n分队已经赶往镇长家了。
0,姬塔一行取得了战斗的胜利，\n并将暴徒们拘捕。
0-synopsis,怪异的一伙人，是一群看上了城镇没有军队和自卫团驻守而能够轻松进行掠夺的盗贼团。一行人在得知分队袭击了镇长家后慌忙赶往现场。在那里，暴徒头目将人质扣押在镇长家中，并将自己也封锁在内。虽然想要冲进去，但却无法得知里面的情况。就在这时，从镇长家中传来了笨拙的企鹅语，开始讲述起里面的情况。
0-chapter_name,人气王是呼啦啦啦～☆
