id,trans
filename,scene_evt240729_cp6_q2_s10
translator,Claude 3.5 Sonnet
info,scene_evt240729_cp6_q2_s10
227,住手吧，涅尔科！
224,在涅尔科空洞的嘴边，\n蓝色的强大能量正在聚集──
223,────！
221,呃……！\n涅尔科，是哥哥啊鲣！\n变回温柔的涅尔科鲣！
220,涅尔科踩着赫卡忒，\n朦胧地注视着\n姬塔和马格罗的身影。
219,────！
215,那个……长鳍金枪鱼……\n已经是……真正的──
214,姬塔……\n快……逃……
213,骑空团的伙伴们，龙宫民们……\n不分敌我地全都倒下了。
212,怎么……会……！
211,────
210,姬塔他们追赶着\n高速离去的涅尔科，\n好不容易赶到了海滩，但是──
204,瞄准了海滩上的大家……！？\n赶快追上去鲣！
202,────！
201,征服吧，海洋特异点！
200,你反而应该感谢我才对。\n因为你得以遇见心爱的妹妹！
199,巴哈诺奥托希戈……！\n我绝对不会原谅你的鲣！
198,他们自己都不知道\n为什么憎恨空之民，\n就这样对空之民发怒啊？
197,龙宫民被本能地\n编程了对空之民的敌意……
196,呵呵……！\n当然是棋子！
194-sel1_txt,把龙宫的伙伴当成棋子……！
194,哼，为了排除你，\n他扮演了一个很好的角色。
192-sel1_txt,给仓木出主意的也是……？
192,得知胡子龟的真实身份\n是巴哈诺奥托希戈，\n姬塔恍然大悟。
189,最后是「海」的因果……\n让涅尔科与龙宫民交流，\n在建立自我认知后就完成了。
186,我引发了与马格罗的互换，\n以胡子龟的形象将其引导至龙宫。
181,接下来是「空」的因果。\n为了让作为特异点的姬塔\n与涅尔科交流……
177,…………！！
176,呵呵，难道你以为\n失去同伴后立即遇到涅尔科，\n是命运安排的吗？
175,没错。通过与涅尔科建立联系，\n我想要提高「星」的因果。
174,那起事件的真正目的是……\n为了利用我……？
167,憎恨空之民的孤独星晶兽……\n与孤独的素体相性应该很好吧？\n我「准备」了一只。
166,…………！？
165,而最初选择的因果就是……\n你，马格罗。
164,姬塔回想起\n涅尔科被海洋生物\n异常地避开的情景。
163,也就是说，涅尔科在海中是孤立的……\n就像淡水和海水不易混合一样，\n可以避免多余的因果混杂。
162,……由于素体异常的因子，\n海洋生物本能地回避涅尔科。
161,安排……交流……？
160,需要编织各种<span class='scene-font-spword'>「因果」</span>……\n也就是说，有必要\n安排自发的交流。
158,但是，仅仅集齐<span class='scene-font-spword'>「因子」</span>，\n是无法作为特异点发挥作用的。
157,我以<span class='scene-font-spword'>「星」</span>的奴隶兽长鳍金枪鱼为基础，\n注入<span class='scene-font-spword'>「神」</span>的力量\n创造出了这个素体。
156,<span class='scene-font-spword'>「特异点」</span>──\n世界的命运汇聚于此，\n其存在左右着命运的人……
155,巴哈诺奥托希戈\n不怀好意地颤抖着身体说道。
154,我们的……？\n这是什么意思鲣！？
153,马格罗和姬塔……\n如果没有你们的协助，\n这是不可能完成的。
152,呵呵，<span class='scene-font-spword'>「海洋特异点」</span>──\n完成得真是太棒了。
151,刹那间，涅尔科发射的光线\n擦过扭身闪避的姬塔的脸颊，\n空气中弥漫着头发烧焦的难闻气味。
139,…………！
138,然而，姬塔全身都在警告，\n事实并非如此。
137,出现在那里的，\n看起来就像是一条\n普通的长鳍金枪鱼。
136,涅尔……科……？
135,────
128,瞬间，涅尔科的身体扭曲，\n剧烈膨胀──
125,让她成长起来。\n作为哥哥这不正是你的心愿吗。
124,你……！\n到底对涅尔科做了什么──
123,涅尔科！！！
122,────
121,然后，出现的是──\n一条小小的，小小的鱼。
119,巴哈诺奥托希戈不怀好意地微笑着，\n挥舞起其绝大的力量。
116,但是，当然……\n我已经准备好了\n应对特异点的手段。
115,哼……\n果然最后的障碍是<span class='scene-font-spword'>「特异点」</span>──\n连神智都能超越的存在吗……
114,你们这些家伙……！
113,哼，一点伤都没有……\n刚才说什么来着鲣？
112,确实削掉了鳞片，\n马格罗的背接住了\n自由落体的姬塔。
107,唔……！
104-sel1_txt,博帕尔之刃！
104,……！\n竟然把身体投向空中……？
101,唰地一闪！
97,……愚蠢。\n你们连伤到我一下都做不到──
96,……不过，现在\n也不是该惊讶的时候了！
95,<span class='scene-font-4'>什么……！？</span>\n竟然骑在长鳍金枪鱼上！
80,我明白鲣！
77-sel1_txt,马格罗！
77,但，但是啊……！\n要怎么攻击啊？
76,姬塔将目光转向\n不是被操控的龙宫民，\n而是本体巴哈诺奥托希戈。
73-sel1_txt,打倒巴哈诺奥托希戈！
73,而且，不断召唤土之星晶兽的\n露莉亚的体力也\n接近极限了。
72,呃……哈……！
71,虽然骑空团成员的奋战\n使龙宫民失去了战斗力，\n但现在反而是龙宫民的生命受到威胁。
69-sel1_txt,莲狱君，寄居酱……
69,太厉害了……！\n把敌人都压制住了鲣！
67,呜哇！？
65,哼！
63,呀！
60,哈！
59,姬塔摘下头套，\n立即确认眼前的战况。
56,姬塔……！\n你回来了啊！
55,当视野充满光芒时，\n姬塔已经站在了沙滩上。
44,姬塔不禁理解了那种感觉，\n忍不住笑出声来──
43,串烧的诀窍是，\n一击就要贯穿食材的正中央，\n要唰地一下鲣！
