id,trans
filename,scene_evt160731_cp5_q4_s10_ss
translator,Gemini
info,scene_evt160731_cp5_q4_s10_ss
77,一行人抱着西瓜，\n从有着小祠堂的西瓜田\n回到了据点。
76,姬塔靠近不安的露莉亚，\n环顾四周，\n却没有发现可疑的人影。
75,真奇怪啊……\n希望不是幽灵……
74,……像是愤怒的……\n……但是，只有我们\n在这里吧？
73,啊，姬塔……\n……总觉得，刚才感觉到了视线……
71,――――
68,…………！？
67,姬塔一行人\n收获小西瓜。
66,哦！
65,那么，把一些西瓜\n带回据点吧。\n这次要注意不要刺激到蝙蝠了。
64,就算情绪高涨，\n也没什么用！！
63,呃，呃，那个，那个……！
62,立了大功啊，安娜小姐！
61,确实，如果不是安娜小姐\n注意到篝火的事\n我们也不会来到这里。
60,诶！？
59,多亏了安娜！\n谢谢你，安娜。
58,有这么多西瓜，\n暂时可以不用挨饿了。\n运气真好。
57,诶！？　太、太巧了吧……\n我们，被冲到\n西瓜岛了。
56,竟然……！一望无际\n全都是西瓜田……\n……难道说，这里就是西瓜岛！？
55,诶？\n……啊，真的！\n这个，虽然小一点，但是是西瓜！
54,……啊！\n喂大家，快看！\n这里，到处都是西瓜！？
53,不是……假的吧？\n竟然有这么大的西瓜……！
52,这、这是……西瓜！？\n真是巨大啊，\n竟然和某的身高差不多！
51,…………
50,……后面的这个球体\n是神体吗？\n……嗯！？
49,这是，祠堂……吗？\n供奉着什么呢？
47,……嗯？\n原野的中心有什么东西。
46,竟然连接着这么广阔的原野……！
43,呼……太好了……\n……啊！\n请看，是洞窟的出口！
42,呼，呼……！\n蝙蝠们，已经，\n不追过来了……的样子……
35,姬塔一行人冲过聚集过来的\n蝙蝠群\n向深处跑去。
34,可恶……数量太多了……！\n姬塔小姐，\n跑着冲出去！
33,突然被火把照亮\n愤怒的蝙蝠们\n向姬塔一行人袭来。
32,糟糕！\n姬塔，小心！
31,……感觉，它们好像生气了？
30,…………！！
29,不是！是蝙蝠！\n深处是它们的巢穴吗……！
28,呀啊！\n这、这是什么声音！？\n难道是幽灵！？
25,会通向哪里呢？\n已经走了很远了……
24,哇，真的！\n火焰都倾斜了。
23,……看，你看。\n在这里可以清楚地看到火把的火焰\n被从对面吹来的风吹得摇曳。
16,姬塔向娜尔梅亚点了点头，\n拿着武器去探索洞窟了。
15,是啊。\n我觉得应该确认一下。
14,也就是说有其他的入口？\n……那样的话，魔物\n也有可能从那里入侵。
13,会不会这个洞窟……\n从深处，有风吹过来……？
12,啊，嗯……\n那个，有时候篝火\n会朝奇怪的方向摇晃。
11,……安娜小姐？\n怎么了？
10,…………
9,哼……现在说这些还有什么用？\n与其说些废话\n不如去睡觉吧。
8,但是……
7,而且，\n说要去西瓜岛的也是我。
6,嘛嘛，那可不能这么说！\n生存也很有趣嘛。
5,都怪某提起了讨伐守畏祸的事……
4,难得的休暇期间，\n却发生了这种事\n真是抱歉。
3,是啊……\n说好了要帮忙的。
2,……卡塔库栗先生，\n一定很担心吧……\n还有，牵牛花也要照顾……
1,吃完饭了，\n今天也该睡觉了吧。
0,姬塔一行人\n在傍晚时分各自结束了工作，\n为了保存体力在洞窟里度过。
0-synopsis,姬塔一行结束了当天的工作和用餐。莎拉看到摇曳的火焰，说道「会不会是从洞窟深处吹来风了呢」。为了调查，他们前往洞窟深处，来到了一片有着小祠堂的原野。在祠堂的后面，他们发现了一个和仁身高差不多的巨大西瓜，姬塔一行人都惊呆了。而且这片原野竟然是一望无际的西瓜田，姬塔一行人偶然得知，他们被冲到了目的地——西瓜岛。
0-chapter_name,第五话 生存·夏季
