id,trans
filename,scene_evt150731_cp1_q3_s10
info,scene_evt150731_cp1_q3_s10
21,ま、明日の仕事もあるし\nひとまず今日は\n波打ち際で遊ぼうぜ！
20,アウギュステ出身の\nオイゲンまで言うなら\n間違いねぇよな。
19,海ってのは慣れてねぇと\n危ねぇからなぁ。
18,えっ、そうだったの！？\n……だから、この辺りは\n少し人が少ないのかな？
17,ありゃ、あそこから深くなるンだ。\nちょいと流れも急になるから、\nあっちに泳いでくのはやめときな。
16,あの岩の辺り、\n急に海の青が濃くなってンだろ？
15,なに、ソリッズ？\n準備運動ならしたわよ？
14,おっと、ちょいと待ちなイオ。
10,カタリナ、あの岩まで\nどっちが早く泳げるか\n勝負しましょっ！
9,ありがとう。だが、ここまできて\n泳がないというのも、\nもったいないだろう？
8,嗚呼、お姉様……\n不用意に日向に出てはお姉様の\n白い肌が焼けてしまいます……
7,わかったぜ、姐さん！
6,よし、集合場所はここにしようか。\n皆、ちゃんと覚えておくように！
3,わぁ～、いいの！？\nやった！\n行きましょ、姬塔！
2,せっかく来たばかりなんですし～、\n海で遊んで来てください～
1,今日は長旅でお疲れでしょうし～、\n明日からで大丈夫ですよ～
0,シェロさ～ん！\n荷物置いてきましたけど、\n何をお手伝いしましょう？
0-synopsis,浜辺へやってきた姬塔達は、ソリッズから海の危険な場所について注意を受ける。海の家の手伝いのことも考え、一同はひとまず波打ち際で遊ぶことにするのだった。
0-chapter_name,第1話 騎空団のバカンス
