id,trans
filename,scene_evt250226_cp2_q2_s10
translator,Gemini
info,scene_evt250226_cp2_q2_s10
149,诶！？
148,那个孩子，是星晶兽……
147,怎么了吗？
146,对，对不起……\n可能是因为她很安静，\n我好像没能察觉到……
145,露莉亚，你怎么看？
144,嗯？\n药师大人，怎么了吗？
143,…………
142,欢迎回来，瓦姬拉！\n干得漂亮♪
141,…………
140,第一位失踪者，发现！
139,啊，那个……？
138,在姬塔等人集合的地方，\n面带笑容的瓦姬拉\n挥着手回来了。
137,啊，来了。\n好像牵着手呢。\n确实是个女孩子。
136,喂～！\n我回来啦～！
129,碧卡拉和玛琪拉\n并肩\n离开了森林。
128,嗯，找到了太好了！\n看来刚才那个孩子\n移动到那边去了呢！
127,碧卡拉君，听到了吗？\n是瓦姬拉君的声音。
126,找到女孩子啦～！
125,诶？
124,找到啦～！
123,啾？\n我没看到呢……
122,好奇怪啊……\n刚才明明看到\n这里有个女孩子……
121,哦呀？\n……哦呀哦呀？
120,当碧卡拉移回视线时，\n本应在那里的人影\n不知何时消失了。
119,……咦？
116,玛琪拉！\n看，就在那里！\n那──
115,怎么了？
114,失踪者，发～现！
113,哇哦！\n难道说……是你！
112,…………
111,继续寻找失踪者的碧卡拉，\n目光捕捉到了前方树木间的影子。
110,哦呀？
109,谢谢你，玛琪拉！\n没关系！\n我不会往深处走的！
108,碧卡拉君，小心点哦。\n这里的森林魔物很多，\n好像可以后面再来找。
107,呼喊也不能\n太大声，\n真是难办啊～哎呀呀。
101,…………
100,嗯？
99,应该不会有人\n爬到这种地方来吧……\n还是回去比较好。
98,…………
97,嗯～……\n是不是来到\n有点高的地方了啊，迦尔。
96,姬塔等人在准备\n用餐兼暗号的时候，\n瓦姬拉正在山路上行走。
90,我觉得是太相信年轻了……
89,没关系吧？\n都是年轻人。
88,嘛，肚子是饿了，\n但也不用这么多吧……
87,是吗？\n人挺多的，\n肚子也饿了吧？
86,好多啊……
85,毗舍罗准备的，\n是堆积如山的水果。
84,呜哦！？
82,嘿……咻。
76,是啊。\n但只能靠双脚\n仔细地到处找了。
75,啊，是哦。\n被提醒过了呢。\n真难找人啊。
74,安琪拉酱，\n声音太大的话\n会被魔物之类的发现哦。
73,有人在吗～？\n请回答～！
67,那，那么就开始搜索吧。\n重新振作起来，好吗！　……好吗？
66,太，太好了……\n真的太好了……\n不是什么大不了的暗号……
65,听说这一层的暗号是\n「吃光准备好的食材」后，\n十二神将松了一口气。
64,（明明还沉浸在什么\n世界纷争云云的感慨中，\n居然装作若无其事……）
63,记录上写着，因为如果出现了\n螃蟹型的星晶兽，暗号就会\n立刻暴露，所以被撤回了。
62,以前有过，\n但那是被取消的暗号了。\n希望你能好好听我说话。
61,什么……现在没有了吗……
55,还不是因为你种下的火种吗！！
54,但我愿意相信。\n人与人是能够互相理解的……！
53,为什么要争到这种地步？\n世界上的纷争就不会消失吗？
52,啊啊……\n关系那么好的十二神将\n竟然如此争吵……
51,啊哇哇哇……！\n大家，请冷静！
50,就算这样就怀疑卯神\n作弊\n你是什么居心！？
49,当然！\n那种事……\n我死也不想做！
48,<span class='scene-font-4'>哈～……！？</span>\n你在怀疑我作弊吗！？
47,先让我检查一下骰子。
46,哈伊拉走到玛蔻拉面前\n迅速伸出了手。
45,唔……
44,呜诶！？
43,全裸的话，碧卡拉\n也要摘掉鼠耳哦，\n这样也没关系吗？
42,哈哈！　不错嘛！\n用游戏来决定\n肯定也很有趣！
41,不管哭还是笑都是一局定胜负！\n用我带的骰子\n来玩单双决定吧！
40,玛蔻拉从怀里取出了骰子。
39,再怎么商量也没用啊。\n事已至此只能做了呢。\n……变得有趣起来了哦！
38,不是，那个……
37,我也做不到啊～！
36,不行不行不行！
35,那，那么库碧拉……\n能交给你吗？
34,让还没成年的最小的孩子\n做这种事真的好吗……\n作为年长者……从伦理上来说也……
33,只要裸着横着走就行了吧？\n我能做哦～
32,就算出嫁了也是大惨剧吧？
31,做不到……\n还没出嫁就做那种事……
30,不是……
29,诶，怎，怎么办……？
28,但是啊。总得有人\n去做吧……？
27,你，你在说什么啊……
26,不好……很不好啊，派。\n你刚才很自然地\n就推给我了吧？
25,我不做！
24,这真是不得了啊……\n阿妮拉姐姐要全裸做那种事……
23,全裸横着走！？
22,达摩的历史很长。\n也有「全裸横着走」\n这样的暗号──
21,药师大人，\n还有其他什么样的暗号呢？
20,暗号……是这么说的吧？\n虽然觉得是很有趣的机关，\n但麻烦确实也挺麻烦的呢。
19,但是在移动之前必须\n做特定的行动\n还真是挺麻烦的啊。
18,是呢……\n虽然吓了一跳，\n但确实有点有趣呢。
17,是吗？\n能通过门瞬间移动\n不是很有趣吗！
16,这真是吓了一跳……\n但总觉得有点毛骨悚然呢……
15,十二神将和姬塔等人目瞪口呆，\n唯独毗舍罗\n泰然自若。
14,穿过从沙滩现身的门扉后，\n一行人眼前\n是完全不同的风景。
13,哇哦……\n展现出不同的景色了呢……\n气候是不是也稍微变凉了？
0-synopsis,穿过门扉移动到下一层的一行人。据说这一层的暗号是「吃光准备好的食材」。在分头搜寻失踪者时，碧卡拉发现了一个少女，但她很快就消失了。正当碧卡拉感到疑惑时，听到了瓦姬拉「找到啦～！」的声音。然而，瓦姬拉带来的少女并非十三佛，而是星晶兽。
0-chapter_name,第2柱 牛头马头
