id,trans
filename,scene_chr896_q2_s10
translator,Gemini
info,scene_chr896_q2_s10
145,好想……见到大家啊……
144,琪琪莉酱……\n阿米酱……咻咻库酱……
143,已经，什么都……\n不知道了啊……
142,不知道吧～……\n乌尔酱也不知道……
141,…………
140,该怎么办呢～\n你觉得该怎么办好呢～？
133,果然还是要继续调查。\n去好好问问乌尔基吧。\n用不可思议无法解释的事情太多了。
132,没捡过这种东西吧？\n是什么时候进去的……？\n是和乌尔基见面的时候吗……？
131,这是什么呢……\n好像有玄武的气息……
128,于是从胸口\n掉出了一个散发着\n异常冷气的小物件。
127,听到碧的提醒，\n姬塔检查了衣服。
126,嗯……？ 姬塔，\n衣服里是不是有什么东西？
125,虽然没有冻伤……\n但很奇怪啊，总觉得……
124,哇，确实有点凉……\n我的围巾借给你！\n请暖和一下！
123,姬塔说从乌尔基擅自\n让她骑在肩上的时候开始，\n脖子就一直很冷。
122,怎么了？\n一直在摸脖子……
121,被露莉亚叫到，\n姬塔慌忙转过身来。
120,是……那个……\n姬塔？
119,真的什么都搞不懂……\n虽然乌尔基那么说了，\n但或许还是继续调查比较好。
118,谁知道呢……
117,但既然如此，为什么\n要对那件事保持沉默呢？
116,所以那个时候……\n她看起来像是知道些什么\n的样子吗……？
111,失踪者……
106,玄武出现的城镇\n就是这里啊……话说\n失踪者是乌尔基认识的人吗。
105,这可真是……\n该说是偶然呢，还是时机不好呢……
104,和乌尔酱关系特别好对吧？\n嗯—，说不定那个人\n很了解乌尔酱呢。
103,那家伙，从玄武出现后\n过了一段时间就消失了……
102,嗯～也不是什么大事，\n我觉得失踪者应该是\n这家店的常客。
101,哦，你知道些什么吗？\n一点线索都没有……\n把你所知道的告诉我们吧。
100,啊—……你们，\n在调查失踪者对吧？
99,那个人……？
98,嗯—，要是那个人也能参加……\n就好了呢……
97,当然♪\n得从现在开始就制定好作战计划，\n不能让乌尔酱逃掉……
96,呵呵，好啊。\n也请让我们参加吧♪
95,好，下次来策划联谊会吧！\n虽然可能会被她逃掉。
94,不过谜团确实越来越深了呢……
93,她很在意别人又怕寂寞呢。\n所以大概，才会待在这里和各种\n客人搞好关系吧。
92,欸欸……不，不过确实是这样吗。\n虽然含糊其辞地回避话题，\n但总是缠着人呢……
91,乌尔酱很怕寂寞！
90,那就是……？
89,不过嘛，只有一点可以说。
88,和冷淡又不一样啊，\n毕竟很亲近人。是秘密主义吗？
87,那个很不可思议吧～\n虽然还放在玄关，\n但就是不会融化。
86,啊哈哈，怎么会呢。\n她不是为了你们做了不会融化的\n不可思议的雪人吗。
85,难，难道是被讨厌了……？
84,一直都是那种感觉啊……\n回过神来嘴里就被塞满了\n曲奇冰淇淋……
79,乌尔酱是什么呢？\n是什么呢？ 可能不知道？\n是充满谜团的乌尔酱哦～
74,是啊！ 我也觉得\n关系好像变好了……\n就旁敲侧击地问了一下。
73,就是这样……\n含含糊糊地\n就把话题岔开了……
68,别在意别在意～\n比起那个，这是新作的冰点心哦～\n吃吧～
63,是啊！ 很不可思议的！\n我也想问问她的身世！\n想和她关系更好点……
62,真是个彻头彻尾不可思议的家伙……
61,啊哈，是啊是啊！ 现在啊，\n专门冲着她来的客人\n络绎不绝呢～
60,乌尔酱，很受欢迎呢。\n虽然是个不可思议的孩子，但很亲近人，\n或许能明白她受欢迎的理由。
54,能遇到乌尔酱\n可是很难得的啊～\n下次再来吧。
53,乌尔酱的料理真好吃啊……\n明明是冷的，心里却暖洋洋的。\n呐，她今天已经回去了吗？
47,不过嘛她很能干，\n而且……你看。
46,用不可思议就能解释吗？
45,回过神来她就在店里了。\n自顾自地帮忙呢。\n很不可思议吧。
44,<span class='scene-font-4'>欸欸欸！？</span>\n这，这是怎么回事？
43,因为，\n我没雇她啊……
