id,trans
filename,scene_evt210927_cp3_q1_s10
translator,Gemini
info,scene_evt210927_cp3_q1_s10
59,兰酱一定会很高兴的！
58,那我们就\n去打个招呼\n吧！
57,去露个面吧！
56,他确实很忙\n但兰酱也很期待\n和姬塔你们见面。
55,嗯，虽然很想见他……\n但兰斯洛特先生\n应该很忙吧？
54,对了！\n大家，还没见过兰酱\n吧？
53,嘿嘿，那就好。
52,你肯定已经为他们树立榜样了。\n那些家伙，都是看着你的背影\n成长起来的吧！
51,他们是怎么想的\n我也不知道……不过如果我能\n为他们树立哪怕一点点榜样就好了。
50,被你这么说，\n我会不好意思的啦？
49,维恩先生，\n就像见习骑士们的\n老师和哥哥一样呢！
48,哇哈哈哈！看到他们的成长\n就像我自己取得进步一样开心\n这不是很正常吗？
47,喂喂。你高兴个什么劲啊。\n我又没有在夸你？
46,哦？\n你看出来了？\n果然是这样啊！
45,亚瑟他们，\n是不是变得可靠了不少？
44,我们也很高兴\n能见到菲德拉赫的大家。
43,别放在心上啦！
42,真是，太感谢你们\n愿意来帮忙了！\n姬塔、碧、露莉亚！
36,好！那就解散吧，\n为了之后的出发\n都给我好好准备！
35,请多关照！
34,请多关照！
33,请好好相处！
32,年龄相仿的人应该也很多\n积极交流\n多多学习吧！
31,虽然骑士和骑空士\n立场不同\n但你们一定能从他们身上学到很多东西。
30,就连我也望尘莫及\n他们可是经历过各种各样的考验的。
29,他们，都是实力强大的骑空士\n姬塔更是小小年纪\n就担任着团长的职务。
28,二年级的各位\n在去年的登山测试中见过面\n应该都认识吧。
27,我是碧！
26,我叫露莉亚！
25-sel1_txt,我是姬塔。
25,我来介绍一下这次合同远征训练的\n特别同行者吧！
24,维恩，瞥了一眼\n并排站在自己身边的姬塔一行人。
23,所以说……
22,唔……好紧张……
21,二年级，可别在一届生面前\n出丑啊？
20,一年级，好好看着\n就在眼前的二年级前辈们\n确定好具体的学习目标。
19,在与平时不同的环境中，\n一定能获得很好的经验！
18,在见习期间，\n很少有机会离开王都。
17,训练！
16,远征……！
15,将聚集在这里的\n一年级和二年级的见习骑士\n进行合同远征训练！！
14,今年，\n我也想尝试一些新的东西。\n那就是……
13,白龙骑士团开始招募新骑士的\n考试已经是第二年了。
12,维恩将见习骑士们\n聚集到了练兵场。
11,好！\n一年级二年级\n都到齐了！
10,姬塔一行抵达菲德拉赫的\n当天下午——
0-synopsis,维恩将见习骑士一年级和二年级的学生都叫到练兵场，宣布将进行合同远征训练。然后向见习骑士们介绍了作为训练特别同行者的姬塔一行人。之后，与见习骑士们分别的维恩，从姬塔一行人口中得知亚瑟等人的成长，打心底里感到高兴。维恩向姬塔一行人吐露了自己的心声，希望能为亚瑟等人作为前辈树立一些榜样。
0-chapter_name,第三话 夹缝之地
