id,trans
filename,scene_evt240529_cp5_q1_s10
translator,GPT4o
info,scene_evt240529_cp5_q1_s10
64,背叛了忍之里，和武士一起袭击的那个忍者……他的家族被称为「鵺之族」。
63,一行人歪着头等待老人的话，听到他说出的名字时，微微屏住了呼吸。
62,刚才提到的那个背叛者的名字。在这附近可是有名的忍者名字，我想还是告诉你们比较好。
61,嗯？怎么了？
60,啊，对了。我想起一件事。
59,告别老人后，一行人正准备离开时。
58,呵呵呵，我才要感谢你们愿意听我这个老头子的长话呢。
57,不仅了解了忍之里的事情，还学习到了武士的历史，真是幸运至极。
56,老人家，谢谢您告诉我们这么有意义的事情。
55,我们会继续精进，不会让古时重视仁义的武士蒙羞。
54,……好的！当然，这是我们的本意！
53,姑娘们。请走在正道上，不要让你们的刀生锈。
52,没想到，在我活着的时候，还能见到像你们这样的眼神清澈的武士。
51,老人深情地喃喃自语后，缓缓地眨了眨眼，注视着米林和紫苑。
50,因此，武士和忍者这种文化才会从东国消失吧。
49,但是，不偏离正道就难以生存的时代，这也是事实。
48,呵呵呵，我可没说到那个地步。
47,你这话听起来，好像现在的忍之里也没有什么好人似的。
46,最后留下来的武士和忍者，多半心怀鬼胎。包括那个里的人们。
45,嗯，在这种战争一再重演的过程中，拥有正常感性的武士和忍者都因厌倦战争而逐渐消失了。
44,虽然已经理解了阵内的态度，但那种态度实在是太过分了，米林不禁摇头，试图驱散涌上心头的不快记忆。
43,从忍之里的角度看，武士可以说是仇敌呢……
42,不过，现在我明白了。众长老憎恨武士，是因为这段历史啊。
41,嗯……方向性的不同引发争斗，这在任何时代都不例外啊。
40,既然与那些武士联手，背叛者也必然像那些武士一样，与忍之里产生了意见分歧吧。
39,然而，在失去了他们侍奉的主人后，由于思想的分歧，他们产生了对立。从那时起，他们就分道扬镳了。
38,真相不得而知……但据说，背叛者依靠的那些武士，原本是和忍之里的忍者同侍一主的同僚。
37,竟有这样的事情……带领武士袭击里村的忍者，为什么会背叛忍之里？
36,最终，这场战斗波及了周边的村庄和城镇，造成了许多牺牲。
35,背叛者被捕了，他的整个家族一个不留地被处决了……
34,很久以前，有一个忍者带领武士突袭了忍之里。
33,哦，你们不知道吗。这在这里可是有名的故事。
32,什么？曾经有武士和忍者打仗的时代吗？
31,很久以前，同样有武士四处调查忍者，结果发展成了武士和忍者之间的大决战……
30,不过，这也真是因果啊。穿着武士装束的剑士竟然在调查忍者的事情。
29,抱歉啊，我在散步时听到了有趣的对话。并不是故意偷听的。
28,啊？是的！您怎么知道的……？
27,你们是在调查忍者吗？
24,突然从背后传来的声音让他们回头一看，发现一位老人正饶有兴趣地看着他们。
23,呵呵呵，这真是稀奇。没想到在这种地方会有穿着武士装束的剑士。
22,一行人正为难以获取忍之里的情报而头疼时……
21,如果不是佐藤事先说明，我可能也会认为那只是一个普通的村子。
20,村里走动的人们也都是普通的打扮呢。
19,没办法。正如你们所见，忍之里乍一看和这个村子并没有太大区别。
18,大家对忍之里意外地一无所知呢……
17,向离去的村民道谢后，姬塔一行不由自主地深深叹了口气。
13,是吗……谢谢您！
12,我和那个村子的农户有过几次交易，住在那里的人和我们没什么两样，都是普通人……
11,虽然传闻那里是忍者的隐藏之里，但其实那里只是一个普通的农村。
10,忍之里？啊……是那个村子吗。
9,但是……
8,姬塔一行与佐藤分开后，一边完成任务，一边在附近的城镇和村庄调查忍之里。
0-synopsis,姬塔与佐藤分开，佐藤打算探查忍之里的内部，而姬塔则在附近的城镇和村庄调查忍之里。然后，一位老人告诉她们关于武士和忍者之间的战斗。据说，一个背叛了忍之里的忍者带领武士袭击了忍之里，发生了一场大战。背叛的忍者和他的家族被一同肃清了，后来发现这个忍者的家族被称为「鵺之族」。
0-chapter_name,第五话 忍事是味噌的气味
