id,trans
filename,scene_evt140831_cp1_q4_s30
translator,Gemini
info,scene_evt140831_cp1_q4_s30
42,就这样，姬塔一行正式加入了哥布林讨伐队，一路朝着昏暗之岛进发。
41,放心吧，大叔！事到如今，就全部交给我们吧！
40,……拜托了。这个国家的命运，就托付给你们了。
39,……虽然很遗憾，但只能这样了。我也想一同前往，但正如你所见……我的腿不方便，只会给大家添麻烦。
38,啊……请不要勉强！彼赞先生，在您的腿伤痊愈之前，请留在这里守护城堡吧！
37,唔……！？
36,好！那么就赶紧准备出发吧！
35,（如果能借助这位能够感知星晶兽气息的少女的力量，或许就能将新的威胁扼杀在摇篮之中……）
34,真是帮了大忙……趁此机会，也希望能解开光之巨人的谜团。
33,抱歉……把你们卷进来了。
32-sel2_txt,无论如何都要去昏暗之岛
32-sel1_txt,我们来帮忙吧
32,正是如此。你们看起来身手不凡。团长阁下，您意下如何？
31,也就是说……我们也要作为讨伐队战斗，驱逐哥布林们吗？
30,但是，面对超出预想的哥布林战力，我们现在处于劣势。
29,是的……
28,真的吗！？
27,所以……等事情结束后，我国也会协助调查光之巨人。
26,原来如此。也就是说，哥布林们盘踞的岛上，可能存在着光之巨人。
25,但是……由于昏暗之岛本身长期以来都被视为禁忌之岛，我们也不太了解详细情况。
24,据说在霸空战争之后，就连星之民也无法驾驭它的力量，将其封印在了不见天日的昏暗之岛。
23,沉睡在昏暗之岛的光之巨人。据说那是能用强烈的光芒焚烧一切的可怕星晶兽……
22,是的！就是我们正在寻找的星晶兽！
21,喂、喂……姬塔。光之巨人是！
20,其实……据说在哥布林们盘踞的昏暗之岛，自古以来就沉睡着光之巨人。
17,然后……姬塔。我有些话想和你说……能稍微借一步说话吗？
16,哎呀哎呀，各位。真是不好意思，还要麻烦你们帮忙救护班……
14,…………
13,你说什么！？我好心好意帮你，你个没礼貌的家伙！
12,切……什么啊。这边是蜥蜴吗……
11,喏，大叔……水，是水！
10,唔呀！？……知、知道了。
9,好～的！稍等一下！……喂蜥蜴！别愣着了，你也来帮忙！
8,菲娜酱～我有点口渴了～。
7,唉……已经完全被卷进来了啊，姬塔。
6,……好～的。呜呜，我从刚才开始就一直很糟糕……包扎，好难……
5,露莉亚！这里就交给我吧，你去帮缇娜！
4,啊哇哇……对不起！对不起！
3,露、露莉亚酱……绷带……勒住脖子了……我、我喘不过气来了……
2,好好！稍等一下哦。露莉亚酱……可以吗？
1,缇娜酱～能帮我换一下绷带吗～
0,回到城镇的姬塔一行，开始帮助救治在刚才战斗中受伤的人们。
0-synopsis,姬塔一行在帮助救治伤员时被彼赞叫了过去，并被告知光之巨人被封印在哥布林们盘踞的昏暗之岛。为了调查光之巨人，一行人正式加入了哥布林讨伐队。
0-chapter_name,第1话 战乱的凶兆
