id,trans
filename,scene_ult_chr344_ep1_q1_s10
translator,Claude 3
info,scene_ult_chr344_ep1_q1_s10
107,好的。\n那么就按顺序说明吧──
106,不要说谎，老实交代。
103,…………
102,我从一开始就是认真的。\n我可以发誓。
101,你在开玩笑吧。\n就算是玩笑也一点都不好笑。
100,哈……？
97,其实……\n我也不知道主的最后。
96,不。\n我会毫无隐瞒地告诉你的。
95,都到这个时候了还在犹豫吗？\n我真要生气了。
94,我再问一次。\n够了，给我说实话。
88,既然决定了就快点走吧。
87,虽然有点绕，但我原谅你。\n我也觉得应该去一次。\n这也是个好机会。
86,主的……
85,我们换个地方吧？\n接下来的话题在<span class='scene-font-spword'>主的最后之地</span>说吧。
84,你有资格知道。\n作为同为预言者。\n作为景仰主的人。
83,……是时候了吗。
80,…………
79,…………
78,不说的话我就24小时缠着你。\n乖乖招了吧。
77,不知道。\n以你的本事，应该做得很好吧。
76,既然被认为是神忠实的仆人，\n认为有什么隐情才是合理的吧？
75,假设我站在打神派一边，\n人们会接受我吗……
74,不能说完全不可能。\n但为什么这样做的疑问还是有的。
73,你若是向世人宣扬反抗主的思想，\n煽动他们应该很容易吧。\n不是吗？
72,该说是根本原因吗，\n你的言行自然而然地吸引着人。
71,你的职责是将主的意志传播于世，\n引导人类。
70,……能让我听听你的想法吗？
69,考虑到你的职责，\n叛变应该很容易吧。
68,理由无所谓了。\n你有没有参与打倒主。\n这才是重点。
67,真是个难题啊。\n让我坦白自己没有的事。
66,这正是我要问的。
65,我背叛了主？\n为了什么目的？
62,…………
61,老实说我很怀疑。\n你是不是背叛了？
60,想要搪塞也是徒劳的。
59,简直像审问一样呢。
58,为什么人类要背叛主？\n那时候你在哪里做什么？
55,但是情报量太多了，\n我的脑子都要爆炸了。\n有必要先整理一下。
54,而且幕后\n有菲尼克斯的参与。\n难怪会有超越人智的所作所为。
53,是叫阿布拉梅林吗。\n那个人类率领民众，打倒了主。
52,别装傻了。\n我已经等得够久了。
51,这么急啊。\n让我说什么？
50,你在这里啊。\n来，说吧。
47,两人降落在遗迹\n数刻之前……
41,该说了吧，沙哈尔。\n对我隐瞒是没有意义的。
40,哼，太过伤感了。\n我们不是来闲聊的。
37,哼，太过伤感了。\n我们不是来闲聊的。
31,被关进神秘之柜，\n沉睡了数千年之后，\n才醒了过来。
30,她听从自己崇拜的创世神的命令，\n作为铲除异端者的审问者\n活动着，但是……
29,赫蕾尔·本·夏蕾姆──\n被创世神创造出来的，\n被称为宵之预言者的存在。
21,啊，这样啊……\n从那时起已经过去几千年了。
20,如果不知晓历史的人看到这里，\n也只会认为是遥远过去的一座废墟之城。\n民间并不知晓这里。
19,创世神话如今已成为传说。\n对生活在现代的人们来说，\n主等同于虚构的产物。
18,连花都没有供奉吗。\n那些崇拜主的家伙们怎么了？
12,直到现在仍作为创世神话流传的\n一幕曾在此地上演。
11,曾经遭到创世民的反抗，\n争斗的最后，\n神被撕裂成了两半……
5,路西欧和夏蕾姆降落的，\n是一座布满被草木覆盖的废墟，\n荒无人烟的岛屿。
4,是的。
3,就是这里……\n主被人类打倒，身体被撕裂的地方。
0-synopsis,在菲尼克斯事件平息后的某天。得知创世神败给人类、身体被撕裂的事件始末后，夏蕾姆质问同为预言者的路西欧「那时你在哪里做什么」。夏蕾姆怀疑路西欧背叛了，煽动人们打倒神明。路西欧与夏蕾姆一同前往创世神身体被撕裂的岛屿，开始讲述真相。
0-chapter_name,黎明预言者
