id,trans
filename,scene_evt240428_cp2_q3_s10
translator,Claude 3 Opus
info,scene_evt240428_cp2_q3_s10
106,公主的第一候选人……\n罗迪来了☆
105,久等了，拉姆酱♪
102,拉姆拉拉熟练地\n走进豪华的店内，\n一个男人迎接了拉姆拉拉。
101,<span class='scene-font-4'>遵命！</span>\n每次都指名我真是太感谢了！
100,和往常一样，拜托了♪
99,拉姆拉拉公主！\n一直在等您！
98,离开骑空艇的拉姆拉拉，\n前往位于新·温古德的\n某家店。
92,但是……\n为什么会如此\n执着于男孩子呢……？
91,明天早上、中午、晚上\n也都有约会……\n是超肉食爆食系吗？(ﾟДﾟ)
90,拉姆拉拉，\n走了呢。
86,那么，我差不多要告辞了。\n因为还有和第一候选人的约会！
85,拉姆拉拉如此宣言后，\n打开写满日程的手账。
84,当然了～！\n和男孩子玩才是\n「自由」！
83,啊哈哈，拉拉酱毫不动摇～！
82,不管穿多喜欢的衣服，\n如果不能和男孩子玩，\n就没有任何意义！
81,是穿合适的好呢，\n还是穿想穿的好呢……
80,嗯～……\n但是如果有穿不了的衣服，\n就更加搞不懂时尚了。
79,第一次把自己当作「素材」\n来面对。\n感觉有点新鲜。
78,面对突然脸红的库洛尔，\n可露露不解地歪着头。
77,诶，那个……？\n非常抱歉。
76,等，可露露！？(〃ﾉдﾉ)\n别把别人腋下化妆的事，\n说得那么详细嘛～！
75,这么说来玛娜玛露小姐，\n好像也在腋下涂了什么……
74,不是耳朵啊……\n我还以为会重视那边呢。
73,果然腋下和背部的美貌最重要！\n对库洛尔来说不注重那里就不行！
72,背部用的也有……\n啊，这是艾伦族的事情吗？
71,腋下粉底……？
70,抱歉，很冷吗？(＞人＜;)\  库洛尔的腋下粉底，\n有保温效果所以没感觉～
69,是的……\n不知为何，\n大敞开着……
68,总觉得，可露露，\n一直在按着腋下。
67,啊，角护理油啊，\n角香水啊，\n大家都不熟悉呢。
66,角是德拉夫独有的吗～\n虽然戴上饰品很可爱，\n但仔细一想打理起来也很麻烦吧？
65,正是！\n角直的孩子还好，\n但角弯曲的就不好穿了。
64,啊，是因为角吗？\n为了不被勾到？
63,是的，多拉夫的衣服，\n要么是全部用扣子扣上的类型，\n要么是领子会非常伸展的材质！
62,但是小拉姆，\n明明和我身高差不多，\n却好像穿不了……？
61,多拉夫女性穿人类的衣服\n也勉强可以，\n但哈文如果不是专门的就不行。
60,对不起……\n我的认知还不成熟。
59,穿不了好难过～！(ノω≤。)\n虽然很可爱！
58,没有注意到\n大家的种族都不一样！
57,总之，\n虽然交换着穿了……
51,果然穿不了啊～☆\n但是超可爱～！
50,把这些多余的布料\n调整得更合身……
49,角……！\n角被勾住了～！
48,库洛尔小姐的衣服……\n腋下凉飕飕的！
46,哦～～～～！！
40,通过抽签决定交换对象，\n互相交换穿着的衣服——
39,就这样兴致高涨的4人，\n走出店门，聚集在格兰塞法的\n玛琪拉和库洛尔的房间。
33,而且单纯地看起来很好玩～！\n虽然我很兴奋～☆
32,原来如此……\n确实不尝尝不同的食物，\n就无法了解菜肴的特点！
31,虽然有点奇怪，\n但要了解这些的话，\n比较研究是很重要的。
30,是的，大概……？
29,或者说，\n像是个人色彩啊，\n骨骼诊断之类的？(･ω･`)
28,虽然不太明白，\n但就是所谓的男友衬衫吗？
27,这种情况下是素体的规格……\n也就是自己身体的特征。
26,要设计什么东西的话，\n需要掌握规格。
25,交换衣服……？
24,要不要交换一下衣服试试？\n在场的各位。
23,那个……\n我有一个提议……
22,话题终于回到了可露露和玛琪拉的\n时尚话题上。
21,话题跑题了一阵子，\n追加点了甜点的时候——
20,如果亲吻的男孩子\n开始呜呜叫的话，\n一定很有趣吧！
19,诶～……\n总觉得会有点刺痛……
18,最近的化妆品里真的有！\n里面含有辣椒成分～\n涂在嘴唇上会变得丰满哦！
17,丰满的嘴唇不错呢～！\n要不要涂上辣酱呢。
16,意外地好吃哦。\n嘴唇会变得丰满。
15,哇，好成熟啊……！\n我不太能吃辣……
14,我吃意大利面的时候，\n会加辣酱，以防万一。
13,要把粉末混合在一起哦～！\n一口气全部吃掉！
12,像是每次吃一口混在一起？(･∀･`)
11,……好像是这样。\n就像意大利面一样吧唧吧唧地……
10,那个……\n虽然有些失礼，拉姆拉拉，\n你是要捕食男孩子吗？
9,呜哇，完全是肉食系啊笑死我了～！\n但很干脆，我可以推荐！
8,你能理解吗～！？\n要抓住男孩子的心，\n果然还是这个最有效♪
7,呐，呐！\n拉拉酱的搭配，\n超～可爱的对吧！？
6,自我介绍结束后，\n库洛尔马上凑了过来。
5,玛琪拉小姐也对时尚……！？\n伙伴增加了好开心！
4,是的。\n正打算设计一下时尚，\n就出来逛街了。
3,原来如此……！\n玛琪拉酱和库洛尔酱，\n和可露露酱是同一个骑空团呢！
2,移动到咖啡厅「Flip Flop」后，\n梳理起了彼此的情况。
1,在OriOri的店里，\n偶遇的可露露、拉姆拉拉、\n玛琪拉和库洛尔4人。
0-synopsis,可露露、拉姆拉拉、库洛尔和玛琪拉来到咖啡厅「Flip Flop」加深友谊。话题转到可露露和玛琪拉的时尚话题上，在玛琪拉的提议下大家决定互相交换衣服试试。在因种族服装结构的不同而热闹了一番后，拉姆拉拉说要和男朋友候选人约会就离开了。在拉姆拉拉前往的花哨餐厅里等待的，是罗迪。
0-chapter_name,第2话 煎蛋要放盐
