id,trans
filename,scene_chr886_q6_s10
translator,Gemini
info,scene_chr886_q6_s10
130,人影注视着修修克的睡颜，\n眼中闪过一丝复杂的神色，\n然后悄无声息地消失了。
128,修修克……
126,人影向修修克伸出手，\n但很快，\n又无力地垂下了手。
124,事到如今……
123,为什么……为什么会变成这样……\n我到底做错了什么……？
121,在熟睡的修修克身旁，\n不知从何处出现了一个人影。
114,…………
113,呼啊……
112,今天的天空看起来真高啊……\n风也很舒服……
110,修修克神清气爽地\n躺在草地上。
109,呼——！\n好久没有这种感觉了！
104,喂——，别走太\n远了！
102,那修修克去\n船舱外面看看！
101,对了，我得给你带个话。\n飞艇要进行维护，\n所以出发还要再等一会儿。
100,嘿嘿，\n他们三个干劲十足啊。
99,罗艾因、艾尔塞姆和托莫伊\n三人在厨房里忙碌起来。
98,那我去\n飞快地准备餐具！
97,正好有很多蘑菇！
96,<span class='scene-font-4'>好耶！</span>\n那就这么说定了，\n我们开始准备吧！
95,想吃什么就吃什么，\n想吃多少就吃多少！修修克\n决定就这样生活下去！
94,<span class='scene-font-4'>那真是太好了！</span>\n修修克最喜欢自助餐了！
93,今晚就做自助餐吧！
92,啊，我又来灵感了。
91,深有同感。\n要是能选择\n当时想吃的东西就好了……
90,啊，确实有时候\n会突然想吃别的东西呢～
89,确实，晚饭时想吃什么\n要到晚饭的时候\n才知道！
88,但是，以马虎姑娘的性格，\n说不定晚饭前就\n改变主意了……
87,哇啊……\n修修克的\n口水都要流出来了……！
86,哦，灵感来了。\n香煎三文鱼配\n蘑菇怎么样？
85,啊，还想吃蘑菇！\n那种很有秋天气息的蘑菇！
84,哦，修修克想吃鱼！\n刚从市场买回来的，\n那种油脂丰厚的鱼！
83,总之，你想吃什么\n尽管提！
82,对了，听说修修克要来，\n我们正在开会\n讨论今晚的欢迎派对菜单。
81,哦，你们在这儿啊。\n气氛很热烈嘛。
79,<span class='scene-font-4'>笨蛋！</span>\n说什么悠闲的话呢！\n如果是前世注定的缘分，那就更应该好好庆祝了！
78,也不是不可能啊～
77,噗哈哈！前世什么的……
76,这么说来，\n说不定我们前世\n是灵魂相通的兄弟？
75,我们是朋友啦。
74,诶？兄弟什么的……
73,配合得真默契！\n四圣的大家可做不到这样！\n不愧是三兄弟！
72,挥舞！挥舞！
71,马上就get到精髓了～！
70,万岁！！
69,……！？
68,新成员来啦，万岁！
67,总之，以后就拜托你们啦！
66,咦？好像也说过\n修修克也要帮忙打扫卫生\n来着……
65,<span class='scene-font-4'>我是修修克！</span>\n我听说在这艘船上\n有人会帮我做饭和打扫卫生！
64,难道说，\n就是团长早上说的……
63,正在厨房开食材会议的\n是罗艾因、艾尔塞姆和托莫伊\n三人组。
62,——所以说，我想在晚上之前\n再补充一些蔬菜库存……嗯？
61,嗯……？嗯嗯……\n好香啊。\n这里是厨房吗……？
57,啊哈哈……\n你好像很喜欢这里，\n真是太好了。
55,好，我去船舱里探险啦！
54,呼，总算是\n说服她了……
53,嘛，只要和姬塔你们\n在一起就行！\n我不在意啦！！
52,唔……\n确实，一起打扫卫生\n感觉还挺不错的……
51,好啦好啦……\n我们也会一起帮忙的，\n你不用担心！
50,路上我不是跟你解释过了吗！
49,什，什么，我可没听说过！？
48,喂，你也要帮忙的！\n我们在这里都是互相帮助，\n一起生活的！
47,哦……！我以后就\n在这里生活了吗！\n包吃包住还带打扫，真是太豪华了！
46,一行人带着修修克\n登上了停泊的格兰赛法号。
40,说得倒是轻松，\n她真的明白吗……？
39,以后我们会接到很多委托，\n赚很多报酬吧？\n就交给修修克吧～～～！
38,但是，这样我就能毫无顾虑地\n出发了！
37,哇哇……修修克酱，\n你居然借了这么多钱……\n报酬都花光了。
31,就这样，修修克\n挨个拜访了镇上的居民，\n还清了所有的债务。
30,但是，用掉的这部分，\n我之后一定会还给姬塔！\n这是约定！
29,……好，我决定了！\n我要用这笔钱！
28,唔……嗯嗯嗯……
27,我说，姬塔也\n说了要把报酬给你。\n你就用这笔钱还债吧？
26,唔……\n可是我的钱包里只有5卢比，\n而且这把短剑我不想再卖了……
25,你再不还钱\n我可就麻烦了。
24,话说这姑娘，\n欠了一屁股债啊……
23,嗯……\n你什么时候回来？\n你还没还我钱呢。
22,我要去姬塔的船上！\n他们说会照顾\n修修克！
21,哟，这不是修修克吗。\n拿着这么多行李，要去哪里啊？
20,这时，一位路过的居民\n向修修克打招呼。
19,这报酬是你们的吧！？\n给我做什么！
18,<span class='scene-font-4'>笨蛋！</span>\n白虎是修修克自己\n要去挑战的！
17,姬塔也点了点头，\n将皮袋塞到修修克手中。
16,呵呵，最后打倒白虎的\n是修修克酱啊！
15,嗯？\n为什么要给我？\n这应该是给你们的报酬吧？
14,姬塔从委托人手中\n接过装有报酬的皮袋，\n然后直接递给了修修克。
13,姬塔小姐，这是这次的报酬。\n非常感谢您讨伐白虎。
7,喂，谁要你带了！？
6,出发吧！\n我还带了很多你们的点心，\n放心吧！
5,修修克抚摸着幼年时期\n用来练习的木剑，\n温柔地眯起了眼睛。
4,是啊，我以前用过的。\n虽然以后不会再用了，\n但它对我来说很重要！
3,这是木剑吗？\n和修修克酱家传的短剑\n很像呢。
2,喂喂，\n你的行李都从包里掉出来了。
1,久等了！我已经收拾好行李了！\n出发去格兰赛法号吧！
0-synopsis,修修克用姬塔好心给她的白虎讨伐报酬还清了欠款，并承诺之后会还给姬塔。登上格兰赛法号的修修克，在厨房遇到了罗艾因、艾尔塞姆和托莫伊，受到了他们的热烈欢迎。之后，修修克开始午睡，一个散发着不祥气息的人影不知从何处出现，向她伸出了手。然而，人影犹豫片刻后，什么也没做就消失了。
0-chapter_name,伫立在身旁的人影
