id,trans
filename,scene_evt210528_cp6_q3_s10
translator,Gemini
info,scene_evt210528_cp6_q3_s10
69,翔和翼都到齐了……\n这正是，\n高潮迭起啊～！！
68,差不多该“做个了断”了……！
66,也就是说，\n荒狂愚连队啊～
64,那边两个人也\n遍体鳞伤啊！\n以多欺少，不可饶恕……！
63,咔～～！\n腿都发抖了还\n这么嚣张！
62,哼……\n只有我一个人尽情表演就够了。\n你就在那里安静地看戏吧……
61,喂，翔你怎么了！\n搞得这么破破烂烂的，\n也太胡闹了吧？
60,一群人宛如雄壮的巨龙一般，\n气势如虹，仿佛要吞噬一切。
59,以漂亮的滑转停下的是\n烈弩宇威愚（Red Wing）。
41,铁门被踢破，\n伴随着刺耳的排气声，\n冲进来的是……
40,喔啦啊啊啊！！
37,啊～嗯？
36,番、番、番长！
35,哼，\n还是一如既往地发出好声音啊……
34,什么啊啊啊啊！？
33,就在多蒙\n高高举起工具的那一刻，\n爆音笼罩了仓库。
32,老大啊……\n不需要两个吧！？
31,所以，\n就到此为止吧。
30,我呀，看到翔，\n就莫名其妙地生气……
29,气喘吁吁，处于兴奋状态的多蒙\n捡起仓库里的工具，\n一步步逼近翔。
28,就是那眼神。那眼神……\n无论面对谁都不会屈服\n那闪闪发光的眼神……
27,哈啊，哈啊……
26,啊，这家伙真是疯了。\n但是翔也是普通人……\n如果把他的头敲碎，他会死吧？
25,呀、这家伙太可怕了……
24,你们这些家伙……\n我全部……\n都给你们打趴下，ぜ……？
23,看到他那狰狞的表情，\n荒狂愚连队的成员们感到畏惧。
22,鲜血飞溅，脸部肿胀，\n即使爬在地上，\n翔也一次又一次地站起来。
11,去死吧，混蛋！
7,去死吧啊啊啊！
3,喔啦！
2,这已经不是\n斗殴了，\n而是私刑。
1,荒狂愚连队VS翔……
0-synopsis,无论被殴打多少次都绝不倒下的翔。就在荒狂愚连队的成员们开始胆怯的时候，穿着特攻服的翼等人，烈弩宇威愚（Red Wing）前来助阵。各暴走族的老大都到齐了，事件终于迎来了最终局面。
0-chapter_name,第六话 不良少年
