id,trans
filename,scene_evt210629_cp5_q1_s10
translator,Gemini
info,scene_evt210629_cp5_q1_s10
99,妻子目送着毫无斗志的德里福德的背影，\n脸上露出了复杂的表情。
98,然后\n德里福德离开了家，\n前往有交通艇的码头。
97,德里福德\n抱住妻子，\n轻轻抚摸着她的头发。
96,你还是好好休息吧。\n我很快就会回来的。
95,亲爱的……
94,为了你和我们的孩子\n的话……当然了。
93,你真的决定好了吗？\n不要勉强自己。
92,妻子靠近背对着她的德里福德，\n用小得几乎\n不让父母听见的声音说道。
91,嗯……\n那我这就出发。
90,好好好，不过\n要尽快回来啊。\n为了你的妻子和孩子。
89,然后我还要\n为回乡做准备，\n所以，可能需要\n一点时间……
88,但是，这件事我必须\n亲自告诉姬塔小姐才行。
87,呵呵呵，\n这样我们家就能安心了。
86,哦！说得好！\n说得好啊，德里福德！
85,我会辞掉骑空士的工作，\n然后好好地\n在这个家里安定下来。
84,我明白了……
83,…………
82,妻子……
81,亲爱的……
80,唔……！！
79,你和你的哥哥不一样吧？\n我相信你一定会回来的。
78,德里福德啊。\n我亲爱的儿子。
77,这、这个嘛……\n话是这么说……
76,工作这种东西\n只要去找就一定能找到的。
75,不用担心钱的事，\n就在这座城市里帮忙做做农活，或者去酒馆帮忙\n不就好了吗。
74,什么……\n原来如此……
73,你给的已经足够多了。\n我们甚至还存了一些。\n这些积蓄就留给你们夫妻用吧。
72,可是，如果我不做骑空士了，\n给父亲、母亲和妻子的生活费……
71,…………！
70,你也该辞掉骑空士的工作，\n在家里安定下来了。
69,我不是说这个，\n德里福德。
68,是，是……\n我已经比刚才冷静很多了……
67,冷静点。
66,父亲……？
65,你应该明白吧。\n你该做的事情。
64,是、是吗……\n那，我能为你\n做些什么吗？
63,呵呵呵，请冷静一点。\n还没到那个时候呢。
62,不！接生婆！？\n要叫接生婆吗！？
61,啊，等等！\n你这样站着没问题吗？\n要不要躺下！？
60,爸爸……！\n是啊，父亲……\n我要成为父亲了……！
59,我也很高兴……\n你……啊，不……\n你现在已经是爸爸了。
58,啊，太好了……真的……！\n呜……！
57,亲爱的……
56," <span class='scene-font-4'>根本不需要道歉！！</span>\n我可是你的丈夫……！\n这种时候我怎么可能不赶回来！"
55,明明您工作那么忙，\n还把您叫回来，\n真是抱歉。
54,哦、哦哦哦……！！\n居然……居然是这样……\n呜……难以言表……
53,面对震惊的德里福德的疑问，\n妻子没有用语言回答，而是\n轻轻抚摸着自己的肚子。
52,肚、肚子里的孩子……\n那……这封信上写的是\n真、真的……？
51,你这么有精神固然是好事。\n可是吓到肚子里的孩子怎么办。
50,喂，德里福德！\n别那么大声。
49,呵呵呵……\n欢迎回来，亲爱的。
48,哈……哈……！！\n我回来啦！！我的妻子！！
42,德里福德紧紧攥着信，\n没做任何像样的准备就\n慌慌张张地冲出了房间。
39,什、什么……！？
38,然而，\n信的内容映入眼帘的同时，\n他脸上的笑容也随之消失殆尽。
37,姬塔小姐的细心\n让德里福德面带微笑地\n打开了信封。
35,原来如此，是姬塔小姐\n为了不吵醒我而特意放的吗。
34,给我的信……
33,德里福德\n注意到自己房间门前\n放着一封信。
32,嗯……？\n这是什么。
31,现在开始也不晚。\n我也要……和姬塔小姐一起\n作为追逐梦想的骑空士──
30,让我意识到了重要的事。\n真是美好的一天啊。
27,你也有\n无可替代的同伴吧？
26,你也不是孤身一人吧？
23,难道不能和姬塔一起\n实现那个梦想吗？
22,是吗……\n过去的事\n现在后悔也无济于事。
19,就能买到不足的物资，\n这样一来整个旅团\n都会比现在更强大！
18,比如说，如果德里福德前辈能帮忙管理旅团的资金，\n就能减少不必要的支出，\n把经费用到其他地方……
15,我很尊敬德里福德前辈。
12,但是……
11,虽然完全不记得发生了什么，\n但居然兴奋到要让帕西瓦尔大人照顾我的地步……
10,唉……\n昨天真是倒霉透顶了……
0-synopsis,第二天，德里福德正准备再次下定决心与姬塔一行人追寻梦想时，却收到了妻子怀孕的消息。回到老家的德里福德虽然感动落泪，但父母却要求他辞去骑空士的工作，回到老家。德里福德虽然苦恼，但为了妻子和孩子，他还是决定辞去骑空士的工作。目睹这一切的妻子，脸上露出了复杂的表情。
0-chapter_name,第五话 世界尽头的银白
