id,trans
filename,scene_fate_chr008_ep1
translator,Gemini
info,scene_fate_chr008_ep1
54,胸怀着寄托于剑中的思念，\n梦想着总有一天，\n能够与在未知岛屿等待的家人重逢……
53,在并肩作战的家人们的目送下，\n赫利亚与新的伙伴一起，\n踏上了前往广阔天空的旅程。
52,哇啊……哈哈……\n<span class='scene-font-kokoro'>（交给你了，姬塔……）</span>
51,真正的强大源于日复一日的锻炼。\n这是父亲教导我的。\n当然，你们会陪我一起的吧？
50,练习用的剑和木桩，\n挥剑练习用的负重和防具。
49,什！？\n那，那个巨大的行李是……
48,久等了！
46,……那个，旅人。\n忘了说了，大姐她可是个\n锻炼狂人……
44,是！
43,好！\n那就这么说定了，马上出发！\n赶快去做准备！
42,……拜托了。\n请让我和你们一起！
41,是啊……\n你也在寻找家人……
40,我的力量……\n从父亲那里学到的剑术……
39-sel2_txt,我们一起寻找家人吧
39-sel1_txt,借你之力
39,……对吧，姬塔？
38,而且，寻找重要之人\n并非只有赫利亚小姐一个人哦。
37,……要和我们一起吗？\n如果赫利亚小姐能成为我们的伙伴\n那就太好了！
36,对了！如果追寻星晶的线索，\n说不定也能\n见到赫利亚小姐的家人……
35,那，那个……
34,那个……大姐您，是还想再\n见一次真正的家人\n吧？
33,嗯……大姐说得对。\n但正因为我们是家人，\n所以我们才明白。
32,……！\n啊，大姐……！
31,请不要露出这样的表情。\n现在，这里的佣兵团伙伴们\n就是我的家人。
30,原来如此……与家人分离，\n一直独自生活着吗。
29,很抱歉，我帮不上忙。
28,怎么会……
27,你们正在寻找的\n关于星晶的传说，现在又在何处……
26,我在年幼时被赶出家门，\n唯一剩下的，\n只有从父亲那里学来的剑术。
24,但以身为家主之位的她父亲的死为契机，\n围绕遗产的争夺爆发了。\n一族也因此而四散。
23,赫利亚的家族作为贵族，拥有悠久而古老的历史，\n曾经一度\n繁荣昌盛，
22,带着忧愁的表情，\n赫利亚开始讲述。
20,你们要找的……\n正是我族人。\n但是……
19,莫非，大姐\n你知道些什么吗？
18,……！
17,啊……那个！我们\n听说有一族人精通星晶的事，所以\n才来拜访……
16,像这样偏僻的岛屿，\n很少有旅人会来访。
15,各位旅人，请原谅我部下的无礼。\n我是铁枪佣兵团的团长，赫利亚。
14,嗯嗯……\n大姐，眼光不错嘛。
13,！！！
12,如果他们真想那么做，\n现在你们早就被\n打趴下了吧。
11,……看清楚点。\n保养得很好的武具，\n以及那非同寻常的魔力气息。
10,啊！赫利亚大姐！\n这些贼人想进城……
9,……真吵。发生什么事了？
8,可恶——！\n谁是蜥蜴啊！！
7,喂，你们！这里\n以铁枪佣兵团的名义起誓\n一只蜥蜴也别想过去！
6,都说了，不是啦！\n我们才……
5,可恶……！敏捷的小贼！\n别想逃！
4,呀！\n你们干什么！很危险的！
3,嗯？\n感觉是群危险的家伙啊……
2,喂！\n你们几个给我站住！
1,听到这样的传闻，降落在岛上的一行人\n所迎接他们的，\n却是粗暴的欢迎……
0,自古以来，据说统治着某座岛屿的家族之间\n就流传着关于星晶的传说。
0-synopsis,一行人降落在偏僻的岛屿上，遇到了佣兵团团长，女剑士赫利亚。她出身于曾经在这片土地上繁荣昌盛的家族。梦想着与失散的家人重逢的赫利亚，带着与妙龄女子不相称的锻炼器材踏上了旅途。
0-chapter_name,佣兵团的女团长
