id,trans
filename,scene_evt140731_cp3_q3_s20
translator,Claude 3 Opus
info,scene_evt140731_cp3_q3_s20
15,喂，你这家伙！\n现在可不是回忆往事的时候！\n真的有魔物出现了！
14,没错……就是这样，\n魔物出现在我们身后……
13,咆哮！！
12,和杰德一起，\n小心谨慎地一步步前进的时候……
11,和杰德挑战的那个洞窟，\n也是这样寒冷刺骨，\n阴森可怖……
10,这样……\n在漆黑的洞窟中前进，\n会回想起过去冒险的日子啊……
4,只有杀敌还是被杀。\n做好觉悟去战斗，\n这才是尤迪斯蒂拉的战斗方式！
3,哼！\n战斗这种事，\n哪里还谈得上什么安全危险！
2,但是……\n与魔物战斗的时候，\n穿着盔甲会更安全吧？
1,盔甲？\n穿上那种东西，\n紧要关头就游不了泳了吧。
0,唔……\n既然是这么冷的洞窟，\n就应该穿上盔甲的……
0-synopsis,一行人在不习惯的洞窟寒意中瑟瑟发抖地前进。回想起过去冒险的日子，维尔达开始诉说，突然出现的魔物向他袭来。
0-chapter_name,第3话 疑惑之洞窟
