id,trans
filename,scene_evt160731_cp2_q4_s10_ss
translator,Gemini
info,scene_evt160731_cp2_q4_s10_ss
36,因为与魔物的那场意料之外的战斗，\n疲惫不堪的众人\n津津有味地吃起了迟来的午饭。
35,卡塔库里立刻\n为小男孩做了一份\n新的炒面。
34,姬塔一行\n和牵着小男孩手的安娜一起\n回到了海之家。
33,真的哦！\n回海之家去吧！
32,呜……真、真的……？
31,好啦好啦，吓了一跳吧……\n很害怕吧？　没事了。\n我再给你做一份新的炒面。
30,呜……哇啊啊啊！
29,啊……掉地上了呢。
28,海之家的姐姐……\n呜……我的炒面……
27,啊，那个，你……\n有没有受伤？
26,那么……这样就行了吧？\n你那边也把魔物都赶走了？
19,为了保护小男孩和他的炒面\n姬塔一行与魔物战斗，\n并将它们从店铺周围驱赶出去。
18,快去帮他一把吧，\n姬塔小姐！
17,真是个混蛋！\n我要狠狠揍扁你！！
16,不、不、不、不得了了！\n那只魔物，盯上了小男孩拿着的\n炒面！
15,不要过来啊！\n这、这是要和爸爸妈妈一起吃的～！
13,咕噜噜！
10,刚、刚才的声音……！\n去、去看看吧，姬塔小姐！
9,呀—！\n不行，这是我的～！
8,正准备轮流休息和吃饭的\n姬塔一行，\n听到了外面传来的叫喊声。
7,太好了！\n是渔夫老爷爷做的饭啊！
6,你们几个，\n也要轮流吃饭才行。\n我现在正在做呢。
5,是啊，已经过了中午很久了。\n接下来客流量\n应该会比较平缓吧。
4,呼……客人，\n好像告一段落了呢！
3,下次再来玩啊！
1,哇，看起来好好吃！\n谢谢！　大姐姐！
0,是、是的……\n这是，你的炒面哦。\n不要弄洒了，啊。
0-synopsis,过了中午，客流量逐渐平稳下来，姬塔一行也决定轮流休息。然而，外面突然传来少年的悲鸣，姬塔一行急忙赶了过去。在那里，他们看到一个少年被盯上炒面的魔物包围，姬塔一行击退魔物，救出了少年。虽然因为这场意料之外的战斗而耽误了休息，但他们终于吃上了迟来的午饭。
0-chapter_name,第2话 再次帮忙！
