id,trans
filename,scene_fate_chr178_ep1
translator,Gemini
info,scene_fate_chr178_ep1
172,多亏了那三个人的活跃表现，失恋的痛苦逐渐消退，\n她似乎\n渐渐恢复了积极向上的心态。
171,呵呵……\n嗯，这倒是。
170,哈哈哈……\n我觉得应该\n不会有比他们更奇怪的人了。
169,是啊。\n毕竟还有像\n托莫伊先生他们那样\n奇怪的人存在。
168,唉……\n你的确没什么男人缘啊。\n不过，还有很多其他男人嘛……
166,而\n刚才在海边和托莫伊聊天的\n那位女性——
165,那么——
164,这就是他们在度假胜地掀起的\n喧闹却又温馨的\n一幕。
162,但是，和\n谈得来的男性朋友们\n待在一起更轻松自在\n这一点或许是毋庸置疑的。
161,你明白了吗？\n这就是卡塔莉娜\n始终对罗艾因的追求无动于衷的原因。
160,好可怕……\n差点就死了……
159,一个人做那种事\n精神状态绝对会崩溃的吧！
158,不行不行不行不行不行！
157,喂——！
156,是啊是啊。
155,对吧？
154,对吧？
153,等、等一下，兄弟！\n单独行动很危险的！\n给我听好了？
152,也就是说\n下次交到女朋友了\n就必须单独行动？
151,不愧是你——！
150,我超理解了！\n碧先生你真厉害啊！\n你很有恋爱技巧啊！
149,啊，啊，啊……\n啊，原来如此！
145,啊，是那种感觉吗！？
144,可是……\n那可是在单独聊天啊\n却突然被丢下，那当然……
143,我们会成为最强的\n你就瞧好吧！
142,笨、笨蛋，喂，姬塔！\n你这样好让人感动啊～
141,哦？\n碧先生，你这话什么意思？
140,唉……\n这些家伙该不会不知道\n自己为什么会被甩吧？
139,是啊是啊。
138,说到成长……\n果然还是得把新必杀技\n好好练出来才行啊？
137,是啊！\n我们这也算是成长中\n或者说是经验值上升中？
136-sel2_txt,被甩也是活该，笨蛋
136-sel1_txt,下次努力吧
136,不是吧？\n大家不都\n这样吗？
127,不……\n话虽如此，\n但他好像马上就被甩了……
126,事情就是这样？\n托莫酱今年夏天\n交到女朋友了。
124,在三人齐心协力\n打磨技巧的过程中，\n那位女性不知何时已经消失了。
123,就这样，托莫伊再次与罗艾因等人\n会合，骑马战的特训也重新开始。
121,……呵呵。\n真是像小孩子一样。
120,好——！
119,再来一次哦——！
117,哦，哦……
116,呵呵……\n去吧。
115,啊，不……
114,你在意那两个人吗？\n和他们在一起更开心吗？
113,…………
111,呀——！
110,喂喂喂喂喂！\n这样下去可不行啊！\n给我保持平衡啊！要倒了！
109,唉……真的很累人啊。
108,但是，看起来很开心啊。
107,唉，你们在干什么啊……\n真是幼稚又愚蠢。
106,喂，糟了！\n没有托莫酱的话，骑马战就完蛋了！\n还有，你太重了！
105,啊……是啊。\n我们三个基本都待在一起。
104,那个，托莫伊先生你们\n一直都在一起吗？
103,啧……那帮家伙真吵……
102,上了哦——！
101,不，那什么……\n也没什么啦……
100,呵呵……\n你是在担心暴徒吗？\n你真善良。
99,啊，我还在想是不是误伤了别人\n原来是暴徒啊……\n因为没人提，我还以为我看错了……
98,啊？难道不是吗？\n是罗艾因先生击退了\n想要把我们带走的暴徒……
