id,trans
filename,scene_evt260428_cp3_q2_s10
translator,gemini-3.1-pro-preview
info,scene_evt260428_cp3_q2_s10
221,咔咔咔……！\n事情变得越来越有趣了嘛！
218,■■！　很厉害嘛！\n那一定是神的加护哦！
215,…………
214,这是……？
213,就在梅路拿到宝石的瞬间，\n宝石立刻化作了光粒，\n覆盖了她的全身。
205,宝石get——！
202,梅路从武器上起跳，\n降落在了放置宝石的高台前。
194,OK和平时一样呢——\n那么，接下来就是收尾了。
193,难得回到了库乎阿，\n刚才的口号应该喊\n「米拉卡·基基尼」才对的！！
192,涅莫姐……！\n果然涅莫姐还是勉强了……
191,唔……！！！
190,嘛，不过我没事。\n既然知道会挨打，\n这种攻击挨个一两下，还是能挺——
189,没～问～题～！\n靠涅莫姐的肉体扛住了！！\n只受了致命伤……
188,把武器当成了落脚点吗……！？\n但是，涅莫姐她……
187,控制得很漂亮。
186,涅莫涅掷出的武器\n深深地刺入岩层，\n梅路稳稳地落在上面。
172,失去武器的涅莫涅\n被岩石直接命中，但是——
171,咕……
167,就在那一瞬间，涅莫涅使出浑身解数，\n将手中的武器掷了出去。
161,嘿呀啊啊啊啊啊！！！！
156,<span class='scene-font-4'>糟了！</span>\n再这样下去会掉进熔岩里……！
155,梅路跳向的地方，\n是完全不沾边的方向。
150,<span class='scene-font-4'>喂！？</span>\n落脚点不在那边啊！？
149,伴随着信号，\n梅路从落脚点跳了出去。\n然而——
146,三……！！
145,二……
144,一……
143,一边击落岩石，\n两人完成了交流，\n集中起了注意力。
140,高台的左下方。数到三就跳。
139,……OK。\n方向和时机呢？
138,没问题，相信本小姐。
137,啊——原来如此。\n能行吗？　涅莫姐。
136,前提是落在“落脚点”上。
135,就算我一个人先走，\n在那边也只会被砸个稀巴烂的。
134,涅莫大脑坏掉了吗？\n无论跳到哪个落脚点，\n都会有岩石飞过来啊？
133,是……\n本小姐来挡住飞石，\n你能趁机飞过去吗？
132,这些废话就免了，\n想到了什么就快点说？
131,叮——。原来如此。\n战斗智商大约五兆的\n涅莫大脑已经得出了答案。
128,怎么了怎么了！？\n只是一味地击落\n可是没法前进的哦？
127,<span class='scene-font-4'>咕……</span>\n可恶……！
122,这是一个机关，站在落脚点上的人，\n会遭到被熔岩冲到空中的岩石\n的袭击。
119,梅路将逼近眼前的岩石\n击落了下来，但是——
114,涅莫姐……！！
113,哇啊！？
110,似乎是在呼应这句话，\n一块巨大的岩石\n直冲涅莫涅的脸部飞去。
105,看好了，第二阶段。\n好好躲开哦？
104,啊啊。是啊。\n当然不可能“只有这种程度”。
103,如果这就算是严酷的试炼，\n那可真遗憾啊。你没能\n看到我们痛苦的样子呢。
102,喵呼呼——！\n可不要太小看\n涅莫姐和妹妹老弟哦——？
98,在狭小且不稳定的岩石上，\n姐妹俩轻而易举地跳跃穿梭着。
87,呜哎！？\n飞起来了！？
83,嗯。\n不用担心啦……嘿！
82,虽然有些可能会变成烤涅莫姐的风险，\n但这种程度的话嘛……\n对吧？
81,你说得也太晚了吧……！\n这下该怎么办啊……
80,如果你不想要命的话倒是可以。\n熔岩会以一定周期喷发，\n对你来说太危险了，小龙。
79,哇啊！？\n好险……！？
78,就在碧刚要飞出去的瞬间，\n喷发的熔岩从眼前掠过。
74,<span class='scene-font-4'>哦！　包在我身上！</span>\n我一口气飞过去——
73,嗯，你可以试试看。
72,那、那个，我要是飞过去\n把宝石拿过来不行吗？\n感觉好像能飞到啊。
71,那个落脚点不是只能\n勉强站下一个人吗……？\n竟然要在那种地方穿过去……
67,只要夺取放置在这个高台上的宝石，\n就算通过了试炼。\n来吧，让我见识见识！
66,裸露的岩石\n从跟前开始像阶梯一样不断升高，\n一直延伸到上方的一座小高台上。
63,正如梅路所指出的那样，\n熔岩中有一部分岩石\n像垫脚石一样露了出来。
62,这倒未必哦。\n熔岩的缝隙间，\n还有没被完全淹没的地方。
61,<span class='scene-font-4'>喂喂！？</span>\n这样根本过不去啊！？
60,伴随着希涅·努伊的声音，\n火山喷发出熔岩，\n堵住了两人的去路。
44,那就展示给我看吧！\n通过踏破这条火山之路！
43,啊啊……很好……\n好有气势的眼神……
42,我要让希涅·努伊大吃一惊。\n我可不喜欢\n一直被人小看呢。
41,太热了，我拒绝——\n而且，这又不是\n为了涅莫姐。
40,哇啊！？　梅路……\n这就是真正的姐妹之爱啊！\n快让我抱抱，你这家伙！！
39,既然这样那就干脆点通关吧。\n我也会帮忙的啦——
38,嘛不过，这也挺好的吧？\n反正涅莫姐本来就\n打算接受这个试炼对吧？
37,真是个强硬的家伙……\n再问下去\n好像也没什么意义了……
36,所以你们就不要担心，\n尽情挑战试炼吧！\n<span class='scene-font-4'>来吧！　现在就上！</span>
35,但放心吧！　神的权能\n寄宿在这个遗迹本身！\n只要突破试炼就能获得加护！
34,啊真是的！　吵死了！\n自从试炼建立以来已经经过了\n漫长的岁月！　有缺席的也很正常吧！
33,怎么能允许这种敷衍了事啊！\n给我好好履行说明的责任啊！
32,涅莫姐，好像不行哦。\n这种地方\n就是那种不能深究强行推进的套路。
31,挑战者们啊！　你们\n要做的事情很简单！\n只需踏破这条火山之路！
30,不是，这不只是换了身衣服吗！！！
29,…………
28,火山之神，佩蕾是也！！
19,<span class='scene-font-4'>正是如此！</span>\n我就是第一项试炼的负责人……！
18,<span class='scene-font-4'>…………！</span>\n难道说，\n这就是刚才说的，火山之神……！！
17,让你们久等了！\n欢迎你们的到来，挑战者们！！
16,冥界的试炼是过去希涅·努伊也\n挑战过的东西。对她来说\n应该也是充满回忆的吧。
15,是吧？\n如果本小姐我们突破了试炼，\n对她应该是不利的才对。
14,原来如此～……事情我了解了……\n那，为什么希涅·努伊会这么\n配合我们呢？
8,啊，对了。\n首先得向梅路说明一下\n情况才行……
7,喂喂——\n试炼是怎么回事啊？
6,如果不是我的错觉，\n我总觉得她看起来\n好像挺高兴的……
5,她走了……\n没关系吗？\n虽然我们要挑战试炼的事已经暴露了。
2,事不宜迟！\n稍等片刻！　我去把负责这个试炼的、\n火山之神佩蕾叫来！
1,那么，接受试炼的是谁？\n是那边长头发的那个吗？\n要是短头发的那个也参加的话，我随时欢迎！
0-synopsis,“涅莫涅她们打算接受试炼”，得知此事的希涅·努伊不知为何开心地笑了起来，换上了火山之神的装扮，以合作的态度向一行人说明了试炼的概要。听了事情原委的梅路也决定参加，梅路和涅莫涅姐妹俩将共同挑战第一项试炼。在涅莫涅的策略下，姐妹俩穿过了逼近的熔岩，突破了第一项试炼。
0-chapter_name,第3话 霍阿奥·阿·克·阿库阿
