id,trans
filename,scene_fate_chr169_ep1
translator,gpt-4o-latest
info,scene_fate_chr169_ep1
173,就这样，这身新装成为了阿米拉最喜欢的一件，收纳在她的衣柜中。
172,呵呵……
171,是的！非常帅气，很符合阿米拉小姐的风格！
170,这个？是一些好心的大叔们给的。……不错吧？
169,话说，阿米拉……那件衣服是怎么回事？
168,就这样，姬塔一行被阿米拉拉着，向城镇的酒馆走去。
167,总之平安无事就好了！对吧！姬塔！
166,就是！听说她从船上掉下来的时候，真是吓了一跳……
165,呵呵呵……阿米拉小姐，完全恢复平常的样子了呢。
164,姬塔你也会吃吧？快去吧！
163,对了，姬塔！那边酒馆的饭菜，超级好吃！
162,肚子饿了……
161,然后，仿佛以此为信号，阿米拉的肚子发出了响亮的叫声。
160,与姬塔一行会合后，阿米拉终于露出安心的表情。
159,算了，没关系。
158,…………
157,咦？我为什么要问这种事来着？
156,……我不觉得。我……相信姬塔团长。
155,没事，没什么……不是骗子的话，那就好……
154,怎么了？阿米拉小姐……
153,是吗……那就好。
152-sel2_txt,你认为我是骗子吗？
152-sel1_txt,不是骗子
152,你是骗子吗？
143,姬塔……我可以问个问题吗？
142,然而，她的表情却阴沉下来。
141,看到姬塔的身影，阿米拉立刻跑了过去。
140,姬塔……露莉亚……
139,真的！太好了！阿米拉小姐！喂！
138,啊！喂，快看，那不是阿米拉吗！？
137,…………
136,找不到呢……还以为她一定会来城镇这边……
135,唉……阿米拉掉在这个岛上是没错的吧……
134,阿米拉小姐！
133,喂！阿米拉！
130,我相信姬塔……姬塔绝对不是……骗子！！
128,姬塔说过……会和我一起找赫尔海姆……
127,如果你不肯开口的话，就让你吃点苦头！
126,啊！？呃……麻麻的……？
124,包围的士兵们发出的光带缠住了阿米拉。
123,上！抓住这个女人！
121,帝国士兵一挥手，大批士兵涌入酒馆。
120,哼……算了，这种事无所谓了……
119,不对……姬塔他们不是骗子。骗子是你才对。
118,那些人可是偷了我们帝国的机密逃跑的家伙哦？你居然相信那种人的话吗？
117,那帮通缉犯肯定是为了利用你，随便编了个谎言。
116,…………
115,赫尔海姆？那是什么地方我不知道，但那种约定肯定是谎言。
114,所以被抓住就麻烦了。那样去不了赫尔海姆。
113,姬塔答应过的。会带我去赫尔海姆。
112,你说什么……？喂，你个家伙，是什么意思？
111,那样就麻烦了。被抓住的话，就麻烦了。
110,这还用说……要抓住他们献给宰相阁下。这样的话我的地位也会……
109,为什么？
108,哦……这真是意外的收获。喂，他们在哪里？立刻带我去。
107,认识啊。是姬塔和露莉亚吧。还有一个……看起来很好吃的蜥蜴。
106,我在问你认不认识这张通缉令上的骑空士！
105,咀嚼……嗯？什么？
104,不要无视我！！要不要在这里把你砍了！？
103,咀嚼咀嚼咀嚼咀嚼……
102,喂，你……听到了吗？
101,咀嚼咀嚼咀嚼咀嚼……
100,喂，女人……你这张脸没见过。你不是这附近的人吧？
99,你说什么？
98,是吗……但是，还不能离开这个店啊。
97,这里的客人没有通缉令上的人！大家都说不认识，赶紧从店里出去！
96,像这种破店，找个合适的理由就可以给铲平了哦？
95,哼……看来你们对待我们的态度，一如既往地没有学会。
94,…………
93,…………
92,失礼了……你们这些人，对这张通缉令上的骑空士有没有印象？
90,就在这时，一位士兵伴随着盔甲的声响现身。
89,店主的慷慨让整个店热闹起来。
88,是吗是吗！好！既然这样就不断地上菜吧！
87,咀嚼咀嚼……谢谢！不过，完全不够！还要吃更多！
86,哎呀……小姐姐，吃得真好！真让人振奋！
85,咀嚼咀嚼咀嚼咀嚼……咬……咀嚼咀嚼……
82,在那之前……想吃肉……
81,啊，不过，在那之前，要把弄脏的衣服弄干净……
80,得快点回到姬塔他们那里……
79,露出满意的微笑后，阿米拉缓缓站起。
78,是吗……谢谢。
77,衣，衣服就给你了，别再出现在我们面前！
76,这件衣服，借我。那个……我以后一定会还的……
75,呀！？
74,喂……
73,你，你这家伙！你也没拦着吧！？
72,呼……哈……就，就说从天上掉下来的女人，绝对不是什么正常人……
71,咳……咯……这，这个女人是什么……怪物吗？
70,比想象中的……还不错。
67,…………
66,就是！不过在那之前……我们得先调查一下她是个什么样的女人……
65,算了，无所谓了！这样就有给老大的礼物了！
64,啊？你在说什么？
63,衣服不弄干净，会被露莉亚骂……
62,喂，你，听到没有！？
61,别叫我笨蛋！
60,笨蛋！为什么从天上掉下来的女人还能那么精神！？
59,女，女人……？从天上掉下来的吗？
58,喂，女人！你是谁！？怎么从天上掉下来的！？
57,在弥漫的尘烟中，那位女性缓缓站起。
56,衣服弄脏了……
55,什，什么！？刚才有什么东西掉下来了！？
53,最近卫兵眼神很严厉啊……而且大家都很警戒……
52,要我们绑个年轻女人来……老大也太乱来了……
51,糟糕啊……怎么办？不能空手回去啊。
48,幸好飞的是在岛上，也不能就这么掉到空的底下吧！
47,总，总之！赶紧降到下面的岛上去看看！
46,她想抓住飞鸟……我说很危险，叫她停下……
45,什，什么！？怎，怎么会这样……
44,阿、阿米拉小姐……阿米拉小姐从船上掉下去了！！
43,怎，怎么了露莉亚！？是魔物！？还是……
42,呀啊啊啊！？
40,啊……
39,没事……就差一点……
38,这样伸出身子，会掉下去的！阿米拉小姐！
37,阿米拉伸手想要抓住正在飞行的鸟群中的一只。
36,啊，很危险哦！阿米拉小姐！
35,嗯嗯……再一点……
33,关于接近核心的信息，一直难以获取。
32,就这样，一行人在旅途中收集与「赫尔海姆」相关的信息，然而……
30,但是，握住这个吊坠时，就能稍微想起一些……关于妈妈的事情。
29,我对妈妈的事一无所知。什么都不记得。
28,……去赫尔海姆的话，就能见到妈妈。
27,那个……阿米拉小姐为什么要找赫尔海姆呢？
26,咀嚼咀嚼……咀嚼咀嚼……！
23,肚子……饿了……
22,诶！？哪里痛吗！？
21,…饿……了……
20,诶，啊，喂！？倒下了！？
18,！？呃……！
17,对，赫尔海姆。我想去那里。所以……
16,诶！？赫、赫尔海姆？是吗？
15,喂，你。知道赫尔海姆的位置吗？
14,…………
13,在猛烈的雷光和烟雾中，一行人屏息凝视，面前出现了一个一丝不挂的女子。
11,喂！有东西掉下来了！？
9,自称阿米拉的那位女性有一天突然坠落到了格兰赛法号上。
8,突然从天而降，加入姬塔一行的女性阿米拉陶醉地喃喃自语。
3,真的……每一个看起来都很好吃……！
2,请看！小鸟们也看起来非常舒适！
1,阿米拉小姐，阿米拉小姐！今天的天气真好啊！
0,在一个阳光明媚的日子里，格兰赛法号载着一行人悠闲地在空中前行。
