id,trans
filename,scene_evt201028_cp1_q4_s10
translator,gpt-4o-latest
info,scene_evt201028_cp1_q4_s10
92,莉塞特的声音没有传入她的耳中。
91,米雷耶目光闪烁，紧紧注视着少女施展的炼金术。
90,（如果能向那个人学习炼金术，说不定……）
89,米雷耶小姐？
88,…………
87,米雷耶小姐，这里很危险。快避难吧……
85,…………
84,多么美丽的炼金术式……和我的完全不同……
82,但好厉害……从没见过那样的炼金术……
80,诶，什么……？到底发生了什么……？
66,慌忙朝那个方向看去，只见一个少女正在用炼金术与穿着长袍的男人们战斗。
65,突然，街上响起爆炸声。
63,啊，请等一下。米雷耶小──
62,……没事。快走吧。
61,那个……米雷耶小姐，您怎么了？怎么露出那样可怕的表情……
60,米雷耶不知不觉间，用嫉妒和憎恨交织的目光盯着莉塞特。
59,（那个健康的身体本该是我的……为什么……）
58,（如果炼成的身体没有产生意识，站在那里的人应该是我才对……）
57,…………
56,（可是莉塞特却被那么多人包围着……和许多人愉快地交谈着……）
55,（所以，认识的人屈指可数……）
54,（我体弱多病，几乎无法出门……）
52,不过……
51,将街上人们的反应标准化，然后将自己优化到接近这个标准……
50,原来如此……莉塞特成长的原因是这个啊……
49,看到莉塞特和街上的人们愉快交谈的样子，米雷耶露出了会意的表情。
48,接二连三地亲切地与莉塞特交谈的街上的人们。
47,抱歉。现在我和米雷耶小姐在一起。下次吧。
46,啊，是莉塞特姐姐！嘿嘿，一起玩吧！
42,是的。多亏了您，米雷耶小姐也恢复了元气。
41,莉塞特。前几天买的药有效果吗？
40,是吗。那么，我待会儿去看看。
39,哦，莉塞特！今天进了好菜啊！
35,是吗……
34,是的。是我常去的一家店的店主。
33,莉塞特，刚刚那个人是熟人吗？
32,莉塞特低下头。对此，女性微笑着离开了。
31,原来如此……谢谢您的关心。
30,是的。有人说是绑架……也有人说是魔物的缘故……各种传闻都有。
29,是这样吗？
28,最近已经有很多人失踪了。
27,是吗。不过因为是两个女孩子，不要去奇怪的地方哦。
26,是的。米雷耶小姐说想出来走走……
25,今天是两个人出来散步吗？
24,啊……！你就是莉塞特提到的主人啊。
23,你好……
22,是我的主人米雷耶小姐。
21,嗯，这孩子是……
20,好久不见了，大婶。
19,哎呀，是莉塞特吗？
16,米雷耶一边看着莉塞特一边陷入沉思。莉塞特用疑惑的眼神看着这样的米雷耶。
15,（为什么？根本没有成长的因素……）
14,（自那天照顾她以来，虽然是逐渐的，但确实越来越有人类的特征了……）
13,没什么……没事。
12,那个……您怎么了？一直盯着我的脸……
11,米雷耶用疑惑的表情紧盯着莉塞特的脸。
10,知道了。不过……
9,……知道了。但是，如果身体变差请立刻告诉我。
8,真啰嗦。我说了我想出去。
7,但是……
6,我想在身体好一些的时候出去走走。
5,果然，还是在家休息比较好……
4,嗯，比起平时好多了……
3,嗯，没问题。有点头晕和疲倦，但这是常有的事。
2,米雷耶小姐，您的身体真的没问题吗？
1,在莉塞特的变化发生后过了一段时间，身体恢复的米雷耶与莉塞特一起在街上行走。
0-synopsis,在莉塞特发生变化后过了一段时间，米雷耶和莉塞特在街上行走时，注意到莉塞特与街上的人们变得亲近。米雷耶对此感到嫉妒和憎恨。就在这时，街上突然响起了爆炸声。只见一个少女正用炼金术与某人战斗。看到少女精湛的炼金术，米雷耶被深深吸引住了。
0-chapter_name,第1话 人造的生命
