id,trans
filename,scene_fate_chr230_ep1
translator,Gemini
info,scene_fate_chr230_ep1
104,就这样，丫丫踏上了旅途。\n抓着姬塔衣角的小手，\n正因着一丝不安和坚定的决心而颤抖着。
103,……我走了～！
102,没错！\n乖乖等着我们吧，大叔！
101,呵呵呵！\n请交给我们吧！
100,啊哈♪\n姐姐……\n丫丫的姐姐！
98,嗯～？\n爸爸的替代……？
97,啊，就拜托你们了。\n但是，别给他们添麻烦啊？\n把团长当成我就可以了！
96,嗯、嗯……！\n丫丫，要去旅行了！\n要找到爸爸的叶子～！
95,哈哈哈！\n我会在医院好好静养的。\n难得去旅行，好好享受吧！
94,诶……\n可、可以吗！？\n可是，爸爸你呢！？
93,呼……\n旅行的准备已经做好了。\n丫丫，拜托你去找药草了？
92,嗯～？\n你们在说什么啊？\n什么约定？
91,呵呵呵……\n你记得约定吧？\n我相信你，团长！
90,呵呵呵……\n这样啊，我知道了。\n我相信你，团长！
89-sel2_txt,交给我吧
89-sel1_txt,我保证
89,…………
88,喂，姬塔……\n就没有什么办法了吗……\n这样下去的话，丫丫和大叔都……
87,呜……\n丫丫……
86,……还会再来吗？
85,那个～\n丫丫，今天很开心哦～！
84,第二天早晨……\n做好了旅行准备的一行人，\n由丫丫和她的父亲送行。
79,唉……\n咳咳，咳咳！\n抱歉，我得躺一会儿……
78,你能答应我吗？\n药草什么的都无所谓。\n……不要让她感到寂寞。
77,呵呵呵……\n就在这种时候，你……\n像命运一般地出现了。
76,不过，我也快到极限了。\n今天，医生建议我去疗养设施。
75,呼，每天都在拼命地活下去…\n为了不让她感到寂寞……\n也为了让她的母亲能够安息……
74,那个，真是……\n刚才抱歉了……\n是一个人把她拉扯大的倔强吧。
73,代替烦恼的丫丫，\n姬塔端着粥，\n来到了她父亲的房间。
70,嗯……\n我知道了……
69,唔，我没事……\n休息一下就好了……\n抱歉，能帮我煮点粥吗？
68,啊—！？\n爸、爸爸！
67,那是……\n咳咳，咳咳，咳咳！
66,唔……\n而且你说静养……\n是不相信我们吗？
65,那、那个！\n为、为什么啊？\n丫丫她很担心你……
64,诶……？\n可、可是……
63,……不用了，不用麻烦你们。\n好好静养的话应该就没事了。\n丫丫，去做饭吧。
62,…………
61,拜托啦！\n大叔，就交给我们吧！
60,能做到！\n丫丫会做个好孩子的！
59,太好啦♪\n爸爸，这样就能治好你了～！
58-sel2_txt,你能做个好孩子吗？
58-sel1_txt,当然
58,我知道了！\n请让我们来帮忙吧！\n对吧，姬塔小姐？
57,求求你了～\n丫丫想找到叶子！
56,但是，没人知道它生长在哪里。\n只听说生长在星晶兽的住所……\n除此之外就没有任何线索了。
55,唉……\n是种有点奇怪的病。\n说是需要「传说中的药草」。
54,嗯？\n生病，叶子……？\n但这和星晶兽有什么关系？
53,那个……\n爸爸，他生病了……\n但是只要找到「叶子」就能治好。
52,诶？\n怎么突然……\n这、这是怎么回事？
51,拜托！\n也带上丫丫吧！
50,真的吗……？\n真的真的吗！？
49,什……！？\n星晶兽，吗……？
48,怎么可能！\n我们可是很厉害的！\n星晶兽都打倒过！
47,哦，是骑空士啊。\n……看不出来啊，是新人吗？
46,才不是呢！\n我们是骑空士！\n是丫丫带我们走出森林的！
45,唔……\n那是壁虎吗？
44,是啊！\n碧才不是蜥蜴呢～！
43,唔，别担心。\n我刚看过医生。\n……所以，真的不是小偷吗？
42,诶……？\n丫丫的，爸爸……？
41,爸爸！\n别勉强自己了！？
40,蜥蜴？\n丫丫，这些人究竟是……\n咳咳，咳咳，咳咳！
39,呜哇！？\n什、什么……！？\n我们才不是小偷！
38,喂，离丫丫远点！\n我家可没有值钱的东西！
36,哈哈哈！\n难怪丫丫这么亲近人。\n真想见见你爸爸啊。
35,呵呵呵！\n真是个很有趣的家呢！
34,很可爱吧～\n爸爸偶尔会这样叫它。\n……哇啊，是翻身～
33,呃……\n这、这名字真特别……
32,…………
31,是啊。\n我要大显身手了～\n对吧，翻身？
30,听起来很好吃～！\n啊，是丫丫你来做吗？
29,在的哦～\n晚饭，吃什么好呢～？\n三色红豆糯米饭怎么样～？
28,嗯？\n都到晚上了怎么一个人都没有。\n家人是出去了吗？
27,我回来啦♪
24,走出森林后就到了丫丫的家，\n与她すっかり熟悉起来的一行人，\n决定在那里休息一会儿。
21,呵呵呵！\n真是个不可思议的孩子呢。
20,啊哈♪\n丫丫也不是蜥蜴～
19,我才不是蜥蜴！\n……什、什么，壁虎～？
18,哇！\n你怎么知道的～？\n好厉害，壁虎～？
17,那个……\n应该就是「丫丫」吧？
16,嗯～……\n唔，好难啊……\n可以给我一点提示吗？
15,嗯～？\n啊，猜谜～\n丫丫的名字是什么～？
14,啊哈哈哈……\n所以就跟着我们了吗。\n呃，你叫什么名字……？
13,刚才！\n感觉好像很有趣的样子～
12,喂！\n小、小姑娘，你是谁啊？\n什么时候跟来的啊？
11,哦，你知道路吗！\n真厉害啊，呃──
9,在那一边哦～\n哒哒哒～……
8,唔～……\n必须要在天黑前走出森林才行……\n可是，到底该往哪边走呢？
7,肚子饿了……
6,啊呜，说的也是……\n对不起，肚子太饿了……
5,喂喂……\n你们两个都忘了吗？\n我们现在可是迷路了啊？
4,太好了♪
3,是的！\n不愧是姬塔小姐！\n看来赶得上吃晚饭呢！
2,呼～……\n真是吓了一跳啊。\n不过，总算是顺利打倒了！
1,但是，却在途中迷了路……\n偶然间撞见了魔物，\n最后在一番混战后将其打倒了。
0,一行造访了某座岛屿，\n为了讨伐被委托的魔物，\n而动身探索森林。
