id,trans
filename,scene_evt190527_cp6_q1_s10
translator,Gemini
info,scene_evt190527_cp6_q1_s10
76,(如果能让你也感受到……就好了……)
75,(姬塔小姐，\n喝了香草茶之后……\n也会有这种感觉吗？)
74,谢谢你，玛丽\n……好香啊。
73,谢谢您，瑟芙拉玛尔老师！\n……给你，薇特尔。
72,这茶居然是蕾娜小姐亲手做的！\n散发着花朵的芬芳呢。\n快来喝点暖暖身子吧？
69,玛丽小姐，薇特尔小姐。\n茶泡好了！
65,唔，唔～！\n头发要乱掉了！
64,好～好～\n乖孩子，乖孩子！
63,哇！哇！\n玛丽！？
62,说完，玛丽像是为了掩饰害羞，\n把薇特尔的头发\n揉得乱七八糟。
61,谁都不会喜欢\n别人对自己珍视的东西\n恶语相向吧。
60,像那样地妄自菲薄，\n对那些说喜欢我的人\n来说是非常失礼的行为。
59,但是啊……但是，\n我最近发现了一件事。
58,是啊。\n你的心情，我非常理解。
57,嗯……！
56,……嗯。
55,但同时又开始讨厌自己，\n觉得这样的自己不可能\n得到别人的喜欢……会这么想吧。
54,拼命地想要弥补过失，\n告诫自己绝对不能再失败，\n想要报答帮助了自己的人。
53,…………！
52,想要弥补\n之前犯下的错误，\n所以才勉强自己……我懂。
51,嗯，怎么了，玛丽？
50,呐，薇特尔？
49,呼……
47,好的！\n……姐姐，待会儿见。
46,哼……
45,谢谢您，\n艾尔莫特大人。\n希斯大人，莫尔菲大人，我们走吧。
44,喂，小子们！\n洗澡水准备好了，\n赶紧给我进去！
42,好～\n我这就过去，海森先生。
41,法斯提瓦，能过来一下吗？
37,嗯……
36,……是。
35,请你们，一定不要忘记这一点。
34,但是呢……比起香草茶，\n我更高兴的是\n你们两人愿意为我准备的心意。
33,嗯，当然！\n我非常期待。
32,法斯提瓦……\n香草茶，敬请期待哦。
31,你说得对，莫尔菲。\n从这里开始才是关键……对吧。
30,那一定是对\n大家最好的报答！
29,用这个来泡最美味的\n香草茶吧，姐姐。
28,嗯……谢谢。\n多亏了大家，香草也到手了。
27,是啊。\n您没事真是太好了，薇特尔大人……
26,别在意。\n……是我们引导失败了。
25,还有莫尔菲、希斯、贾米尔。\n吓到你们了，对不起。
24,那个……法斯提瓦。\n让你担心了，真的很抱歉。
23,还好没骨折\n真是太好了～！
22,嗯，谢谢你，玛丽\n我会注意的。
21,这下就万无一失了！\n不过这段时间先别\n怎么活动脚踝。
16,感激不尽……！\n帮大忙了。
15,我也准备了茶水，\n大家先喝点东西暖暖身子，\n然后去洗个热水澡慢慢放松吧。
14,欢迎回来，大家！\n艾尔莫特已经在\n准备洗澡水了。
13,呜呜，虽然说不上平安无事……\n但还好没有受重伤……
12,啊，悬崖！？
11,啊……那个……\n从悬崖上摔下来了。\n不过只是稍微扭伤了脚。
10,啊啊啊，薇特尔\n浑身是泥！\n受伤了吗！？
9,露莉亚在甲板上\n发现了大家的身影，\n看到薇特尔正被法斯提瓦背着，顿时慌张起来。
8,法斯提瓦等人\n与薇特尔等人会合，\n返回了骑空艇。
0-synopsis,法斯提瓦等人与薇特尔等人顺利会合并返回了骑空艇。面对终于可以喝到香草茶的薇特尔，法斯提瓦却说「我很高兴你们两人愿意为我准备」。玛丽也理解了薇特尔想要弥补过去的错误而勉强自己的心情，并陪伴在薇特尔身边。
0-chapter_name,第六话 破晓之紫
