id,trans
filename,scene_evt181209_cp4_q3_s20
translator,Gemini
info,scene_evt181209_cp4_q3_s20
112,把你们大卸八块，\n表面煎至焦脆，\n做成最上等的香煎肉排喵！
111,胆子不小喵！我的手都痒了喵！\n正好让你们见识一下\n我的拿手好菜！
110,胃口好是件好事！\n但我们这边\n也有不能让步的理由！
109,他们听了我的请求，\n向我们坦白了一切。\n我想帮助他们。
107,对！我们绝对不会袖手旁观的！
106,虽、\n虽然他们确实不是什么好人，\n但听到你说要吃了他们，我们怎么能眼睁睁地看着！
105,叽叽歪歪真烦喵！\n到底给不给喵！
101,不对，城里要是出现这么大的猫\n肯定会引起骚乱吧？\n跟踪什么的根本就不是问题……
100,然后我们又\n和他们搭话了……\n事情就是这样吗？
99,难道，他们以为自己在跟踪别人，\n实际上是被引诱到这里来的吗？
98,他们说他们是跟踪可疑的人\n才到这里的……
97,引出来……？
96,好不容易才把他们\n从城里引到这么远的地方，\n别想横刀夺爱喵！
95,什、什么！？
94,他们可是我们的食材喵！\n我们早就盯上他们了喵！
93,吃掉喵！
92,话说回来……\n你打算拿他们怎么办？
91,对、没错！\n我们还有话\n要问他们！
90-sel2_txt,为什么？
90-sel1_txt,那可不行
90,把他们交出来喵！
89,你……你这家伙！\n你想干什么！？
88,怪猫用锐利的目光盯着的\n是挡在它面前的姬塔一行人。
87,……你们想干什么喵？
86,怪猫还想靠近昏迷的小混混们，\n但很快停下了脚步，目光锐利起来。
84,啊……变成残次品了喵？\n算了喵。\n赶紧回收吧喵。
83,小混混们瞬间就被击飞，\n在地上滚了几圈后，\n因撞击而昏了过去。
79,哇啊啊！\n呜哇！
77,怪猫开口说话，\n猛地甩动尾巴，将小混混们击飞出去。
76,吵死了喵！
75,什……什么东西，这家伙是！？
74,呀啊啊啊啊啊啊啊！
73,但那只怪猫无视了警戒着的姬塔一行，\n狠狠地瞪了\n小混混们一眼。
72,难道……这就是街上盛传的\n怪物吗……
71,哇哇哇？那是什么！？\n这只巨大的猫猫是……
70,站在那里的，\n是一只手持刀叉的\n巨大野兽。
69,呼——————！
67,哇啊！？\n那、那是什么！？
53,露莉亚刚说完，\n空中就出现了一个黑影──
52,我、我不知道……\n好像突然出现在附近……\n正在以惊人的速度靠近！
51,什么！？\n怎么会突然……！？
50,附近有星晶兽的气息！
49,怎、怎么了！？露莉亚……
48,请等一下！
47,啊，那是──
46,还没问到重点呢！\n那个可疑的家伙到底是谁！？
45,都说了那家伙很谨慎吧？\n这可是我们好不容易才找到的线索。\n要是被传开了，让他察觉到就糟了。
44,我们才不管其他失踪的人呢……\n少给我们添乱。
43,听你们这么说……\n你们好像\n没有必要和我们战斗吧？
42,这座山里好像有什么东西，\n但我们总是在这附近被甩掉。
41,我们盯上了那个家伙，\n对他进行了反复跟踪。
40,但是，在那小子消失的那段时间，\n附近有个可疑的家伙\n在四处游荡，我们后来才发现。
39,……不，没看到。\n那家伙非常谨慎。\n只要我们看着就不会出现。
38,那……你们看到了吗？\n团长大人被掳走的那一瞬间……
37,原来如此！\n你们这些家伙……！
36,也就是说……\n你们想把团长大人当成诱饵？
35,只要盯紧这小子，\n就能看穿绑架我们同伴的人的真面目。\n我们是这么想的。
34,一问之下，才知道他是从岛外来的，\n和同伴走散了。\n这小子真是个好目标。
33,所以，当我们看到那小子的时候，\n就决定找他搭话了。
32,失踪的都是旅行者。\n这样一来，独自一人的人\n更容易成为目标吧？
31,……看起来马上就要\n失踪的人？
30,于是我们就想到了一个主意。\n只要盯紧那些\n看起来马上就要失踪的人就行了。
29,肯定是被人抓走了。\n我们这么想着，就把岛上翻了个遍。\n但还是找不到同伴。
28,不管怎么找都找不到，\n后来听说还有其他人\n也失踪了。
27,和我们很像……
26,但是，在我们上岛后不久，\n大家都在努力「工作」的时候，\n一个同伴就失踪了。
25,也就是说，钱也很多。\n人多就不会引人注目\n对我们这些干盗贼勾当的是绝佳的狩猎场。
24,「这里，德利希奥拉\n是以大型美食街闻名的，\n游客很多吧？」
23,是因为他们已经认命被抓了吗\n还是可可萝真切的心情传达到了他们心里\n他们开始讲述起今天发生的事情。
22,…………
21,那个，可以请你们详细说明一下吗？\n我们也想知道真相。\n拜托了，请告诉我们……
20,和小混混们遭遇了相同的情况。
19,那、那是什么意思？\n这么说来，你们岂不是……
18,我们的同伴也是在这座岛上\n失踪的！\n我们一直在找他！
17,而且我们这边才是在\n跟踪可疑的人！
16,相信我们！不是我们干的！\n而且，我们也不知道自己被跟踪了！
15,这怎么想都很可疑吧！
14,猫耳姐姐就是在\n跟踪你们的途中\n消失不见的！
13,喂！\n我们可是知道\n你和我们要找的人在一起的！
12,什！？　你、你说什么呢！？\n偷东西我们确实干过……\n但我们可没有绑架别人！
11,不仅绑架别人\n还做着偷鸡摸狗的事呢！
10,小混混们那副死不悔改的样子\n已经说明这些金银财宝都是赃物了。
9,……哼！
8,喂，你们几个！\n这些该不会都是\n偷来的吧！？
7,莫非……
6,是的，闪闪发光。\n虽然看起来不像是男士用的……\n啊，这边还有项链。
5,哦？\n这戒指上镶嵌的宝石\n还挺大的嘛……
4,结果，他们身上的几件金银财宝也随着这股势头掉了出来。
3,姬塔一行将小混混们绑了起来。
2,给我老实点！
1,可、恶……这些家伙……
0-synopsis,姬塔一行绑住了小混混们。经过一番盘问，得知小混混们也正在寻找失踪的同伴，之前和「老大」在一起是为了把他当作诱饵，借此观察他被掳走时的状况。此时，一只长相怪异的猫形怪物突然出现。怪物似乎是觊觎小混混们的肉体，企图将他们吃掉。姬塔一行决定保护小混混们，摆好架势准备迎战。
0-chapter_name,第4章 刀叉与黑色暗影
